arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
saludo de niños a su tío menor	<font color=red>CHP:</font> pichut\n<font color=blue>AYM:</font> pichull\n<font color=orange>ENG:</font> child's greeting to youngest uncle
vagina	<font color=red>CHP:</font> piichi\n<font color=blue>AYM:</font> chinqi\n<font color=orange>ENG:</font> vagina
pecho	<font color=red>CHP:</font> piiz\n<font color=blue>AYM:</font> ñuñu\n<font color=orange>ENG:</font> breast
represa para desviar agua, tajamar	<font color=red>CHP:</font> pijc\n<font color=blue>AYM:</font> uma pantaqa\n<font color=orange>ENG:</font> diversion dam
mariposa	<font color=red>CHP:</font> pilpinti\n<font color=blue>AYM:</font> pilipintu\n<font color=orange>ENG:</font> butterfly
pelota	<font color=red>CHP:</font> piluta\n<font color=blue>AYM:</font> piluta\n<font color=orange>ENG:</font> ball
sacar plumas	<font color=red>CHP:</font> pilz\n<font color=blue>AYM:</font> phuyu apsuña\n<font color=orange>ENG:</font> to pluck feathers
trasquilar (animales)	<font color=red>CHP:</font> pilz\n<font color=blue>AYM:</font> llawiraña\n<font color=orange>ENG:</font> to shear (animals)
pelar	<font color=red>CHP:</font> pilz\n<font color=blue>AYM:</font> pilaña\n<font color=orange>ENG:</font> to cut, to strip
corona de pan entregado por ahijado a padrino/madrina	<font color=red>CHP:</font> pillu\n<font color=blue>AYM:</font> pillu\n<font color=orange>ENG:</font> round bread given to godfather/godmother by godchild
sufrir de pena	<font color=red>CHP:</font> pinaziz\n<font color=blue>AYM:</font> llakisiña\n<font color=orange>ENG:</font> to suffer from sorrow/pain
flauta	<font color=red>CHP:</font> pincallu\n<font color=blue>AYM:</font> pinkillu\n<font color=orange>ENG:</font> flute
traba	<font color=red>CHP:</font> pinchi\n<font color=blue>AYM:</font> trawa, chaktata\n<font color=orange>ENG:</font> tie, bond
telar de madera de pino	<font color=red>CHP:</font> pino\n<font color=blue>AYM:</font> pinu\n<font color=orange>ENG:</font> loom made of pine wood
de varios colores	<font color=red>CHP:</font> pinta\n<font color=blue>AYM:</font> pinta\n<font color=orange>ENG:</font> of different colors
inestable con sus ideas	<font color=red>CHP:</font> pinta\n<font color=blue>AYM:</font> pinta\n<font color=orange>ENG:</font> with changing ideas
sólo los animales de dos colores	<font color=red>CHP:</font> pintacama\n<font color=blue>AYM:</font> pinta kama\n<font color=orange>ENG:</font> only animals of two colors
de varios colores (animales hembras)	<font color=red>CHP:</font> pinti\n<font color=blue>AYM:</font> pinta\n<font color=orange>ENG:</font> of different colors (female animals)
uno que hace estatuas, escultor	<font color=red>CHP:</font> pintiru\n<font color=blue>AYM:</font> lluch'itanak luriri\n<font color=orange>ENG:</font> one who makes statues, sculptor
pintado, pintura	<font color=red>CHP:</font> pintita\n<font color=blue>AYM:</font> pintata\n<font color=orange>ENG:</font> painted, painting
pintar	<font color=red>CHP:</font> pintiz\n<font color=blue>AYM:</font> pintaña\n<font color=orange>ENG:</font> to paint
pensar	<font color=red>CHP:</font> pinziz\n<font color=blue>AYM:</font> lup'iña\n<font color=orange>ENG:</font> to think
raíz gruesa	<font color=red>CHP:</font> pira\n<font color=blue>AYM:</font> pira\n<font color=orange>ENG:</font> thick root
prendedor, gancho	<font color=red>CHP:</font> pirantura\n<font color=blue>AYM:</font> phich'i\n<font color=orange>ENG:</font> pin, safety pin
pedazo	<font color=red>CHP:</font> pirasu\n<font color=blue>AYM:</font> k'uchjallu\n<font color=orange>ENG:</font> piece
primero	<font color=red>CHP:</font> pirimiraqui = primiraqui\n<font color=blue>AYM:</font> layrankiri\n<font color=orange>ENG:</font> first
tapón de lata	<font color=red>CHP:</font> piriya\n<font color=blue>AYM:</font> piriya\n<font color=orange>ENG:</font> stopper for cans
grasa negra del cuero, alquitrán	<font color=red>CHP:</font> piriya\n<font color=blue>AYM:</font> piriya, alkitrana\n<font color=orange>ENG:</font> black grease/fat of animal, tar
pared	<font color=red>CHP:</font> pirka\n<font color=blue>AYM:</font> pirqa\n<font color=orange>ENG:</font> wall
construir muro	<font color=red>CHP:</font> pirkiz\n<font color=blue>AYM:</font> pirqaña\n<font color=orange>ENG:</font> to build a wall
cerrar con tepe/piedra	<font color=red>CHP:</font> pirkiz\n<font color=blue>AYM:</font> pirqaña\n<font color=orange>ENG:</font> to close off with sod blocks/stones
frazada, cama	<font color=red>CHP:</font> pirsata = pjullu = tjajjzquiti\n<font color=blue>AYM:</font> ikiña, phullu\n<font color=orange>ENG:</font> blanket, bed
almacén pequeño en forma de bóveda	<font color=red>CHP:</font> pirwa\n<font color=blue>AYM:</font> pirwa\n<font color=orange>ENG:</font> small warehouse in the form of a vault
recoger	<font color=red>CHP:</font> pirwiz\n<font color=blue>AYM:</font> aptapiña\n<font color=orange>ENG:</font> to gather
recoger hojas de legumbres	<font color=red>CHP:</font> pirz\n<font color=blue>AYM:</font> pirst'aña\n<font color=orange>ENG:</font> to harvest vegetable leaves
maleta, petaca	<font color=red>CHP:</font> pitaja\n<font color=blue>AYM:</font> pitaka\n<font color=orange>ENG:</font> briefcase, suitcase, pouch
oveja para la venta	<font color=red>CHP:</font> pitajana\n<font color=blue>AYM:</font> uja alxañataki\n<font color=orange>ENG:</font> sheep for sale
fumar	<font color=red>CHP:</font> pitz\n<font color=blue>AYM:</font> p'itaña\n<font color=orange>ENG:</font> to smoke
peón	<font color=red>CHP:</font> piwuna\n<font color=blue>AYM:</font> piwuna\n<font color=orange>ENG:</font> peon, laborer
línea	<font color=red>CHP:</font> piyara\n<font color=blue>AYM:</font> siqi, linta\n<font color=orange>ENG:</font> line
aumentar la tela para alcanzar la medida	<font color=red>CHP:</font> piz\n<font color=blue>AYM:</font> awmintaña\n<font color=orange>ENG:</font> to add a piece of cloth to make big enough
dos	<font color=red>CHP:</font> pizc\n<font color=blue>AYM:</font> paya\n<font color=orange>ENG:</font> two
catarro (enfermedad)	<font color=red>CHP:</font> pizti\n<font color=blue>AYM:</font> pisti\n<font color=orange>ENG:</font> cold, catarrh (illness)
paz, pacificación	<font color=red>CHP:</font> pjaajquizkatñi\n<font color=blue>AYM:</font> sumankaña, k'achankaña\n<font color=orange>ENG:</font> peace, pacification
hígado	<font color=red>CHP:</font> pjajch = pjajz\n<font color=blue>AYM:</font> k'iwcha\n<font color=orange>ENG:</font> liver
barro mojado	<font color=red>CHP:</font> pjajcha\n<font color=blue>AYM:</font> phaxcha llawch'i\n<font color=orange>ENG:</font> damp mud
comida espesa	<font color=red>CHP:</font> pjajcha\n<font color=blue>AYM:</font> thasa\n<font color=orange>ENG:</font> thick food
pegajoso	<font color=red>CHP:</font> pjajcha\n<font color=blue>AYM:</font> katushthapi\n<font color=orange>ENG:</font> sticky
flor	<font color=red>CHP:</font> pjajkjalla\n<font color=blue>AYM:</font> phaqhara, t'ika\n<font color=orange>ENG:</font> flower
florear	<font color=red>CHP:</font> pjajkjallt'ish\n<font color=blue>AYM:</font> t'ikachaña, t'ikanchaña\n<font color=orange>ENG:</font> to flower, to decorate with flowers
hígado	<font color=red>CHP:</font> pjajz = pjajch\n<font color=blue>AYM:</font> k'iwcha\n<font color=orange>ENG:</font> liver
sudar	<font color=red>CHP:</font> pjalanz\n<font color=blue>AYM:</font> jump'iña\n<font color=orange>ENG:</font> to sweat
¿vás a separar (los animales mezclados)?	<font color=red>CHP:</font> pjalaquiya\n<font color=blue>AYM:</font> jaljaña, lakiña, t'aqaña\n<font color=orange>ENG:</font> are you going to separate (the animals)?
sudor	<font color=red>CHP:</font> pjalñi\n<font color=blue>AYM:</font> jumpi\n<font color=orange>ENG:</font> sweat
cubo rectangular	<font color=red>CHP:</font> pjalt'a\n<font color=blue>AYM:</font> p'alta\n<font color=orange>ENG:</font> rectangular cube
apartar, separar, sacar	<font color=red>CHP:</font> pjalz\n<font color=blue>AYM:</font> t'aqaraña, apsuña\n<font color=orange>ENG:</font> to put aside, to separate
trigo mote	<font color=red>CHP:</font> pjalla\n<font color=blue>AYM:</font> pilata\n<font color=orange>ENG:</font> stewed wheat
familia	<font color=red>CHP:</font> pjamilla = jamilla\n<font color=blue>AYM:</font> phamiliya\n<font color=orange>ENG:</font> family
Pato colorado (pájaro acuático)	<font color=red>CHP:</font> pjanapjana\n<font color=blue>AYM:</font> wila unkhayllu\n<font color=orange>ENG:</font> Cinnamon Teal (waterbird)
blando	<font color=red>CHP:</font> pjanch'u\n<font color=blue>AYM:</font> jasa\n<font color=orange>ENG:</font> soft, squishy
fontanela	<font color=red>CHP:</font> pjanz\n<font color=blue>AYM:</font> phuju\n<font color=orange>ENG:</font> soft spot on baby's head
gordo	<font color=red>CHP:</font> pjapza\n<font color=blue>AYM:</font> lankhu, phatu, lik'i\n<font color=orange>ENG:</font> fat, big
extranjero	<font color=red>CHP:</font> pjarastiru\n<font color=blue>AYM:</font> phurastiru\n<font color=orange>ENG:</font> foreigner
cereal tostado	<font color=red>CHP:</font> pjasankalla\n<font color=blue>AYM:</font> phasanqalla\n<font color=orange>ENG:</font> toasted cereals
quinua/arroz graneado	<font color=red>CHP:</font> pjasara\n<font color=blue>AYM:</font> phisara\n<font color=orange>ENG:</font> granulated quinua/rice
no poder dormir, fatigarse	<font color=red>CHP:</font> pjaticaz\n<font color=blue>AYM:</font> ch'axrapiyasiña\n<font color=orange>ENG:</font> to be unable to sleep, to get tired
reventarse	<font color=red>CHP:</font> pjats\n<font color=blue>AYM:</font> phallantasiña\n<font color=orange>ENG:</font> to burst
reventar	<font color=red>CHP:</font> pjatz\n<font color=blue>AYM:</font> phallaña\n<font color=orange>ENG:</font> to burst
ofrecer coca/alcohol a deidades	<font color=red>CHP:</font> pjawz\n<font color=blue>AYM:</font> phawxataña\n<font color=orange>ENG:</font> to offer coca/alcohol to deities
champa, tepe	<font color=red>CHP:</font> pjaya\n<font color=blue>AYM:</font> ch'ampa\n<font color=orange>ENG:</font> sod cut for building
terminar de comer toda la carne	<font color=red>CHP:</font> pjayapjaya\n<font color=blue>AYM:</font> phayaña\n<font color=orange>ENG:</font> to finish all the meat
trabajo comunal	<font color=red>CHP:</font> pjayna\n<font color=blue>AYM:</font> phayna\n<font color=orange>ENG:</font> communal work
trabajar en comunidad	<font color=red>CHP:</font> pjayniz\n<font color=blue>AYM:</font> phagnaña\n<font color=orange>ENG:</font> to work with the community
fruta de cacto	<font color=red>CHP:</font> pjazacana\n<font color=blue>AYM:</font> pasakana\n<font color=orange>ENG:</font> cactus fruit
pluma	<font color=red>CHP:</font> pjazi\n<font color=blue>AYM:</font> phuyu\n<font color=orange>ENG:</font> feather
fácil	<font color=red>CHP:</font> pjazila\n<font color=blue>AYM:</font> phasila\n<font color=orange>ENG:</font> easy
agujero	<font color=red>CHP:</font> pjeta\n<font color=blue>AYM:</font> qaqa\n<font color=orange>ENG:</font> hole
río Lacajawira	<font color=red>CHP:</font> pjetpuju\n<font color=blue>AYM:</font> Lakajawira\n<font color=orange>ENG:</font> The Lacajawira River
perforar, agujerar	<font color=red>CHP:</font> pjetz\n<font color=blue>AYM:</font> qaqaraña\n<font color=orange>ENG:</font> to perforate, to pierce
rocío	<font color=red>CHP:</font> pjewi\n<font color=blue>AYM:</font> chhulla chhulla\n<font color=orange>ENG:</font> dew
escarcha	<font color=red>CHP:</font> pjewñi\n<font color=blue>AYM:</font> juyphi\n<font color=orange>ENG:</font> frost
escarchar	<font color=red>CHP:</font> pjewz\n<font color=blue>AYM:</font> juyphiraña\n<font color=orange>ENG:</font> to frost
hartarse de comida	<font color=red>CHP:</font> pjicz\n<font color=blue>AYM:</font> phuqhantata, sisart'ata\n<font color=orange>ENG:</font> to have enough food, to be stuffed
escoba	<font color=red>CHP:</font> pjijchaña = pichaña\n<font color=blue>AYM:</font> pichaña\n<font color=orange>ENG:</font> broom
suavizar lana para hilar	<font color=red>CHP:</font> pjijllz = wjijllz\n<font color=blue>AYM:</font> quñart'aña\n<font color=orange>ENG:</font> to pull apart matted, crude wool to spin
cuerda para hacer soga	<font color=red>CHP:</font> pjijra\n<font color=blue>AYM:</font> lankhu wiskha\n<font color=orange>ENG:</font> cord to make rope
torcelar lana para soga	<font color=red>CHP:</font> pjijrz\n<font color=blue>AYM:</font> mismiña\n<font color=orange>ENG:</font> to twist wool to make rope
angosto	<font color=red>CHP:</font> pjijsa\n<font color=blue>AYM:</font> juch'usu, k'allka, k'ullku\n<font color=orange>ENG:</font> narrow, tight
agujero pequeño	<font color=red>CHP:</font> pjijsa\n<font color=blue>AYM:</font> sik'a qaqalla\n<font color=orange>ENG:</font> small hole
cinco	<font color=red>CHP:</font> pjijska\n<font color=blue>AYM:</font> phisqa\n<font color=orange>ENG:</font> five
yatiri que acierta sus pronósticos	<font color=red>CHP:</font> pjiju\n<font color=blue>AYM:</font> phiju (yatiri)\n<font color=orange>ENG:</font> diviner whose predictions are correct
lagartija	<font color=red>CHP:</font> pjijzka\n<font color=blue>AYM:</font> jararunkha\n<font color=orange>ENG:</font> small lizard
Juez de agua (pájaro)	<font color=red>CHP:</font> pjijzkura\n<font color=blue>AYM:</font> p'isqura\n<font color=orange>ENG:</font> Bar-winged Cinclodes (small bird, cream color or brownish white)
cuchichear, susurrar	<font color=red>CHP:</font> pjijzpiz\n<font color=blue>AYM:</font> jinchu k'uchulla parlaña\n<font color=orange>ENG:</font> to whisper
fiesta, día de descanso	<font color=red>CHP:</font> pjijzta\n<font color=blue>AYM:</font> phista\n<font color=orange>ENG:</font> fiesta, holiday
arena	<font color=red>CHP:</font> pjila\n<font color=blue>AYM:</font> ch'alla\n<font color=orange>ENG:</font> sand
alcohol puro	<font color=red>CHP:</font> pjina\n<font color=blue>AYM:</font> puru, q'ayru\n<font color=orange>ENG:</font> pure alcohol
almacén de papa bajo la tierra	<font color=red>CHP:</font> pjina\n<font color=blue>AYM:</font> q'ayru\n<font color=orange>ENG:</font> root cellar
tipo de papa	<font color=red>CHP:</font> pjiñu\n<font color=blue>AYM:</font> phiñu, quyllu chuqi\n<font color=orange>ENG:</font> type of potato
harina tostada y revuelta en agua	<font color=red>CHP:</font> pjiri\n<font color=blue>AYM:</font> phiri, chuchumiri\n<font color=orange>ENG:</font> toasted flour mixed with water
fresco	<font color=red>CHP:</font> pjirizcu\n<font color=blue>AYM:</font> phrisku\n<font color=orange>ENG:</font> fresh
feo, malo	<font color=red>CHP:</font> pjiru\n<font color=blue>AYM:</font> ñaxu\n<font color=orange>ENG:</font> ugly, bad
preparar harina tostada y revuelta en agua	<font color=red>CHP:</font> pjirz\n<font color=blue>AYM:</font> phiriña\n<font color=orange>ENG:</font> to make toasted flour mixed with water
paja	<font color=red>CHP:</font> pjit\n<font color=blue>AYM:</font> wichhu\n<font color=orange>ENG:</font> straw
lejía	<font color=red>CHP:</font> pjiti\n<font color=blue>AYM:</font> llijt'a\n<font color=orange>ENG:</font> substance made of quinoa and flour to chew with coca
planta espinosa	<font color=red>CHP:</font> pjizcallu\n<font color=blue>AYM:</font> pulli, phuskallu, ch'api\n<font color=orange>ENG:</font> small spiny plant
cancelar	<font color=red>CHP:</font> pjojkz\n<font color=blue>AYM:</font> ayni phuqhaña\n<font color=orange>ENG:</font> to cancel
cumplir	<font color=red>CHP:</font> pjojkz\n<font color=blue>AYM:</font> phuqhaña\n<font color=orange>ENG:</font> to fulfill, to carry out, to finish
pozo con mucha agua	<font color=red>CHP:</font> pjoma\n<font color=blue>AYM:</font> phuju phuqha\n<font color=orange>ENG:</font> well with a lot of water
tapar	<font color=red>CHP:</font> pjucz\n<font color=blue>AYM:</font> qhapaña\n<font color=orange>ENG:</font> to cover, to block
estómago	<font color=red>CHP:</font> pjuch\n<font color=blue>AYM:</font> puruka\n<font color=orange>ENG:</font> stomach
estómago vacío, cintura delgada	<font color=red>CHP:</font> pjuch cora\n<font color=blue>AYM:</font> puraka t'uxruntata\n<font color=orange>ENG:</font> empty stomach, slender waist
aprovechador	<font color=red>CHP:</font> pjuch pjeta\n<font color=blue>AYM:</font> manq'a q'ara\n<font color=orange>ENG:</font> opportunist
tierra levantada por frío o sequedad	<font color=red>CHP:</font> pjujculchi\n<font color=blue>AYM:</font> sillp'i\n<font color=orange>ENG:</font> raised earth due to frost/dryness
ampolla	<font color=red>CHP:</font> pjujculchi\n<font color=blue>AYM:</font> phusulli\n<font color=orange>ENG:</font> blister
vertiente	<font color=red>CHP:</font> pjuju\n<font color=blue>AYM:</font> jalsuri, umajalsu\n<font color=orange>ENG:</font> spring
