a'ạjtaba'	Mata caballo.
tibä'yaqui	Estar con, vivir con (en la misma casa).
tibu'	Cosa redonda, esférica.
ti'buij	Tener forma redonda.
tibu'jodye'	Tumor.
tibu'joij	Tener tumor.
tibun'	Globo.
tibun'jeyaqui	Comprar por pieza, lata (cosa entera).
ti'buty-bus	Redondo, esférico.
ticame'	Negar, no declarar.
tica'ñeban	Hacer regresar, devolver.
tiĉav'que'	Huir con, para proteger.
tịĉoshaqui	Dormir con (con sentido sexual).
tiĉoshte- she'	Dormir con.
ticrity vej	Tuerto.
ticun' bu'yi	Torcido, no recto.
tiĉunacdye'	Bienvenida.
tiĉuñe'	Recibir, saludar con gozo.
tiĉun'taqui	Recibir con gozo, dar la bienvenida.
tịchaqui	Obedecer, hacer caso.
tị́dye'	Cuerda, soga.
tịfajque'	Enojarse de algo.
tị'ij	Hacer nido.
tii'ti	Crecer bien (planta).
tịj	1. Nombre. 2. Nido.
ti'je'	Estirar.
tima'que'	Alabar, querer, apreciar.
tinataqui	Ir con, hacer pasear algún familiar.
tiranti	Palo, palo de casa, atravesaño.
tiri'rij, tiri'riyeva'joi'	Volar dando vuelta.
tiririjyi	Sonido de tener diarrea, ventosear.
tisira	Tijera.
titashe'	Anticipar.
titic	Grillo.
titij	Tipo de árbol, bibosi.
titso'chui'	Tener colgando en la mano.
titso'je'	Colgar.
titsojtsoij	Colgado.
titso'naqui	Basurear.
titson'jeyaqui	Llevar colgado.
tivencaqui	Llegar con (de ida).
tiventuqui	Llegar con (de vuelta).
tiventui'	Hacer llegar algún objeto o persona.
tiyacchui'	Comenzar, iniciar, empezar.
tiyacĉhutidye'	Principio.
tiyacchutis	Comienzo.
to'	Pozo, cueva, hueco.
tobiri	Clase de pez (boga).
to'biti	Brotar, salir espiga, flor.
tobono'	Tigre con cola corta.
tocac tŝọij	Quebrar, aplastar.
to'cacsi'	Filo.
tocaqui	Cosechar maíz.
to'caqui	Cortar, penetrar, gastar.
tocje'	Quebrar.
tocnis	Chuto, sin mano, etc.
tocnity	Revólver.
toco'je'	Tocar.
toco'ñe'	Tocar, tentar, hurgar.
tocyetac	Se quebró.
tọchje'	Cortar gajo, desgajar.
tọ'che'	Podar.
todocje'	Meter algo en la casa.
todocyi	Entrar en la casa, hueco, etc.
tofeij	Perder la vista.
tọfej, tọfety	Ciego.
tofero	Ciego.
tọfi'	Matico.
to'ij	Hacer pozo.
toj	Sonido de un disparo de arma.
tojje'	Disparar con arma de fuego a un animal o una cosa.
tojyi	Disparo de una arma.
tojti, tojjiti	Dispararse uno mismo con un arma.
tojnaqui	Aprender a disparar con arma.
tojboty	Barrigón, petacudo.
tojjete-je'	Golpear con puñete o dar cocacho a una persona.
tojñe'	Golear, apalear.
tojmai'	Obscuro, de noche.
tojmas, tojmadye'	Obscuridad.
tojqui've	Rincón entre dos paredes de una casa.
tom'	Punto.
tomajmai'	Algo negro, nublado.
tomaque	Se ahogó sin que nadie vea.
tọmaqui	Poner puntos en escritura.
tọm'dye'	Inundación.
tom'dyei'	Peligro de ahogarse.
tomen'	Difícil de distinguir, parcialmente invisible.
tomo'naqui	Espiar de noche a una persona.
tọmi	Ahogarse, hundirse, taparse con agua.
tom'tacdyes	Remedio para mal de ojo, gotas para los ojos.
tom'taqui	Ungir, poner gotas al ojo u otra herida.
tọn'	Tacuara para flechas, flecha con punto de tacuara.
tonoj	Cangrejo.
to'oij	Ponerse flojo.
to'oty	Flojo, sonso, tonto.
to'os	Floja, sonsa, tonta.
top	Sonido de explosión.
topsis	Pinchado.
topje'	Pinchar.
topyi	Explosionar, reventar.
toproty -ros	Petacudo (animal).
topti	Brotar.
toquin'je', toqui'ñe'	Quebrar: palitos, hojas secas, etc.
toqui'quiij, toqui'quii'	Quebrarse: gajos.
tore'saqui	Cacarear (gallo).
torin	Turril.
tóro	Bebida: chicha hecho de plátanos.
toro'je'	Pisar alguna cosa pequeña.
tor'quen'yi	Hacer redondo la boca al pronunciar la vocal o.
toshjete	Sunchar (con palo, hoja, dedo), distraer, llamar la atención.
tótop	Pachio de la pampa.
tovij	Pava campanilla.
tovoj	Estera cuadrada.
toyei'	Nombre de un tigre mitológico.
toyocje'	Arrancar fruta madura de plátano, guineo, etc.
trajtor	Tractor.
tịribity	Talón, tendón del talón.
tirivo	Trigo.
trubuty	Estómago.
turujruij	Estar en hamaca.
tuc	Traer.
tui'tyi'	Él que trae.
tuj	Pescuezo, garganta.
tujijtui'	Traer, hacer venir.
tujje'	Soplar corneta.
tujtaquis	Corneta.
tujtui'	Alzar, traer de paso.
tunaqui, tunja	Pulir, cepillar.
túneij	Aceitoso, resbaloso, lubricado.
tuntaquis	Lija, lima.
tụntụn tyei'	Lubricado, resbaloso, funciona bien.
tuptupyi-yi'	Hablar disparates, farsear.
tupudye'	Tiempo fijado, sazón.
tupuj	Alcanza, suficiente, posible.
tupujĉan	Por tarea, medida.
tupujjeyaqui	Calcular, tantear.
tupujtye'	Le hace (camisa, zapato).
tuputuqui	Medir, pesar.
tupuyaquis	Medidor, romana, instrumento para medir.
tuqui	Traer.
turaqui	Llevar colgado, estar en hamaca.
turen'je'	Mecerse: en hamaca, algo colgado.
turen'joij	Coto, tener coto.
turiti	Mecerse.
turu'	Colgado.
turubuty	Estómago.
turu'je'	Colgar.
turu'ruij, turujruij	Colgado, estar en hamaca.
tutuqui	Traer algo propio.
tútyi'	Piraquina, nombre de arbola.
täcnity	Corto, chuto.
täcnity un	Con manga corta (camisa).
täcräty, täcräij	Ciego, con mucho sueño.
täcren'yi	Con sueño.
täj täjjeyaqui täjtäjyi	Golpear seguido, machetear.
täj tŝọij	Tropezar, chocar.
täjete	Encontrar se el camino con otra persona.
täjje'	Hachear, tumbar.
täjnaqui	Hachear, cortar con machete, golpear, tocar (puerta).
täjaqui	Encontrar en camino algún familiar.
tä'maqui-i'	Picar (anzuelo), morder, masticar.
täm'je'	Morder.
täm'jeyaqui chu'	Estar callado, no contestar.
täm'jodye'	Ataque.
täm'joij	Tener ataque, boca cerrada no abre.
tänä'vaqui	Ira ver sin hablara la persona.
tänäcje'	Suspender la ropa.
tänäcjiti'	Pelar, sacar ropa.
tänäctum tyeij	Correr rápido, suspendiendo la ropa.
tänäjyi	Colgar ropa.
tänäjnäij	Estar flotando en el agua en la canoa.
tänä'joij, tänä'joja'	Letárgico, quiere dormir.
tänänäij	Andar en el agua en canoa.
tänen'jeyaqui, tänen'ti	Salir de viaje en canoa.
tän'je'	Visitar, aparecer de repente.
tän'vaqui	Espiar, mirar de escondida.
täräjnaqui, täräjyi	Tronar.
tärä'räij	Camión andando.
täräräty	Nuez de la garganta.
tärba'joij	Llegar a ser viejo, pescuezo arrugado, de viejo.
täryi	Bramar (tigre).
tätäcninis, tätäcninity	Troncos, pedazos de palo.
tä'tsitidye'	Cortadura, herido.
tätsaqui	Cortar: caña, cortarse.
tä'tsacsity	Peluquero.
tä'tsete	Peluquean.
tätscäi'	Final.
tätsi	Estar cortado, trancado, parado.
tätsitidye'	Herida con machete o hacha.
tätsiti	Cortarse.
tätsi'vaqui	Cortar tronco, plátano.
tätsje'	Cortar.
tätscäi'	Final, al final de (ubicación).
täyä'chui'	Someter, no separarse, estar fiel.
tä'yäij	Morder sin aflojar.
tä'yäj	Atorar.
täyä'jetaque'	Dejar enchufado alguna cosa.
täyem'chuqui	Estar fiel, someter.
täyem'yi	Morder, picar.
tsạ'	Vivo.
tsạbac	Sin dulce.
tsạbaqui	Desabrida, sin sal, sin azúcar.
tsạ́bu	Carachupa cuatro ojos, comadreja.
tsaca'	Sobaco.
tsacar'	Langosta, salta monte grande.
tsạ'chuqui	Hacer vivir, dar vida a, cuidar.
tsạ'edye'	Despertamiento, al otro día.
tsafa'	Hielo, granizo, helados.
tsafujje'	Regar con brocha.
tsam	Cuajo.
tsạ'si'	Ser vivo, vida.
tsa'ij	Despertar.
tsanaj	Ambaibo.
tsara'faqui	Capullo (grande y blanco en árbol, mágicamente enseña a las chicas a tejer).
tsạ'si'	Vida, alma.
tsạ'si' shush	Carne fresca.
tsạ́tsa	Concha del lago.
tse'	Madre.
tse' yụ'tacdye'	Madrastra.
tsédye'	Tía.
tsedyedye'	Noche, de noche.
tse'etaqui'	Enfermedad avanzada (género femenino).
tse'i'	Reproducir, multiplicar, infectar a todos.
tsejve'	Tocar campana o metal.
tse'tucdye'	Madrina.
tsevj'	Sonido de golpear (cabeza).
tsii'	véase TSÍQUI. Contar los números.
tsi'yi	Mamar.
tsi'ye'	Chupar.
tsịbi'	Microbios, moho.
tsịca'	Avergonzar.
tsị́cadye'	Vergüenza.
tsị́caij	Tener vergüenza.
tsị́cayeja'	Nos avergonzamos.
tsịca'jete-je'	Ofender con palabras vergonzosas.
tsịca'taqui	Avergonzar, tratar.
tsị́cataqui	Tener vergüenza de algún familiar o de algún objeto.
tsicdye'	Número.
tsịjtyi'	Hiel, vesícula.
tsim	Veneno de víbora.
tsimacdye'ĉan querec̣ha	Casa de recaudación de impuestos.
tsimane'	Chimane.
tsim'jete-je'	Escoger.
tsimaqui	Elegir, recoger (algo derramada).
tsim'dye'	Pedazos rotos de cántaro.
tsim'tye'	Escoger, recoger.
tsimtety querec̣ha ayo'dyety	Cobrador de impuestos.
tsin'caty, tsin'cuty -cas, cus	De color negro.
tsin'cuij	De color negro.
tsiñi'	Murciélago.
tsiñi	Hormiga.
tsiñi'tsiñi'	Clase de bejuco.
tsique'	Laguna.
tsíqui, tsi', tsíte, tsísin'	Contar, escoger, hacer lista, nombrar.
tsiquim've, tsiquim'ya'	Por la costa, por la orilla (río).
tsiquim'quedye've	Costa, donde el agua encuentra con la playa (no el barranco).
tsị'tsi'yi	Sonido, chillido de ratón.
tsịtsicaty	Vergonzoso.
tsịtsicas	Vergonzosa.
tsivjos	Frío.
tsivjoquety	Estar con frío (listo a morir).
tsịvujyi, tsịvjoij	Frío, estar frío, no caliente.
tsịvu'vudye'	Frío.
tsịvu'vuij	Tener frío.
tsomejmeij	Aún visible, visible todavía (no bien borrado), presente (después de procurar quitar).
tsom'je'	Poner gota.
tsontos, tsonto', tsonto'joi'	Gastada, punta redonda, que está muta.
tsorejre'	Tela de araña.
tsotsoj	Puerco espín.
tso'tyi'	Codo.
tso'vety	Jipijapa (para hacer sombreros).
tsudyujyi	Juntar, amontonar, reunir.
tsudyujnacdye', tsudyujñitidye'	Reunión.
tsudyujñitidye'	Reunión, congreso, ampliado.
tsujdyuij	Reunidos.
tsujdyujdyuty, tsujdyujdyus	Los que están reunidos.
tsufjete-je	Golpear con el puño.
tsufje'	Herir con flecha a un ave o animal en el pecho.
tsụn	Nosotros.
tsun	Sol.
tsúñedye'	Tiempo seco.
tsu'be'	Rellenar partidura.
tsuqui'	Panacú, cesta de hojas.
tsäfje'	Sonido de flecha lanzada.
tsä'qui, tsä'qui'	Taparse (la vegetación crece), crecer, el monte lo tapa.
tsäqui'	Peligro.
tsäqui'yity-yis	1. Peligroso, peligrosa. 2. malo, mala.
tsäqui' tsäqui' tamiñi	Pesadilla, soñar mal.
tsäquijquiij	Peligroso, pavoroso.
tsäqui'sis	Peligro, juicio (de Dios).
tsäqui'taqui	Sufrir: castigo, juicio, desastre.
tsäqui'taqui	Peligroso, trae susto.
tsätsä'quin	Maravilla, majestoso.
tŝaca'naqui	Pelar: yuca, palo.
tŝacan'je'	Pelar: yuca, animal.
tŝacje'	Arrancar, derribar, tumbar, sacar.
tŝẹ'jojyi	Toser profundamente.
tŝerac	Chonta para arco.
tŝic	Vagina de mujer.
tŝejtŝejyi	Cansado con la lengua afuera (perro) de enfermedad, resuello ruidoso (con asma) persona.
tŝi'ij	Hacer fuego.
tŝij	Fuego, leña, infierno.
tŝịj	Piojo.
tŝijĉan	En el fuego, infierno.
tŝítuij	Traer leña.
tŝin'	Cáscara: yuca, plátano, etc.
tŝin'dye'	Cáscara (plátano, etc.).
tŝiñen'yi	Dalearse, ladearse.
tŝiñenje'	Inclinar, puesto de un lado.
tŝi'ñiij- nii'	Inclinado.
tŝiv'	Peto, avispa.
tŝocon'	Ocoró fruta silvestre.
tŝọ́dye'	Aterrizaje, caída.
tŝọ́dye'ĉan	Pista, la parte donde el avión puede asentarse.
tŝọij, tŝọi'	Aterrizar.
tŝọ́ja'	Aterrizamos.
tŝọmchui'	Aterrizar, pasar de paso de retorno.
tŝọ́qui, tŝọij	Topar, llegar a, alcanzar fondo del río, etc.
tŝọ́taqui p̂eyacdye'	Oír de, escuchar de, le llega la noticia.
tŝọtŝoj	Puerco espín.
tŝúbaqui	Partiendo alguna cosa de uno mismo.
tŝu'baqui	Partir, romper lo que es de uno.
tŝubi'bii'	Partir de por sí mismo (pared).
tŝup	Partida, abertura.
tŝupje'	Partir.
tŝäpin'yi	Hinchar (pez, animal hincha cuando está con miedo o enojo), con pelo parado.
tŝäv	Barranco.
tyédye'	Bebida.
tyejá'	Ir por un camino, en cierta dirección, andar.
tyeij, tyéja'	Tomar, beber.
tyéqui	Ir a tomar.
tyéquis	Vaso, taza.
tyes, tyestyi'	Grueso, espeso (nube, etc.).
tyétacsi	Ir a beber con otro.
tyetyejcaqui	Nombre vulgar para chancho del monte el más grande.
tyi	Quién.
tyị'	Bi (árbol).
tyíbun	De venida, de ida.
tyicacdye'	Collar.
tyifcaqui	Ventear grano.
tyifje'	Sacudir.
tyịji'jiij, tyịji'jii', tyịji'jiyeja'	Tener dolor de oídos o de una herida.
tyijtyi	Quienes.
tyịjtyijyi-yi'	Doler, punzar.
tyimyi	Pesado.
tyimje'	Afirmar, asentar (tierra, una pista).
tyi'mu	Viento.
tyi'mutumsi'	Consonante con aspiración, lluvia con viento.
tyi'mutyi, tyi'mutyi'	Andar, viajar en el viento.
tyiquiqui'	Hormiga cazadora.
tyiraqui	Ablandar, hacer flexible.
tyị́reij	Color café, obscuro, morado.
tyis, tyísi', tyity, tyítyi'	Cuyo, de quién.
tyiti', tyitiĉa'	1. Llegar a cierta edad. 2. Llegar a cierta parte.
tyị'tuc	Pintar con bi.
tyuc	Sordo.
tyujcuty	Persona sorda.
tyucjoij, tyujcujcuij	Estar sordo.
tyucjeyaqui	Cerrar (los oídos), estar duro.
tyucu'maqui, tyucu'me'	Absorber, secar limpiar líquido con trapo.
tyuijmui'	Muslo.
tyuijñus, tyuijñuty	Colorado (color de animales).
tyuj tyuj tyuj	Sonido de caminar.
tyuja'	Palabra exclamatoria, usado en chistes, que menciona a la sexualidad.
tyujajje'	Disparar a un animal con escopeta.
tyujbuty, tyujbus	Gordo, con mucha gordura.
tyujcuij	Sordo, desobediente, sin oídos.
tyujcujcuij	Sin oídos.
tyujjeyaqui	Zapatear.
tyum' tŝọij	Caer desmayado.
tyumyejoij	Desmayarse.
tyumaqui	Chupar.
tyum'chuti	Tener paciencia, con control.
tyum'dyeij	Negro, espeso (como humo).
tyum'je' tyum'taqui	Chupar, mamar.
tyụm'je'	Apagar: radio, linterna, fuego, morir, desmayar.
tyụm'joij	Desmayar, agonizar, apagar.
tyum'taqui	Chupar (de sacar kerosén con manguera).
tyum'taqui	Apagar motor, lamparina, fuego (de su propiedad).
tyum'yi ĉojtyi'	Miedo, con miedo, asustado, desamparado.
tyúñe'	Suegro, yerno.
tyụ́qui, tyụcsi, tyụii', tyụ́te	Tener relaciones sexuales.
tyu'tyi'	Cumbre, remolino de la cabeza.
tyu'shi'	Gallina (lengua mosetén).
tyushje'	Violar, robar de, tener relaciones sexuales con.
tyushtye'	Tocar por primera vez (sexualmente).
tyutyu'ra	Palma real.
tyuyuij	1. Trabajar con goma. 2. Enfermedad del ojo, mal de ojo.
tyuyuj	Goma, hecho de plástico, cosa impermeable, honda.
tyäcärje', tyäcäryi	Sonido de golpear canoa con singa.
tyäjnaqui	Desbarrancar.
tyäpä'	Silencio, no hablar.
tyä'päi'tyi	Un rato, media hora, etc.
tyä'päj	No hay, no vino, no llegó.
tyäpi	Tardarse.
tyä́pi	Callado, no hablar.
tyäquij	Cepe.
tyäväi'	Papel, cuero, sábana extendida.
tyävädye' pan	Plumas de las alas.
tyä'väij	Papel, tela tendida en el suelo o en la mesa.
tyä'väty	Sábana, mantel.
úĉan	Aquí adentro.
uĉán	Debajo de.
uĉántyi'	Neumático, blader (de pelota), lo que es de adentro.
u'care'	Melero.
úĉhetute	Apuntar, interceptar, ganarle adelante.
úche'	Aquí arriba.
úduduj	Gallinita.
úve	Aquí al otro lado.
úya'	Aquí, aquí está.
u, uj	Ahí lejos.
ụ́bu'	Jasayé.
ụ́buij	Hacer jasayé.
ụ́buyeja'	Hacemos jasayé.
úĉanyaty, úĉanyas	Más pequeño, más guatoquito.
uij	Fuego, antorcha.
ujaij -jai'	Terminar.
ụjajyi	Llorar (bebé).
ujate	Lo mató.
ujaqui	Matar lo que es de uno.
ujru'naqui	Tronar (se oye de lejos).
ujtyusu'	Lobo.
úju	Mujer mitológica.
un	Mano.
unĉan	En la mano.
ụntyutyu'	Tapiti, conejo del monte.
ụ'nuij	Hundirse, caer en un poso.
ununu'	Reptil como jausi, lagartija.
unyaty pelota	Básquetbol.
úñedye'	Trabajo, empleo, labor.
úñedyety	Trabajador.
úñeyeja'	Trabajar, ser mozo, trabajar para otro.
úñi, úñe', úñete	Trabaja.
úñityi', úñity, úñis	Mozo, empleado, trabajador, esclavo.
u'puyuj	Clase de árbol (matico).
uru'	Manechi.
úrubej	Perico.
urucya'	El pasado, tiempo antiguo.
urum'	Insecto familia mosca.
ushnuty-nus	Opaco, opaca.
ushtururujnaqui	Reír despacio.
ututy, utu'yaty	Mediano, más grandecito.
uts, útsi	Este, ese.
utsĉan	En este.
utsí	¡Oye!
ụtsụtsụ'	Patito pun-pun.
úva'	Paraba.
ụjujyi	Forzarse, cansarse mucho.
úve, úvemun	Entre, en cada lado.
uvetaque	A este lado.
uveveruj	Londra.
uveya'dye	Antes de legar.
úya'	Aquí.
uya'qui', ọya'qui'	Excesivo, mucho (hacer mucha bulla, etc.).
úya' qui', ọ́ya' qui'	Hasta aquí, poner limite.
úyaty	De este lugar, de aquí.
uya'ya', ọya'ya'	Menos, inferior, poco menos.
uya'ya'dye, ọya'ya'dye	No lograr la meta.
uya'ya'taqui	Menos de, inferior a.
uya'ya'jeyaqui	Hacer menos, hacer inferior.
uya'yaty, ọya'yas	Menor que no tiene poder.
va'	Fallar.
va'ya'	Otro lado no donde debe ser.
va've	Otro lado.
va'acsequi	Véase VA'CAQUI. Botar el agua de un poso.
va'ajva'aj	Zorro.
va'bunyi	Mostrar orgullo, murmurar, hablar ofensivamente (abusivamente).
va'bunnaqui	Orgulloso, farsante.
va'bunyi	Jactarse, tener orgullo, meterse a lo que no es capaz de hacer.
va'bunyity	Él que se jacta, tiene orgullo, farsante.
va'cactyi'	Persona botada de un trabajo.
va'cacsis	Persona que le gusta botar a la gente de un trabajo.
va'cacsequi	Botar o llevar a otra parte.
vacam'quedye'	Ola.
vacam'qui'	Que tiene ola.
va'caqui	Sacar agua de la cuneta para que se seque o de la canoa.
va'que'	Botar agua.
vacje'	Echar agua.
vacunaij	Ser vacunado, vacunar.
vada'ĉa	Clase de fruta (pachío).
vaijje'-te	Llamar con la mano.
vaijjoij	Despintar.
vaijna	Vaina.
vai'joij	Caerse de un árbol, fruta madura que se cae.
vai'jos	Barranco muy alto.
vai'naqui'	Derrumbar, desborde del rio.
vaijnaqui -ñe'	Desbaratar, deshacer.
vai'ñi'	El agua cuando está hirviendo.
va'je'	Arrojar en la boca algo para comer (grano, chivé, etc.).
vaj meij	Recíproca, una al otro: vaj meij.
ñútyitidyeij in	Ellos se ayudan entre ellos.
vaj mu'ya'	Reunidos.
vaj mu'ya'taqui	Juntar, amontonar algo propio.
vaj vejti	Cara a cara, estar cara a cara.
vajac	Gusano venenoso, burro.
vajca'	Cuajo pico ancho.
vạjque'	Gastar, comer todo.
vajedyedye'	Fiera, animal grande.
vajna'na	Mariposa grande de color negro con azul.
va'joij, va'joi'	No tener éxito en cazar animales.
vạjpedye'	Cuatro.
vajru	Todos.
vanĉhui'	Abrir Ej: la puerta.
vanĉhute	Abrir, destapar.
vanchuqui	Abrir puerta cuando la casa es propia.
vanacje'	Abrir: puerta, cartón, lata.
vanaijje'	Deshacer, destechar, separar.
vanajmi	Clase de víbora venenosa.
vancaij	Estar abierto: puerta, olla.
van'jeyaqui, va'ñe'	Tragar, tomar todo de una vez.
vañinyi	Despertar, levantar, resucitar.
vañinti	Despertarse.
vápeyo'	Garza moreno.
vápi	Trompillo, árbol.
vạ'queĉúnaque'	Rechazar.
va'quicdyi	Por morir, bien enfermo, bien borracho, estado de coma.
va'quicte	Botar, empujarlo.
va'quicte	Botar, empujar, echar de la casa.
vára	Cartuchos de calibre 22.
varaijje'-te	Arañar.
vara'jos	Viruela loca, sarampión.
varaqui	Desplumar.
vara'shaqui	Llorar cada rato.
varashdyij	Estar llorando.
varishi	Carachupa.
vash	Pintón, casi maduro.
va'sharaij	Tener mala suerte.
vashi'	Bejuco, para embarbasquear.
vashna'	Chancho joven del monte.
vashtaij -tai'	Áspero.
vashti	Pintonear.
vashvashyis	Animal mitológico.
va'tacdye'	Castigo.
vata'chi	Oso oro.
vatajta	Paleta, hueso omóplato.
vatani	Clase de concha.
va'taqui	Tirar, disparar arma, castigar, recibir castigo.
váti	Llorar.
vátis	Lágrima.
váteja'	Lloramos todos juntos.
vátse	Clase de pez (carancho).
vátyequej, vatyquej	De repente, tal vez.
vatyequejdye	Al mismo rato.
va'tyiyin	Véase VA'TAQUI. Tener castigo.
vav	Espacio, campo.
vavdye'	Cuarto de una casa.
vavti	Casa abandonada.
va'va'	Quijada, debajo de la quijada.
va'ves	De otro lado que no tiene importancia.
va'ves p̂eyacdye'	Doctrina, enseñanza falsa.
va'vesĉan aca'	Casa: apartado, lejos.
vaya'bu'vich	Mala suerte, palabra usada por gente mitológica.
vayacjeyaqui	Borrar, desaparecer, perdonar pecado.
vayacyetaqui	Desparramarse, huir, esparcirse (animales).
veca'	Quijada.
vécaqui	Le picó la víbora.
vecdaij -dajoban	Curvo, torcido, no recto.
vecdas, vecdaty	Torcido (palo).
vecje'	Colgar.
vecjetyete	Trancar el paso.
vecjeyaqui	Enganchar, sacar con gancho algo propio.
vechen'je', veche'ñe'	Abrir: trampa, ojo, levantar.
vechoro'rojyi	Dar llanto, agonizar.
ve'ej	Visible, claro (escritura).
ve'ij-i', ve'eja'	Desvelarse.
vei'seij -sei'	Nariz grande.
vej	1. Ojo. 2. Semilla.
vej c̣homren'jeyaqui	Mirar con asco.
vej jị'caveyaqui	Mirar con asco, examinar los ojos.
vejdye'	Semilla de chonta, fina.
vejdyes	Para ojos, anteojos.
vejtaqui	Cuidar.
vejtuqui	Cuidar.
vejvacdyes	Medicina para mal de ojo.
vejvaqui	Tener mal de ojo.
vejya'	Cara, en la cara.
veme'	Llevar en el hombro.
vemen'je', veme'ñe'	Alzar, llevar en el hombro.
ve'mi, ve'meban	Atorar.
venai'quedye'	Rayo de relámpago.
venai'yi'	Relampaguear.
vena'yaqui	Relampaguear seguido, refucilo.
venchuij, venchuban	Llegar de regreso.
venjoij	Llegada.
veque'naqui, vequeñe'	Amenazar.
veque'queij	Colgado, sobre hombro, etc.
véqui	Cargar: hijo, trastes, otra cosa.
véra	Vela, luz eléctrica.
veracochaj	Caravana, persona de habla castellano.
vereshdyij - dyi'	Gritar, chillar de chanchos.
ver'je', ve'raqui	Romper: tela, papel, etc.
vesejseij -eyeja' -i'	Narigón.
vesen'je', vese'ñe'	Llevar hacha.
veshyi	Picar (gusano boro cuando pica).
vetsetsej	Caer en cantidad, derramarse.
vetsi'tsiij -tsi'	Caer, desprender (botón).
vetsje', ve'tsaqui	Desprender: botón, fruta, etc.; destetar.
vị'	Cuñado.
vicoi'	Clase de fruta (lúcuma).
viĉoĉo	Gorra.
vichuchujdyi	Ruido del tejón, etc.
vi'i	Hacer gancho.
víjitis	Clase de víbora.
vijre	Calucha de motacú.
vijri	Pachuba, palma.
vijtui'	Sacar, enganchar fruta, figurativamente: robar.
vijviya	Clase de ave (siriguero).
vijyo	Cañuela, pasto.
vinodye'	Puente.
vị'nuij (-i')	Largo, delgado: nariz puntado, cuchillo delgado y largo.
vị'nus vị'nuty	De nariz largo.
viñus	Descompuesto: cuerpo.
viñus	Descompuesto de los huesos.
viqui	Tejer hilo.
víqui	Cargar hijo, trastes, acomodar.
vị́qui	Tocar bombo, guitarra; pegar, golpear.
víquis	Mochila, maleta.
viraqui, virja	Desgranar maíz.
viricje'	Sacar todo: espinas, fruta de un árbol; caerse: engranaje.
viricyi	Caen muchas frutas juntas.
viririjyi	Chispear.
viroj	Caña de azúcar.
vírui'	Pacay.
vise'	Raspar.
visdaqui	Raspar, sacar escama de pescado.
vịsi' ịvaj	Luna menguante.
vịsịsị	Putiri.
visje'	Raspar, rasgar.
vịsujsuij, vịsujsui'	De mal olor (fuerte).
visun'dyi'	Parcialmente fermentado.
vịsu'suij	Mareado.
vịsu'suyeja'	Estamos mareados.
víshety -shes	Color gris, que brilla, ropa de buena calidad.
vishi'	Somó, maíz sancochado.
vishyi	Ropa luminosa, lustrosa.
vịté	Tocar instrumento musical, como ser: caja, bombo.
víte	Tapeque, comida para viaje.
vítidye'	Carga, mochila.
vitsicje'	Ligar, amarrar.
vịya'	Abuelo, nieto.
vịyandye'	Apellido.
viyocojco'	Clase de araña.
voc	Precipicio, barranco.
vocje'	Sacar pedazo de carne o cascara de un palo.
vo'co	Barriga, intestinos.
vo'coij	Destripar.
voco'	Carga, trastes que lleva en mochila.
voco'coij -coi'	Ir con bolsa, cargar (su bolsa de uno).
voco'je'	Dejar una bolsa lista para el viaje.
voco'naqui	Alistar bolsa para viaje.
vocon'je' vocon'tye'	Mosquear palo.
vo'cotute- tui'	Destripar, operar el abdomen.
vocraqui	Labrar, cortar, tallar, cavar: madera, palo.
vocrete	Labrar, tallar.
vocroij, vocroty -ros	Parte podrida, cavada en un palo.
vocro'joij, vocro'joi'	Carcomido.
vodo'doij	Andar gateando: cuadrúpedo (hombre o animal).
vodo' vodo'yi	Gatear.
vodojdoij	Parado (animal).
vodyen'yi	Hombre que se convierte en tigre, etc. Mitología.
voijdaqui	Liar, envolver, empaquetar.
voijje'	Liar.
vojco'	Cáscara (corteza): árbol, cuero de pescado, casco de peta.
voji'	Hermana.
vojity	Hermano.
vojitytuqui, voji'tuqui, vojitytuja, voji'tuja'	Hermandad (estar en hermandad).
vojityyetacdye'	Primo hermano.
voji'yetacdye	Prima hermana.
vojñi	Cáscara de chonta (concha).
vojpina	Tacuara gruesa.
vojraqui	Cavar en madera, cosa dura; ensanchar hueco.
vojro	Copa, palma.
vojrodye'	Víbora negra, acuática, yoperojobobo.
vojvo	Ají redondo, grande.
von	Caracol.
vonej	Sábalo.
voquen'je'	Cargar en la espalda: alimento, plátano, carne.
voravoraj	Borochi.
voryedye'	Saludo.
voryi	Saluda.
vórei'	Clase de rana.
vóri	Llamar, ir a llamar.
vóri	Lechuza.
vor'je'	Arrancar.
vorjetacte	Despedirse.
vorjeyactaqui	Despedirse de una persona de la familia.
vorjeĉúnaqui	Reprender.
voro'ros	Tigre mitológico.
voro'shaqui	Aburrido, vivir enojado.
voroshyi	Grito de los animales, como ser marimono.
voro'tacsi	Predicar, aconsejar.
voro'tacsity	Predicador.
voro'yi	Predica.
vorsa	Bolsa.
voryedye'	Saludo.
voryedyes	Carta, saludos escritos.
voryetacdyes	Despedida.
voryetaqui	Despedirse.
vóshi'	Bisabuelo, bisnieto, antepasado, descendencia.
vójshinaj	Toborochi.
vo'vodye'	Adulterio, concubinato.
vo'vodye'	Concubina, querido, amante.
vo'voij -voi'	Cometer adulterio.
vóye	Buey.
voyo'	Mono nocturno, mono michi.
voyo'tyity	1. Término genérico de víbora 2. tela, corte de tela.
