
achalay	<span fgcolor="#228B22">(r).</span> Sumaq qawakunanpaq allinchay utaq llimpiy. Sumaqchay. <span fgcolor="#ff0000">Adornar, hermosear.</span>\n<span fgcolor="#a403fb">- Yachay wasinchikta achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos nuestra escuela.</span>
qullqi	<b>1.</b> <span fgcolor="#228B22">(s).</span> Chipipyaq yuraq mama, mana muyuriq, chutarikuq, wiñariq, llanuyaq.<span fgcolor="#ff0000"> Plata.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Mama qullqimanta rurasqa llapa imakuna rantinapaq. <span fgcolor="#ff0000">Dinero.</span>\n<span fgcolor="#a403fb">1. Allpa uku, mina nisqanmantam qullqita hurqumunku.</span>\n<span fgcolor="#0000ff">- De la mina extraen la plata.</span>\n<span fgcolor="#a403fb">2. Yachay wasiman riypas achka qullqipaqmi.</span>\n<span fgcolor="#0000ff">- Asistir a la escuela cuesta mucho dinero.</span>
qumalliy	<span fgcolor="#228B22">(r).</span> Hukpa rurasqanmanta hukman willay, huchachay, qaqchapay. Willapay. <span fgcolor="#ff0000">Acusar.</span>\n<span fgcolor="#a403fb">- Kikinkupura qumallinakunku.</span>\n<span fgcolor="#0000ff">- Entre ellos(as) se acusan.</span>
qumir	<span fgcolor="#228B22">(s).</span> Llullu quraman rikchakuq llimpi, quyu. <span fgcolor="#ff0000">Verde.</span>\n<span fgcolor="#a403fb">- Unkuqa qumir awasqawan rurasqam.</span>\n<span fgcolor="#0000ff">- La camisa está hecha de tela verde.</span>
quñi	<span fgcolor="#228B22">(s).</span> Rupayniyuq. <span fgcolor="#ff0000">Caliente.</span>\n<span fgcolor="#a403fb">- Mana wiksayki nanasunaykipaq quñi yakuta upyay.</span>\n<span fgcolor="#0000ff">- Toma agua caliente para que no te duela el estómago.</span>
qunquri	<span fgcolor="#228B22">(s).</span> Chankamanta chaki rakiq muqu. <span fgcolor="#ff0000">Rodilla.</span>\n<span fgcolor="#a403fb">- Rumipi qunqurinta waqtakurqun.</span>\n<span fgcolor="#0000ff">- Se golpeó la rodilla en la piedra.</span>
qunqurikuy	<span fgcolor="#228B22">(r).</span> Pampaman qunquri churay; muquwan pampapi sayay; kumukuy. <span fgcolor="#ff0000">Arrodillarse.</span>\n<span fgcolor="#a403fb">- Ama qunqurikuychu.</span>\n<span fgcolor="#0000ff">- No te arrodilles.</span>
qupa	<span fgcolor="#228B22">(s).</span> Wanu. Llapa ima wischusqa manaña allinña kaptin. <span fgcolor="#ff0000">Basura.</span>\n<span fgcolor="#a403fb">- Qupa wischunaykipaq pichay.</span>\n<span fgcolor="#0000ff">- Barre la basura para que la botes.</span>
quqaw	<span fgcolor="#228B22">(s).</span> Chiri mikuy maymanpas rispa mikunapaq. Quqawi, milkapa. <span fgcolor="#ff0000">Fiambre.</span>\n<span fgcolor="#a403fb">- Payqa anchatam quqawta munan.</span>\n<span fgcolor="#0000ff">- A él le gusta mucho el fiambre.</span>
ququtuwa	Hatun urpitu, urpitu kaqlla hatun uqi pisqu. Kukuli. <span fgcolor="#ff0000">Torcaza.</span>\n<span fgcolor="#a403fb">- Sallqa allpakunapi quqututa qawarqani.</span>\n<span fgcolor="#0000ff">- Vi a la torcaza en tierras altoandinas.</span>
quqmay	<span fgcolor="#228B22">(r).</span> Sasachakuspa kallpachakuy. Qamay. <span fgcolor="#ff0000">Pujar.</span>\n<span fgcolor="#a403fb">- Mana qipiyta atispa warma quqman.</span>\n<span fgcolor="#0000ff">- Puja el niño al no poder cargar.</span>
qura	<span fgcolor="#228B22">(s).</span> Chakra qachachaq qura, kikillanmanta wiñaq qura. Llampu kaspiyuq qiwa, qachu. <span fgcolor="#ff0000">Hierba, mala hierba.</span>\n<span fgcolor="#a403fb">- Chakraypi qura puraminti wiñarqamun.</span>\n<span fgcolor="#0000ff">- En mi chacra ha crecido mucha mala hierba.</span>
quray	<span fgcolor="#228B22">(r).</span> Tarpusqa chakramanta kikinmanta wiñaq qurata hurquy. Qurachay. <span fgcolor="#ff0000">Deshierbar.</span>\n<span fgcolor="#a403fb">- Chimpa alwirhas chakrata quraysimuway.</span>\n<span fgcolor="#0000ff">- Ayúdame a deshierbar la chacra de alverjas del frente.</span>
quri	<span fgcolor="#228B22">(s).</span> Chipipyaq qillu llimpi mama. <span fgcolor="#ff0000">Oro.</span>\n<span fgcolor="#a403fb">- Qurimanta qullqi.</span>\n<span fgcolor="#0000ff">- Moneda de oro.</span>
qurquryay	<span fgcolor="#228B22">(r).</span> Puñuspa sinqawan luqyay. <span fgcolor="#ff0000">Roncar.</span>\n<span fgcolor="#a403fb">- Supa supaytam puñuspan qurquryan.</span>\n<span fgcolor="#0000ff">- Ronca como el diablo al dormir.</span>
quruta	<span fgcolor="#228B22">(s).</span> Qaripa, machu uywakunapa runtun; kaypim rikurimun yumay churiyakunapaq. <span fgcolor="#ff0000">Testículo.</span>\n<span fgcolor="#a403fb">- Qari runapapas machu uywakunapas qurutanqa iskaymi.</span>\n<span fgcolor="#0000ff">- Dos son los testículos de los varones y de los animales machos.</span>
qusa	<span fgcolor="#228B22">(s).</span> Warmipa qarin. Warmiwan kuskachakuq qari. <span fgcolor="#ff0000">Esposo, marido.</span>\n<span fgcolor="#a403fb">- Paniypa qusanqa llamkaq runam.</span>\n<span fgcolor="#0000ff">- El esposo de mi hermana es trabajador.</span>
qusi	<span fgcolor="#228B22">(s).</span> Hanaq pacha kaqlla llimpi; anqas tumpa yuraqyaykusqaniraq. <span fgcolor="#ff0000">Celeste.</span>\n<span fgcolor="#a403fb">- Qusi walichatam rantipusqayki.</span>\n<span fgcolor="#0000ff">- Voy a comprarte una pollerita celeste.</span>
qusñiy	<span fgcolor="#228B22">(r).</span> Nina rupaptin yuraqniraq puyuhina rikuriynin. <span fgcolor="#ff0000">Humear.</span>\n<span fgcolor="#a403fb">- Sansa qusñichkan.</span>\n<span fgcolor="#0000ff">- El carbón está humeando.</span>
qutu	<span fgcolor="#228B22">(s).</span> Kunkapi papahina aycha. <span fgcolor="#ff0000">Bocio.</span>\n<span fgcolor="#a403fb">- Kunkapim qutu rikurimun.</span>\n<span fgcolor="#0000ff">- El bocio sale en la garganta.</span>
quwi	<span fgcolor="#228B22">(s).</span> Kachkaq uchuy uywa, qurawan kawsan, siwaman rikchakuq. <span fgcolor="#ff0000">Cuy.</span>\n<span fgcolor="#a403fb">- Miski miskim quwipa aychan.</span>\n<span fgcolor="#0000ff">- La carne del cuy es muy agradable.</span>
quyllur	<span fgcolor="#228B22">(s).</span> Tuta kanchaq anqas uku. <span fgcolor="#ff0000">Estrella.</span>\n<span fgcolor="#a403fb">- Misipa ñawin quyllurhinam tutayaypi kancharin.</span>\n<span fgcolor="#0000ff">- Los ojos del gato brillan como la estrella en la noche.</span>
raka	<span fgcolor="#228B22">(s).</span> China uywakunapapas warmikunapapas ispakunan. Chupi, laka. <span fgcolor="#ff0000">Órgano genital femenino, vagina.</span>\n<span fgcolor="#a403fb">- Chinakunallapan rakan kan.</span>\n<span fgcolor="#0000ff">- Sólo las hembras tienen vagina.</span>
raku	<span fgcolor="#228B22">(s).</span> Suytu ruyrukunapa sayaynin. Hatun kullukunahina sayayniyuq. <span fgcolor="#ff0000">Grueso.</span>\n<span fgcolor="#a403fb">- Raku kullu.</span>\n<span fgcolor="#0000ff">- Tronco grueso.</span>
rakta	<span fgcolor="#228B22">(s).</span> Sinchi kayniyuq palta imakuna. <span fgcolor="#ff0000">Grueso en objetos laminados.</span>\n<span fgcolor="#a403fb">- Rakta kaqnintam qatanataqa rantimunki.</span>\n<span fgcolor="#0000ff">- Vas a comprar la frazada más gruesa.</span>
ranra	<span fgcolor="#228B22">(s).</span> Ñutu achka rumi. <span fgcolor="#ff0000">Cascajo.</span>\n<span fgcolor="#a403fb">- Ranrallañam chakraqa.</span>\n<span fgcolor="#0000ff">- La chacra es muy pedregosa.</span>
ranra ranra	<span fgcolor="#228B22">(s).</span> Achka ñutu rumiyuq allpa. Rumi rumi. Rumisapa allpa. <span fgcolor="#ff0000">Pedregal.</span>\n<span fgcolor="#a403fb">- Ayllu chakraqa ranra ranrallañam.</span>\n<span fgcolor="#0000ff">- La chacra de la comunidad es un pedregal.</span>
rantiy	<span fgcolor="#228B22">(r).</span> Qullqiwan imapas qatuy. <span fgcolor="#ff0000">Comprar.</span>\n<span fgcolor="#a403fb">- Chani chaninwanmi wasita rantini.</span>\n<span fgcolor="#0000ff">- Compro la casa con harto dinero.</span>
rantikuy	<span fgcolor="#228B22">(r).</span> Qullqipaq imapas runaman munachiy; qullqirayku imapas quy. <span fgcolor="#ff0000">Vender.</span>\n<span fgcolor="#a403fb">- Qariqa qatupim rantikun.</span>\n<span fgcolor="#0000ff">- El hombre vende en el mercado.</span>
rapi	<b>1.</b> <span fgcolor="#228B22">(s).</span> Imaymana sachakunamanta rurasqa qillqanapaq ima wankunapaqpas llañu rapra. <span fgcolor="#ff0000">Papel.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Qillqana maytupapas qillqa maytupapas sapaqkama rapra. <span fgcolor="#ff0000">Página.</span>\n<span fgcolor="#a403fb">1. Raprapi harawikunata qillqasaq.</span>\n<span fgcolor="#0000ff">- En un papel escribiré poesías.</span>\n<span fgcolor="#a403fb">2. Qillqana maytupa rapinqa sumaqmi.</span>\n<span fgcolor="#0000ff">- La hoja del cuaderno es buena.</span>
rapra	<span fgcolor="#228B22">(s).</span> Wallpapa pisqukunapa pawananpaq allin. Rikran. <span fgcolor="#ff0000">Alas.</span>\n<span fgcolor="#a403fb">- Yutupa huknin rapranta pakirqusqaku.</span>\n<span fgcolor="#0000ff">- Quebraron una de las alas de la perdiz.</span>
ratay	<span fgcolor="#228B22">(r).</span> Hukkunaman unquy mismiy, ratachiy. <span fgcolor="#ff0000">Contagiar.</span>\n<span fgcolor="#a403fb">- Qarachaqa ñuqamanpas rataykuwanmi.</span>\n<span fgcolor="#0000ff">- A mí también me contagió la sarna.</span>
rawkana	<span fgcolor="#228B22">(s).</span> Yurakunapa kasqanman allpa chutanapaq, hatun lampayuq. Papa, sara hallmanapaq rurana. <span fgcolor="#ff0000">Azadón.</span>\n<span fgcolor="#a403fb">- ¡Rawkanawan papata hallmamuy!</span>\n<span fgcolor="#0000ff">- ¡Aporca la papa con el azadón!</span>
rawray	<b>1.</b> <span fgcolor="#228B22">(s).</span> Ninapa rupaynin.<span fgcolor="#ff0000"> Fuego.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Imanchikpas rupaspa nanaynin; kiri nanaspan rupay. <span fgcolor="#ff0000">Ardor.</span>\n<span fgcolor="#a403fb">1. Nina llumpayta rawran.</span>\n<span fgcolor="#0000ff">- Hay mucho fuego.</span>\n<span fgcolor="#a403fb">2. ¿Kunkaykichu rawrachkan?</span>\n<span fgcolor="#0000ff">- ¿Acaso tu garganta está ardiendo?</span>
raymi	<span fgcolor="#228B22">(s).</span> Hatun ruraykunarayku llaqtapa kusikuynin, quchuchikuynin. <span fgcolor="#ff0000">Fiesta.</span>\n<span fgcolor="#a403fb">- Paqarimusqanrayku raymita ruranku.</span>\n<span fgcolor="#0000ff">- Festejan el día de su nacimiento.</span>
rikchapakuy	<span fgcolor="#228B22">(r).</span> Musquypihina umallapi ruray qaway. Ñawita wichqaspa umallapi chiqa kawsaypihina imapas ruray. <span fgcolor="#ff0000">Imaginarse.</span>\n<span fgcolor="#a403fb">- Rikchapakuyllam rikchapakun, mana munasqanta ruraspa.</span>\n<span fgcolor="#0000ff">- Sólo se imagina, sin concretar sus ideales.</span>
rikchay	<span fgcolor="#228B22">(r).</span> Puñuy tukuy. <span fgcolor="#ff0000">Despertar.</span>\n<span fgcolor="#a403fb">- ¡Wawa rikcharikunñam!</span>\n<span fgcolor="#0000ff">- ¡Ya despertó el bebé!</span>
rikra	<span fgcolor="#228B22">(s).</span> Kunkapa waqtapa chawpinpi tarikuq tullu aycha. <span fgcolor="#ff0000">Hombro.</span>\n<span fgcolor="#a403fb">- Rikraymi nanawachkan.</span>\n<span fgcolor="#0000ff">- Me está doliendo el hombro.</span>
rikuy	<span fgcolor="#228B22">(r).</span> Ñawiwan imapas qaway. <span fgcolor="#ff0000">Ver.</span>\n<span fgcolor="#a403fb">- Yachay wasiman risqaykita rikurqanim.</span>\n<span fgcolor="#0000ff">- Ví que fuiste a la escuela.</span>
rimanakuy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Runa masinchikwan rimay.<span fgcolor="#ff0000"> Dialogar.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Huñunakuypi achka runakunawan umanchay. <span fgcolor="#ff0000">Asamblea.</span>\n<span fgcolor="#a403fb">1. Amawtawan warmapa taytan rimanakunku.</span>\n<span fgcolor="#0000ff">- El maestro y el padre de familia dialogan.</span>\n<span fgcolor="#a403fb">2. Hatun rimanakuymi kachkan.</span>\n<span fgcolor="#0000ff">- Se está llevando una gran asamblea.</span>
rimay	<span fgcolor="#228B22">(r).</span> Hukkunaman allinlla imamantapas willay. <span fgcolor="#ff0000">Conversar.</span>\n<span fgcolor="#a403fb">- Tarpusqanchikmanta rimasun.</span>\n<span fgcolor="#0000ff">- Hablemos de nuestra siembra.</span>
rinri	<span fgcolor="#228B22">(s).</span> Umapa waqtanpi kaq uyarina. Ninri. <span fgcolor="#ff0000">Oreja, oído.</span>\n<span fgcolor="#a403fb">- Rinri wirachata hurqunanchikmi.</span>\n<span fgcolor="#0000ff">- Hay que sacarse el cerumen.</span>
riqsiy	<span fgcolor="#228B22">(r).</span> Imamantapas runamantapas yachay. <span fgcolor="#ff0000">Conocer.</span>\n<span fgcolor="#a403fb">- Wanta llaqtata riqsinim.</span>\n<span fgcolor="#0000ff">- Conozco el pueblo de Huanta.</span>
riti	<span fgcolor="#228B22">(s).</span> Chullunku. Rakta tikasqa yaku. <span fgcolor="#ff0000">Nevada.</span>\n<span fgcolor="#a403fb">- Riti achikyarqusqa urqu umanpi.</span>\n<span fgcolor="#0000ff">- Había amanecido nieve en la punta del cerro.</span>
ritiy	<span fgcolor="#228B22">(r).</span> Lasta wichimuynin. <span fgcolor="#ff0000">Nevar.</span>\n<span fgcolor="#a403fb">- Chikchi para chayamuptin ritin urqukunata.</span>\n<span fgcolor="#0000ff">- Cuando llega granizada se forma nevada en los cerros.</span>
riy	<span fgcolor="#228B22">(r).</span> Kaymanta chayman wakman puriy, kuyuy. <span fgcolor="#ff0000">Ir.</span>\n<span fgcolor="#a403fb">- ¡Yachay wasiman riy!</span>\n<span fgcolor="#0000ff">- ¡Anda a la escuela!</span>
rukana	<span fgcolor="#228B22">(s).</span> Maki pallqan imapas hapinapaq. <span fgcolor="#ff0000">Dedo.</span>\n<span fgcolor="#a403fb">- Kichkam raku rukananman tiparqun.</span>\n<span fgcolor="#0000ff">- La espina le pinchó el dedo gordo.</span>
rumasiru	<span fgcolor="#228B22">(s).</span> Chulli. Chiri runapa ukunman yaykurquptin yaku ñutintin ruparikustin uma nanay. <span fgcolor="#ff0000">Romadizo, resfriado.</span>\n<span fgcolor="#a403fb">- Wawachakuna rumasiru hapirquptinqa wañunmanmi.</span>\n<span fgcolor="#0000ff">- Cuando les agarra el resfriado a los bebés pueden morir.</span>
chulli	<span fgcolor="#228B22">(s).</span> Nuyusqa, chiriwan hapichikusqa sinqamanta yaku ñuti lluqsiynin. <span fgcolor="#ff0000">Rumasiru, resfrío.</span>\n<span fgcolor="#a403fb">- Chullim hapirquwan chaymi llumpayta ñuti sutumuwachkan.</span>\n<span fgcolor="#0000ff">- Me resfrié y por eso estoy mocoso.</span>
rumi	<span fgcolor="#228B22">(s).</span> Anaqyasqa allpa. <span fgcolor="#ff0000">Piedra.</span>\n<span fgcolor="#a403fb">- ¡Chakramanta rumikunata wischuy!</span>\n<span fgcolor="#0000ff">- ¡Bota las piedras de la chacra!</span>
rumiyasqa	<span fgcolor="#228B22">(s).</span> Sachakunapa uywakunapa wakin rumiman tikrasqa. <span fgcolor="#ff0000">Petrificado.</span>\n<span fgcolor="#a403fb">- Uywapa tullun rumiyarqusqa.</span>\n<span fgcolor="#0000ff">- Se había petrificado el hueso del animal.</span>
runa	<span fgcolor="#228B22">(s).</span> Qari warmi. <span fgcolor="#ff0000">Gente, persona.</span>\n<span fgcolor="#a403fb">- Achka runakunam ñanpi kan.</span>\n<span fgcolor="#0000ff">- En el camino hay muchas personas.</span>
runtu	<span fgcolor="#228B22">(s).</span> Llañu isku qarawan wankusqa yuraqwan qillu suytuniraq kawsay. <span fgcolor="#ff0000">Huevo.</span>\n<span fgcolor="#a403fb">- Wakin wallpakuna sapa punchawmi runtuta wachan.</span>\n<span fgcolor="#0000ff">- Algunas gallinas ponen huevo todos los días.</span>
runtuy	<span fgcolor="#228B22">(r).</span> China pisqukunapa, wallpakunapa, urukunapa wachaynin. <span fgcolor="#ff0000">Poner huevos.</span>\n<span fgcolor="#a403fb">- Runtuchkanñam patukunaqa.</span>\n<span fgcolor="#0000ff">- Ya están poniendo huevo los patos.</span>
rupapakuy	<span fgcolor="#228B22">(r).</span> Rupaypi purisqa samay chinkachikuy. <span fgcolor="#ff0000">Sofocarse.</span>\n<span fgcolor="#a403fb">- Llumpaytam rupapakurquni.</span>\n<span fgcolor="#0000ff">- Me he sofocado demasiado.</span>
rupay	<span fgcolor="#228B22">(s).</span> Intipa kanchanmanta ninapa kanchanmanta ancha quñi rikuriynin. <span fgcolor="#ff0000">Calor.</span>\n<span fgcolor="#a403fb">- Llumpaytam rupamuchkan.</span>\n<span fgcolor="#0000ff">- Hace un fuerte calor.</span>
ruqu	<span fgcolor="#228B22">(s).</span> Chirimanta intimanta uma harkanapaq sumiru. Chuku. <span fgcolor="#ff0000">Sombrero.</span>\n<span fgcolor="#a403fb">- Wayra mamaypa ruqunta qichurqun.</span>\n<span fgcolor="#0000ff">- El viento quitó el sombrero a mi madre.</span>
ruray	<span fgcolor="#228B22">(r).</span> Llamkaspa imapas rikurichiy. Llamkay. <span fgcolor="#ff0000">Hacer.</span>\n<span fgcolor="#a403fb">- Kananmi tantata ruranqa.</span>\n<span fgcolor="#0000ff">- Hoy hará panes.</span>
ruru	<span fgcolor="#228B22">(s).</span> Waytaman qatiqnin sachakunapa mikuynin. Rurupi muhu tarikun. <span fgcolor="#ff0000">Fruto.</span>\n<span fgcolor="#a403fb">- Paqaypa rurunqa utkuhinam.</span>\n<span fgcolor="#0000ff">- El fruto del pacae es como el algodón.</span>
ruru unquy	<span fgcolor="#228B22">(s).</span> Sinchita siqsichikustin puka anahina wawapa ukunpi rikurimuq. <span fgcolor="#ff0000">Sarampión.</span>\n<span fgcolor="#a403fb">- Wawacham wañurqun ruru unquywan.</span>\n<span fgcolor="#0000ff">- El bebé murió con el sarampión.</span>
rurun	<span fgcolor="#228B22">(s).</span> Runapa uywapa wasa ukunpi purutuhina aycha. Kaypi ispay rikurimun, yawarpas chuyachakun. <span fgcolor="#ff0000">Riñón.</span>\n<span fgcolor="#a403fb">- Wallpapaqa manam rurun kanchu.</span>\n<span fgcolor="#0000ff">- La gallina no tiene riñones.</span>
rutuchiy	<span fgcolor="#228B22">(s).</span> Qari wawapa ñawpa chukcha rutuynin. Ayllupi qari wawapa raymin. <span fgcolor="#ff0000">Primer corte de pelo.</span>\n<span fgcolor="#a403fb">- Paqarinmi sullka turiypa rutuchiynin kanqa.</span>\n<span fgcolor="#0000ff">- Mañana será el corte de pelo de mi hermano menor.</span>
rutuna	<span fgcolor="#228B22">(s).</span> Qurakuna kuchunapaq hirumanta rurasqa llamkana. <span fgcolor="#ff0000">Hoz, segadora.</span>\n<span fgcolor="#a403fb">- ¡Rutunata haywamuway!</span>\n<span fgcolor="#0000ff">- ¡Alcánzame la hoz!</span>
rutuy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Ñawchi kuchunawan uywapa millwan kuchuy.<span fgcolor="#ff0000"> Esquilar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Kiruchasqa kuchunawan chaki mikuykuna huñuy. <span fgcolor="#ff0000">Cortar.</span>\n<span fgcolor="#a403fb">1. Llamapa millwantam rantikunankupaq rutunqaku.</span>\n<span fgcolor="#0000ff">- Van a esquilar la lana de la llama para que vendan.</span>\n<span fgcolor="#a403fb">2. Rutunawan sarata rutumun.</span>\n<span fgcolor="#0000ff">- Corta el maíz con la hoz.</span>
ruyru	<span fgcolor="#228B22">(s).</span> Laranha ruruhina, rumpu. <span fgcolor="#ff0000">Esfera.</span>\n<span fgcolor="#a403fb">- Tiqsi muyu pachanchikqa ruyrum.</span>\n<span fgcolor="#0000ff">- La tierra tiene la forma de esfera.</span>
sacha	<span fgcolor="#228B22">(s).</span> Sayayninmanhina raku kulluyuq achka kallmayuq yura. <span fgcolor="#ff0000">Árbol.</span>\n<span fgcolor="#a403fb">- Mulli sachamanta yantata ruranku.</span>\n<span fgcolor="#0000ff">- Del árbol de molle hacen leña.</span>
sacha sacha	<span fgcolor="#228B22">(s).</span> Pipuy pipuy sachayuq allpa. Munti. <span fgcolor="#ff0000">Bosque.</span>\n<span fgcolor="#a403fb">- Yunkaqa sacha sachallam.</span>\n<span fgcolor="#0000ff">- La selva es solamente bosque.</span>
salli	<span fgcolor="#228B22">(s).</span> Pakikuqlla qamya asnayniyuq qillu rumihina. <span fgcolor="#ff0000">Azufre.</span>\n<span fgcolor="#a403fb">- Kuchi wirayananpaq sallitam mikuchinku.</span>\n<span fgcolor="#0000ff">- Para engordar al chancho le dan de comer azufre.</span>
sallqa	<span fgcolor="#228B22">(s).</span> Hanay chaki chiri chiri allpakuna. Suni. <span fgcolor="#ff0000">Cordillera, puna.</span>\n<span fgcolor="#a403fb">- Sallqa runakunaqa chuñutam ruranku.</span>\n<span fgcolor="#0000ff">- Los habitantes de la puna hacen chuño.</span>
samay	<span fgcolor="#228B22">(r).</span> Surqaman, pulmunman, yawar chuyachanapaq wayra wischustin apaykuy hinaspa. Ima asnaypas muskiy. <span fgcolor="#ff0000">Respirar, echar el aliento.</span>\n<span fgcolor="#a403fb">- ¡Sinqanta samay ama simintaqa!</span>\n<span fgcolor="#0000ff">- ¡Respira por la nariz y no por la boca!</span>
sampa	<span fgcolor="#228B22">(s).</span> Mana llasaq. Sapsa. <span fgcolor="#ff0000">Liviano.</span>\n<span fgcolor="#a403fb">- ¡Sampa kulluta apamuy!</span>\n<span fgcolor="#0000ff">- ¡Trae el tronco liviano!</span>
sani	<span fgcolor="#228B22">(s).</span> Pukarikuqwan anqas llimpi. <span fgcolor="#ff0000">Morado.</span>\n<span fgcolor="#a403fb">- Sani waytata tarikamuni</span>\n<span fgcolor="#0000ff">- Encontré una flor morada.</span>
