Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
Nuera de ellos	<font color=ForestGreen><b>deter.poses.:</b></font> Nachíneno.  <font color=purple>Ej.</font> María es la nuera de ellos.
Están con él	<font color=ForestGreen><b>vtr.:</b></font> Nakóchane
Me salí	Persona que se retira de un trabajo o reunión. <font color=ForestGreen><b>vtr.:</b></font> Nuchko
¡Ya voy!	Persona que indica que va. <font color=ForestGreen><b>interj.:</b></font> Nutyopo
Juguetear	Persona que se entretiene jugando. <font color=ForestGreen><b>vtr.:</b></font> Nutsaruriko
Voy a salir	Persona que va salir de una reunión, cárcel, estudio, deuda y trabajo. <font color=ForestGreen><b>vtr.:</b></font> Nuchku'yorepo
Lo pelaron	Personas que pelan algo. <font color=ForestGreen><b>vtr.:</b></font> Nacho'po.  <font color=purple>Ej.</font> Pelar un guineo maduro. 
Están preocupados	Personas intranquilas. <font color=ForestGreen><b>vtr.prnl.pl.:</b></font> Nakojrasamure
Están pensativos	Personas que meditan intensamente y están distraídos. <font color=ForestGreen><b>adj.pl.:</b></font> Najaasamre
Lo arruinaron	Destruir o causar grave daño por un grupo de personas. <font color=ForestGreen><b>vtr.pl.:</b></font> Namopachijko
Lo abrieron	Persona que le abren la pierna al animal para descuerarlo. <font color=purple>/</font> También se utiliza para referirse a la persona en un acto deportivo o sexual. <font color=ForestGreen><b>vtr.:</b></font> Nakajagichpo
Mi suegra	Persona que afirma que aquella mujer es su suegra. <font color=ForestGreen><b>deter.poses.:</b></font> Nimse
Mi amigo	<font color=ForestGreen><b>deter.poses.:</b></font> Nemnaksare
Hermano/a mayor	Se refiere al primer hermano de la familia. <font color=ForestGreen><b>n.m.f.:</b></font> Néchovi
Mi esposo	Dicho de la mujer para referirse a su marido. <font color=ForestGreen><b>deter.poses.:</b></font> Nima
Mi suegro	Se utiliza para referirse al padre de su esposo(a). <font color=ForestGreen><b>deter.poses.:</b></font> Nimchuko
Primogénito	Dicho por los padres para referirse al primer hijo. <font color=ForestGreen><b>adj.n.m.f.:</b></font> Nimaruupe
Yo carpo	Persona que se pone a carpir. <font color=ForestGreen><b>vtr.:</b></font> Níso'o
Yo cazo	Persona que afirma que ha ido de cacería. <font color=ForestGreen><b>vtr.:</b></font> Nkaseko
Yo vendo	Acción de vender. <font color=ForestGreen><b>vtr.:</b></font> Nijroriko
Yo cocino	Persona que realiza la acción de cocinar. <font color=ForestGreen><b>vtr.:</b></font> Nkomet-si
Tengo relación sexual	Persona que ha tenido relación sexual. <font color=ForestGreen><b>n.m.:</b></font> Nkoyeno
Tengo mujer	Persona que afirma que tiene mujer o esposa. <font color=ForestGreen><b>deter.poses.:</b></font> Nkoyeno
Soy horadador	Persona que hace un agujero o perfora. <font color=ForestGreen><b>adj.n.m.:</b></font> Nvet'so'i
Lo descosturé	Persona de descose prenda de vestir. <font color=ForestGreen><b>vtr.:</b></font> Nveporiko
Lo pinché	<font color=ForestGreen><b>vtr.:</b></font> Nvet-so'iko
Lo perforé	Persona que perfora algo blando como el yomomo, colchón o algo esponjoso. <font color=ForestGreen><b>vtr.:</b></font> Nvet-sojko
Mi camisa	<font color=ForestGreen><b>deter.poses.:</b></font> Nkamisa
Tú debes	Persona que afirma que la otra persona tiene una deuda bancaria o personal. <font color=ForestGreen><b>vtr.:</b></font> Ntevevi
Primero	Afirmación de una persona que llega o sale de primero de un lugar. <font color=ForestGreen><b>adv.num.:</b></font> Ntiwgiene.  <font color=purple>Ej.</font> Fui el primero en llegar a la fila. <font color=purple>/</font> <font color=blue>Ntiwgiene nitekpoo'i te tapiku.</font> 
Mi quirichí	Prominencia benigna y de pequeño tamaño que sale en la piel y está formada por la dilatación de las papilas vasculares y el endurecimiento de la epidermis que las cubre. <font color=ForestGreen><b>deter.poses.:</b></font> Ntetu
Mi nalga	Parte carnosa y redondeada situada en la parte baja de la espalda del alguien. <font color=ForestGreen><b>adj.dem.:</b></font> Ntete
Mi chuquito(a)	Expresión de adulo o demostración de cariño del padre o madre al hijo(a) pequeño(a). <font color=ForestGreen><b>deter.poses.coloq.:</b></font> Ntitagira
Mi Mandado	<font color=ForestGreen><b>deter.poses.:</b></font> Nkownora
Ahí vivo	Persona nativa de ese lugar por mucho tiempo. <font color=ForestGreen><b>adv.l.:</b></font> Nkowsa
Estoy enfermo	Persona que afirma que esta mal de salud. <font color=ForestGreen><b>adj.:</b></font> Nkojma
Me colaboró	Persona que colaboró para cumplir un determinado trabajo o tarea. <font color=ForestGreen><b>vtr.:</b></font> Nkojwo
Estoy con herida	<font color=ForestGreen><b>adj.:</b></font> Nkójora
Mi herida	Persona que afirma que tiene una herida. <font color=ForestGreen><b>deter.poses.:</b></font> Njora
Estoy con gorra	<font color=ForestGreen><b>prep.deter.poses.:</b></font> Nkómuisi
Estoy con sombrero	<font color=ForestGreen><b>prep.deter.poses.:</b></font> Nkojosi
Mi gorra	<font color=ForestGreen><b>deter.poses.:</b></font> Nmuisi
Me tropecé	Persona que pierde el equilibrio por un tropezón. <font color=ForestGreen><b>vtr.:</b></font> Nkoytetu
Yo venero	Sentir y demostrar gran amor y respeto a una cosa o a una persona por su virtud, dignidad, méritos o santidad. <font color=ForestGreen><b>vtr.:</b></font> Nekyoko
Extremo de los labios	<font color=ForestGreen><b>adj.:</b></font> Ntaramo
Mi hermano mayor	<font color=ForestGreen><b>deter.prep.:</b></font> Npórape
Mi tobillo	<font color=ForestGreen><b>deter.poses.:</b></font> Npigi
Quiero	Persona que afirma de querer o pretender algo. <font color=ForestGreen><b>vtr.:</b></font> Nwoo'o
Me doblé la pierna	<font color=ForestGreen><b>vtr.:</b></font> Nekyopueggio.  <font color=purple>Ej.</font> Estaba jugando fútbol y me doblé la pierna. <font color=purple>/</font> <font color=blue>Nutsaruu'ini ene nekyopueggiopo.</font> 
Me arrodillé en su delante	Arrodillarse delante de una imagen o algo beneficioso. <font color=ForestGreen><b>vtr.:</b></font> Nepyusmirucho
Le di guasca	Flagelar, azotar, castigar por algún hecho a otra persona. <font color=ForestGreen><b>vtr.:</b></font> Nestako
Estoy huasqueando	Dando azotes a otra persona o como también a un animal. <font color=ForestGreen><b>vtr.ger.:</b></font> Nestareko
Lo huasquée el tallo	Afirmación de una persona cortó el tallo de un árbol. <font color=ForestGreen><b>vtr.:</b></font> Nestagie'o
Me agacho	Inclinarse, agacharse para evitar chocar algo por delante. <font color=ForestGreen><b>vtr.prnl.:</b></font> Netpuejko
Lo deshicieron	Deshacer o quitar algo la forma a una cosa descomponiéndola. <font color=ForestGreen><b>vtr.pl.:</b></font> Naetspajko
Yo templo algo	Persona templa cuero, cuerda o que clava una estaca. <font color=ForestGreen><b>adj.:</b></font> Nettápueko
Clavar rápido	Personas que clavan rápido. <font color=ForestGreen><b>vtr.:</b></font> Nettátako
Mi sangre	Consanguíneo. <font color=ForestGreen><b>deter.poses.:</b></font> Nitne
Se lo terminé	Terminar cosa de otras personas. <font color=ForestGreen><b>vtr.:</b></font> Nitno
Mi papá	Dicho de un hijo a su padre. <font color=ForestGreen><b>deter.poses.:</b></font> Niya
Mi Padrastro	<font color=ForestGreen><b>deter.poses.:</b></font> Niyara'o
Me lo llevo con todo	Adueñarse o llevárselo todo. <font color=ForestGreen><b>vtr.:</b></font> Nimiijiko
Yo duermo	Persona que afirma que está durmiendo. <font color=ForestGreen><b>vtr.prnl.:</b></font> Nímoko
Fácil de ganarle	Lograr ganar sin dificultad al oponente. <font color=ForestGreen><b>adj.:</b></font> Ninmomójko
Lo muestro	Persona que expone o muestra algo a la vista señalando para que se vea <font color=ForestGreen><b>vtr.:</b></font> Nimeriko
¡Por suerte!	Lograr de conseguir algo al azar. <font color=ForestGreen><b>n.f.interj.:</b></font> Nitpapajkowo.  <font color=purple>Ej.</font> Por suerte alguien me prestó dinero. <font color=purple>/</font> <font color=blue>Nitpapajkowo nitkowo meriokore.</font>
Lo mastiqué	Persona que mastica chicle, alimento. <font color=ForestGreen><b>vtr.:</b></font> Nnippapajiko
Garrapatilla	Insecto parásito pequeño de las selvas y pampas. <font color=ForestGreen><b>zool.n.f.:</b></font> Ñañi
Su nieto	<font color=ForestGreen><b>adj.dem.:</b></font> Ñamri
Rosado	Color rosa. <font color=ForestGreen><b>adj.:</b></font> Ñachi
Rosado	Color de un hilo, soga, liñada o cinta. <font color=ForestGreen><b>adj.:</b></font> Ñachipi
Su apellido	Dicho de la mujer para referirse al apellido del varón. <font color=ForestGreen><b>deter.poses.:</b></font> Ñapijane
Llamar la atención	Dicho de la mujer para llamar la atención del varón. <font color=ForestGreen><b>vtr.:</b></font> Ñena
Su ano	<font color=ForestGreen><b>deter.poses.:</b></font> Ñichkopeno
Su cola	Su trasero.  <font color=ForestGreen><b>adj.dem.:</b></font> Ñijgi
Éste	<font color=ForestGreen><b>deter.demos.:</b></font> Ñigia
Sabe	Mujer que afirma a un hombre que sabe o conoce. <font color=ForestGreen><b>adj.:</b></font> Ñitko
Su sangre	<font color=ForestGreen><b>deter.demos.:</b></font> Ñitne
Mosquito	Insecto chupa sangre, de personas y de los animales; la picadura produce molestia y enfermedades mortales. <font color=ForestGreen><b>n.m.:</b></font> 'Ñi'u
De él	<font color=ForestGreen><b>deter.poses.:</b></font> Ñiye'e
Su papá	<font color=ForestGreen><b>deter.poses.:</b></font> Ñiya
No está	Cuando la mujer habla refiriéndose a un hombre que no está presente. <font color=ForestGreen><b>adv.l.:</b></font> Ñijina
Su nombre	<font color=ForestGreen><b>adj.dem.:</b></font> Ñíjare
Su diente	<font color=ForestGreen><b>deter.poses.:</b></font> Ño'e
Su abuelo	<font color=ForestGreen><b>adj.dem.:</b></font> Ñochko
Ciempiés	Insecto, gusano de muchas patas. <font color=ForestGreen><b>zool.:</b></font> Ñósopi
¡Por favor!	Pedir ayuda, auxilio. <font color=ForestGreen><b>interj.:</b></font> Ñujpankowo
¡Mirá!	Mirar, echar un vistazo o dar una mirada. <font color=ForestGreen><b>vtr.imper.:</b></font> Pim'a
¡Muéstrele!	Mostrar, revelar, expresar lo que uno ha visto o tiene. <font color=ForestGreen><b>vtr.imper.:</b></font> Pimecha
¿De verdad lo viste?	<font color=ForestGreen><b>n.f.interrog.:</b></font> Pim'ognenajicha
¡Llámame!	Llamar, citar, convocar, reunir. <font color=ForestGreen><b>vtr.imper.:</b></font> Pich'anu
¡Pará!	Ordena frenar, detenerse por alguna causa <font color=ForestGreen><b>vtr.interj.:</b></font> Pichigia
¡Andá a mirar!	Orden a una persona a otra que vaya ver algo. <font color=ForestGreen><b>vtr.imper.:</b></font> Pimojna
¡Tienes que ganarle!	Ordena de vencer, dominar en una competencia. <font color=ForestGreen><b>vtr. cond.imper.:</b></font> Pito'aka
¡Tienes que bautizarte!	Renacer, nombrarse a través del bautismo religioso. <font color=ForestGreen><b>vtr.cond.imper.:</b></font> Pikchosgia
Estirar todo	Orden de una persona a otra de que la pita lo estire todo o termine todo. <font color=ForestGreen><b>vtr.:</b></font> Pitopona
¡Endulza!	Ordena darle sabor dulce al refresco u otra bebida. <font color=ForestGreen><b>vtr.imper.:</b></font> Pitvecha
Eres hechicero	Persona que en algunas culturas hace predicciones, invoca a los espíritus y ejerce prácticas curativas utilizando poderes ocultos y productos naturales. <font color=ForestGreen><b>adj.:</b></font> Pittuj'o
¡Termínalo!	Orden de realizar un trabajo hasta acabar. <font color=ForestGreen><b>vtr.imper.:</b></font> Pituchapo
¡Tienes que casarte!	Persona que dictamina a que se case por el matrimonio religioso o civil. <font color=ForestGreen><b>mod.imper.:</b></font> Pitúchapo
Reconocedor	Persona que fácilmente reconoce a una persona o algo. <font color=ForestGreen><b>adj.:</b></font> Pimotrugi
¡Tú has sido!	<font color=ForestGreen><b>pres.indic.:</b></font> Pitiri'i
¡Termínalo!	Orden de una persona hacia otra acabar una actividad. <font color=ForestGreen><b>vtr.imper.:</b></font> Pita
¡Ni modo!	s.interj.: Pitarine
Llega	Ordena a una persona que debe llegar a tiempo. <font color=ForestGreen><b>vtr.:</b></font> Pitekpa
¿Es usted?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Pitiripo
¡Devolvé!	Persona que tiene que devolver algún objeto prestado a su dueño. <font color=ForestGreen><b>vtr.imper.:</b></font> Pichopa
¡Disértalo!	Orden de una persona a otra que tiene que dar el discurso en público. <font color=ForestGreen><b>vintr.imper.:</b></font> Pechorigia
¡Acuérdate!	Persona que ordena a otra que debe acordarse de alguien o algo. <font color=ForestGreen><b>vintr.imper.:</b></font> Péchanu
¡No te olvides!	Insistir en no olvidarse. <font color=ForestGreen><b>Imper.:</b></font> Pechapo
¡Levántate!	Persona que ordena a otra levantarse. <font color=ForestGreen><b>vtr.imper.:</b></font> Pechpuka
¡Entendé!	Persona que insiste que otra comprenda lo hablado. <font color=ForestGreen><b>vtr.imper.:</b></font> Pechemcha
Eres intelectual	Persona que es inteligente. <font color=ForestGreen><b>adj.:</b></font> Pechemra'i
¿Eres alcohólico?	Pregunta de una persona a otra sobre una adicción negativa. <font color=ForestGreen><b>adj.interrog.:</b></font> ¿Perora'i?
¡Dale un sopapo!	Orden de dar golpe con las palmas de la mano en la cara de otra. <font color=ForestGreen><b>vtr.imper.:</b></font> Peroposgia
Pelea	Acción de pelear. <font color=ForestGreen><b>n.f.:</b></font> Pe'rorigia
¿Entendés o no?	Interrogación de una persona a otra si asimila o entiende. <font color=ForestGreen><b>vtr.interrog.cond.:</b></font> Pechemra'chupka
¡Arrodíllate!	persona que ordena que se arrodille otra. <font color=ForestGreen><b>vtr.prnl.imper.:</b></font> Pekyoka
Eres celoso	Persona que tiene celos por otra. <font color=ForestGreen><b>adj.:</b></font> Petyora'i
Eres loco	Desubicado, persona que no se ubica de lo que expresa. <font color=ForestGreen><b>adj.:</b></font> Pemnanasko
Sin nada	Nombre propio que se le dio al alimento elaborado sin ningún ingrediente para darle un sabor exclusivo. <font color=ForestGreen><b>n.f.:</b></font> Pemna'ejru
¡Atendeme!	Ordena que atienda a lo que habla o explica. <font color=ForestGreen><b>vtr.imper.:</b></font> Pechemchanu
A la suerte / al tanteo	<font color=ForestGreen><b>n.f.:</b></font> Pemna'oko/a
¿Lo amas?	Pregunta a otra persona si ama a alguien. <font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Pemnako?
Adrede	Con intensión de causar algo molesto en otra persona. <font color=ForestGreen><b>adv.:</b></font> Pémure
Por coincidencia	Realizar, hacer, una cosa bien, a conciencia. <font color=ForestGreen><b>n.f.:</b></font> Pemna'oka/po
¡Andá Rezá!	Orden espiritual de pedir perdón o misericordia según su credo religioso, rezando. <font color=ForestGreen><b>vintr.imper.:</b></font> Peñuchapo
¡Menea tu Cadera!	<font color=ForestGreen><b>vtr.imper.:</b></font> Peñegiapo
Advertencia	Ten cuidado. Prevenir, informar, notificar o comunicar algo. <font color=ForestGreen><b>n.f.:</b></font> Pesamijrigia
¿Estás rezando?	Interrogativo a una persona que si esta orando o no. <font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Peñuchwo?
¿Qué miras?	Pregunta a una persona a otra sobre la incomoda situación de observación. <font color=ForestGreen><b>interj.:</b></font> ¿Pepanu?
¡Saltá!	Orden de saltar. <font color=ForestGreen><b>vtr.imper.:</b></font> Peteregia
¡Hacelo rapidito!	Realizar una actividad con diligencia por orden de otra persona. <font color=ForestGreen><b>vtr.imper.:</b></font> Pettsetsejigia
¡Míralo!	Orden de mirar a una persona, animal u objeto. <font color=ForestGreen><b>vtr.imper.:</b></font> Pesñegia
¡Acéptalo!	Aceptar a alguien o algo. <font color=ForestGreen><b>vtr.imper.:</b></font> Peschopa
Tienes que estar de acuerdo con la opinión de otra persona	<font color=ForestGreen><b>vtr.cond.:</b></font> Peschopyo
¿Estarás de acuerdo?	<font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Peschopyo?
¡Levantá la cabeza!	<font color=ForestGreen><b>vtr.imper.:</b></font> Pechpusgia
¡Córtalo!	Orden de cortar algún objeto con cuchillo. <font color=ForestGreen><b>vtr.imper.:</b></font> Pestigia
¡Dale de comer!	Orden de dar de comer a alguien o a un animal. <font color=ForestGreen><b>vtr.imper.:</b></font> Pengia
¡Pescá!	Orden de una persona a otra para pescar. <font color=ForestGreen><b>vtr.imper.:</b></font> Pengia
¿Estás pescando?	Pregunta de una persona a otra si está pescando. <font color=purple>/</font> También se utiliza para preguntar si le ha dado de comer a una persona o animal. <font color=ForestGreen><b>vtr.ger.interrog.:</b></font> ¿Penko?
