acjjz	<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=#FF8C00>ENG:</font> to herd
pjullu = pirsata = tjajjzquiti	<font color=#2E8B57>ESP:</font> frazada, cama\n<font color=blue>AYM:</font> ikiña, phullu\n<font color=#FF8C00>ENG:</font> blanket, bed
pjullunquiz	<font color=#2E8B57>ESP:</font> agua burbujeando en vertiente\n<font color=blue>AYM:</font> jupuqiyaña\n<font color=#FF8C00>ENG:</font> water bubbling in spring
pjura	<font color=#2E8B57>ESP:</font> parte inferior de ancañoco (raíz parásita de tola)\n<font color=blue>AYM:</font> kuka, anqhuñuq phura\n<font color=#FF8C00>ENG:</font> lower part of ancañoco (parasitic root of bush)
pjura	<font color=#2E8B57>ESP:</font> coca aplastada\n<font color=blue>AYM:</font> ñitthapita\n<font color=#FF8C00>ENG:</font> pressed coca
pjurna	<font color=#2E8B57>ESP:</font> parte superior, cumbre\n<font color=blue>AYM:</font> ch'utu, mujina\n<font color=#FF8C00>ENG:</font> upper part, peak, top
pjursanti	<font color=#2E8B57>ESP:</font> fuerte, con fuerza\n<font color=blue>AYM:</font> ch'amanti\n<font color=#FF8C00>ENG:</font> strong, with force
pjurti	<font color=#2E8B57>ESP:</font> fuerte (sonido)\n<font color=blue>AYM:</font> ch'axwa\n<font color=#FF8C00>ENG:</font> loud
pjurtuna	<font color=#2E8B57>ESP:</font> suerte, fortuna\n<font color=blue>AYM:</font> phurtuna\n<font color=#FF8C00>ENG:</font> luck, fortune
pjuruta	<font color=#2E8B57>ESP:</font> fruta\n<font color=blue>AYM:</font> phruta, musq'a achu\n<font color=#FF8C00>ENG:</font> fruit
pjurz	<font color=#2E8B57>ESP:</font> agarrar con garras, asegurar con gancho\n<font color=blue>AYM:</font> jat'tapiña\n<font color=#FF8C00>ENG:</font> to grab with the claws, to pin
pjuta	<font color=#2E8B57>ESP:</font> calma, quietud (del tiempo)\n<font color=blue>AYM:</font> t'aktata\n<font color=#FF8C00>ENG:</font> calm, tranquil (weather)
pjuyaziz	<font color=#2E8B57>ESP:</font> rumiar\n<font color=blue>AYM:</font> qanuña\n<font color=#FF8C00>ENG:</font> to ruminate
pocara = kontawi	<font color=#2E8B57>ESP:</font> pilón de piedras como efigie\n<font color=blue>AYM:</font> mallku, t'alla, pukara\n<font color=#FF8C00>ENG:</font> pile of rocks as an effigy
poco poco	<font color=#2E8B57>ESP:</font> Pucu pucu (ave)\n<font color=blue>AYM:</font> puku puku\n<font color=#FF8C00>ENG:</font> Gray-breasted Seedsnipe (bird)
pocuchi	<font color=#2E8B57>ESP:</font> vejiga\n<font color=blue>AYM:</font> yaq'allachi\n<font color=#FF8C00>ENG:</font> bladder
pocultan = porap	<font color=#2E8B57>ESP:</font> los dos, ambos\n<font color=blue>AYM:</font> pansa, purapa, paypacha\n<font color=#FF8C00>ENG:</font> both
pocullchi	<font color=#2E8B57>ESP:</font> sangre coagulada\n<font color=blue>AYM:</font> wila sayt'ata\n<font color=#FF8C00>ENG:</font> coagulated blood
poki = tacja	<font color=#2E8B57>ESP:</font> comida espesa\n<font color=blue>AYM:</font> thasa, sankhu\n<font color=#FF8C00>ENG:</font> thick food
pompiz	<font color=#2E8B57>ESP:</font> descolorar/quemar por el sol\n<font color=blue>AYM:</font> tuntirata\n<font color=#FF8C00>ENG:</font> to discolor/to burn from the sun
pookz	<font color=#2E8B57>ESP:</font> producir\n<font color=blue>AYM:</font> puquyaña\n<font color=#FF8C00>ENG:</font> to produce
pootz	<font color=#2E8B57>ESP:</font> cortar, cortarse\n<font color=blue>AYM:</font> khariña, kharisiña\n<font color=#FF8C00>ENG:</font> to cut, to cut oneself
poracalla	<font color=#2E8B57>ESP:</font> estómago, primer estómago de rumiantes\n<font color=blue>AYM:</font> puraka\n<font color=#FF8C00>ENG:</font> stomach, first stomach of ruminants
porap = pocultan	<font color=#2E8B57>ESP:</font> los dos, ambos\n<font color=blue>AYM:</font> pansa, purapa, paypacha\n<font color=#FF8C00>ENG:</font> both
porapat	<font color=#2E8B57>ESP:</font> entre sí\n<font color=blue>AYM:</font> purapata\n<font color=#FF8C00>ENG:</font> between one another
pori	<font color=#2E8B57>ESP:</font> pobre\n<font color=blue>AYM:</font> puri, wajcha\n<font color=#FF8C00>ENG:</font> poor
primiraqui = pirimiraqui	<font color=#2E8B57>ESP:</font> primero\n<font color=blue>AYM:</font> layrankiri\n<font color=#FF8C00>ENG:</font> first
pucuta	<font color=#2E8B57>ESP:</font> montón de ramas no desgranadas\n<font color=blue>AYM:</font> chhama\n<font color=#FF8C00>ENG:</font> sheaves
pujtpujtz	<font color=#2E8B57>ESP:</font> sonido de golpe/de pasos\n<font color=blue>AYM:</font> t'uq t'uq, putj putj\n<font color=#FF8C00>ENG:</font> sound of a hit/of steps
pujtza	<font color=#2E8B57>ESP:</font> gordo\n<font color=blue>AYM:</font> phatu\n<font color=#FF8C00>ENG:</font> fat, big
pujtza	<font color=#2E8B57>ESP:</font> adobe grueso\n<font color=blue>AYM:</font> phatu\n<font color=#FF8C00>ENG:</font> thick, coarse adobe
pujtza	<font color=#2E8B57>ESP:</font> nalgas, ancas\n<font color=blue>AYM:</font> ch'ina\n<font color=#FF8C00>ENG:</font> buttock, behind
puju	<font color=#2E8B57>ESP:</font> río\n<font color=blue>AYM:</font> jawira\n<font color=#FF8C00>ENG:</font> river
pukmajj	<font color=#2E8B57>ESP:</font> dos días\n<font color=blue>AYM:</font> payuru\n<font color=#FF8C00>ENG:</font> two days
pulmuna	<font color=#2E8B57>ESP:</font> pulmón\n<font color=blue>AYM:</font> chuyma\n<font color=#FF8C00>ENG:</font> lungs
pulsana	<font color=#2E8B57>ESP:</font> chancho con vientre blanco\n<font color=blue>AYM:</font> janq'u purakan khuchi\n<font color=#FF8C00>ENG:</font> pig with white belly
pulu	<font color=#2E8B57>ESP:</font> borde de tela\n<font color=blue>AYM:</font> pulu\n<font color=#FF8C00>ENG:</font> hem of cloth
pulza	<font color=#2E8B57>ESP:</font> bolsa para plata\n<font color=blue>AYM:</font> wulsa, wayaqa\n<font color=#FF8C00>ENG:</font> money-bag
puma	<font color=#2E8B57>ESP:</font> goma, borrador\n<font color=blue>AYM:</font> ilastiku, q'awchi, puma\n<font color=#FF8C00>ENG:</font> rubber, eraser
pumpo	<font color=#2E8B57>ESP:</font> bombo\n<font color=blue>AYM:</font> wankara, pumpu\n<font color=#FF8C00>ENG:</font> bass drum
punchu	<font color=#2E8B57>ESP:</font> poncho\n<font color=blue>AYM:</font> punchu\n<font color=#FF8C00>ENG:</font> poncho
punta = walipunta	<font color=#2E8B57>ESP:</font> animal más grande, animal líder\n<font color=blue>AYM:</font> punta, walipunta\n<font color=#FF8C00>ENG:</font> biggest animal, lead animal
puntalz	<font color=#2E8B57>ESP:</font> apuntalar, sujetar\n<font color=blue>AYM:</font> chhuqtas waytaña\n<font color=#FF8C00>ENG:</font> to prop up, to fasten
puntillu	<font color=#2E8B57>ESP:</font> cortaplumas para marcar animales en la oreja\n<font color=blue>AYM:</font> kurta pluma\n<font color=#FF8C00>ENG:</font> small knife to mark animals' ears
puntuni	<font color=#2E8B57>ESP:</font> hábil\n<font color=blue>AYM:</font> suti\n<font color=#FF8C00>ENG:</font> capable, skillful
puriña	<font color=#2E8B57>ESP:</font> bañador\n<font color=blue>AYM:</font> phinti\n<font color=#FF8C00>ENG:</font> washbasin
purjjatz	<font color=#2E8B57>ESP:</font> llegar con abundancia (agua, viento)\n<font color=blue>AYM:</font> purjataña\n<font color=#FF8C00>ENG:</font> to come abundantly (water, wind)
purlaz	<font color=#2E8B57>ESP:</font> burlar\n<font color=blue>AYM:</font> wurlasiña\n<font color=#FF8C00>ENG:</font> to make fun of
purwiiz	<font color=#2E8B57>ESP:</font> averiguar\n<font color=blue>AYM:</font> awirwiyt'aña\n<font color=#FF8C00>ENG:</font> to inquire, to verify
puti	<font color=#2E8B57>ESP:</font> boleadoras para jugar\n<font color=blue>AYM:</font> liwi anatañataki\n<font color=#FF8C00>ENG:</font> bolas for play
puti ata	<font color=#2E8B57>ESP:</font> labio grueso\n<font color=blue>AYM:</font> phatu phisphi\n<font color=#FF8C00>ENG:</font> big lip
putilla	<font color=#2E8B57>ESP:</font> botella\n<font color=blue>AYM:</font> wutilla\n<font color=#FF8C00>ENG:</font> bottle
putira	<font color=#2E8B57>ESP:</font> guía especialista en el ritual\n<font color=blue>AYM:</font> luqiri\n<font color=#FF8C00>ENG:</font> specialized guide in rituals
putiza = wasinica	<font color=#2E8B57>ESP:</font> jarra, bacín\n<font color=blue>AYM:</font> yuru, wasinika\n<font color=#FF8C00>ENG:</font> jar, jug, pitcher, chamber pot
putucu	<font color=#2E8B57>ESP:</font> casa de estancia\n<font color=blue>AYM:</font> putuku\n<font color=#FF8C00>ENG:</font> house in the field
putuna	<font color=#2E8B57>ESP:</font> botón\n<font color=blue>AYM:</font> wutuna\n<font color=#FF8C00>ENG:</font> button
putunira	<font color=#2E8B57>ESP:</font> aguja para poner arretes a los animales\n<font color=blue>AYM:</font> yawri\n<font color=#FF8C00>ENG:</font> needle to put earrings in animals' ears
puytu	<font color=#2E8B57>ESP:</font> cría destetada\n<font color=blue>AYM:</font> puytu\n<font color=#FF8C00>ENG:</font> weaned offspring
puzitiz	<font color=#2E8B57>ESP:</font> empeñar\n<font color=blue>AYM:</font> pirintjaña\n<font color=#FF8C00>ENG:</font> to pawn
puz̈i	<font color=#2E8B57>ESP:</font> color de café oscuro\n<font color=blue>AYM:</font> ch'umpi ch'amak\n<font color=#FF8C00>ENG:</font> dark brown color of animals
p'ajjpacu	<font color=#2E8B57>ESP:</font> persona que no cumple\n<font color=blue>AYM:</font> p'axpaku\n<font color=#FF8C00>ENG:</font> person that makes promises but never fulfills them
p'ajjpaquiiz	<font color=#2E8B57>ESP:</font> no cumplir (promesa, pacto)\n<font color=blue>AYM:</font> p'axpaña\n<font color=#FF8C00>ENG:</font> not to fulfill, to break (promise, agreement)
p'ata	<font color=#2E8B57>ESP:</font> bulto muy lleno y apretado\n<font color=blue>AYM:</font> t'iqi\n<font color=#FF8C00>ENG:</font> full, tight bundle
p'ekinchayz	<font color=#2E8B57>ESP:</font> animar\n<font color=blue>AYM:</font> p'iqinchaña\n<font color=#FF8C00>ENG:</font> to encourage
p'ektiz	<font color=#2E8B57>ESP:</font> animarse\n<font color=blue>AYM:</font> p'iqintasiña\n<font color=#FF8C00>ENG:</font> to be stimulated, to be encouraged, to be excited
p'iske	<font color=#2E8B57>ESP:</font> sopa de quinua\n<font color=blue>AYM:</font> p'isqi\n<font color=#FF8C00>ENG:</font> quinoa soup
p'itz	<font color=#2E8B57>ESP:</font> sacar (espina)\n<font color=blue>AYM:</font> ch'api p'itsusiña\n<font color=#FF8C00>ENG:</font> to pull out (thorn)
p'itz	<font color=#2E8B57>ESP:</font> terminar un tejido\n<font color=blue>AYM:</font> p'itsuña\n<font color=#FF8C00>ENG:</font> to finish weaving a textile
p'itz	<font color=#2E8B57>ESP:</font> escarbar con los dedos\n<font color=blue>AYM:</font> p'iyaña, jatsuña\n<font color=#FF8C00>ENG:</font> to scrape with the fingers
p'izaka	<font color=#2E8B57>ESP:</font> perdiz\n<font color=blue>AYM:</font> p'isaqa\n<font color=#FF8C00>ENG:</font> partridge
p'iztjooa	<font color=#2E8B57>ESP:</font> jovencito\n<font color=blue>AYM:</font> waynalla\n<font color=#FF8C00>ENG:</font> male teenager
p'iztur	<font color=#2E8B57>ESP:</font> jovencita\n<font color=blue>AYM:</font> tawaqu\n<font color=#FF8C00>ENG:</font> female teenager
p'izurazzi	<font color=#2E8B57>ESP:</font> ser joven\n<font color=blue>AYM:</font> waynaña\n<font color=#FF8C00>ENG:</font> to be a teenager
p'utu	<font color=#2E8B57>ESP:</font> grano (en cuerpo)\n<font color=blue>AYM:</font> muqu\n<font color=#FF8C00>ENG:</font> pimple
p'uyru	<font color=#2E8B57>ESP:</font> con estómago hinchado\n<font color=blue>AYM:</font> p'uyruntata\n<font color=#FF8C00>ENG:</font> swollen stomach
p'uyru	<font color=#2E8B57>ESP:</font> petizo\n<font color=blue>AYM:</font> p'uti\n<font color=#FF8C00>ENG:</font> short, small
queca	<font color=#2E8B57>ESP:</font> pecho\n<font color=blue>AYM:</font> mutu\n<font color=#FF8C00>ENG:</font> chest
queez	<font color=#2E8B57>ESP:</font> poner a secar\n<font color=blue>AYM:</font> wañachiña\n<font color=#FF8C00>ENG:</font> to lay out to dry
queez̈ulla	<font color=#2E8B57>ESP:</font> cerquita\n<font color=blue>AYM:</font> jak'alla\n<font color=#FF8C00>ENG:</font> very near
quejps	<font color=#2E8B57>ESP:</font> volcar, dar vuelta\n<font color=blue>AYM:</font> muytaña\n<font color=#FF8C00>ENG:</font> to turn over
quejpz̈quiz	<font color=#2E8B57>ESP:</font> regresar\n<font color=blue>AYM:</font> kutt'aniña\n<font color=#FF8C00>ENG:</font> to return
quejras	<font color=#2E8B57>ESP:</font> maltratar\n<font color=blue>AYM:</font> axmachjaña, usuchjaña\n<font color=#FF8C00>ENG:</font> to mistreat
quejrñi	<font color=#2E8B57>ESP:</font> pellizcar, torcer\n<font color=blue>AYM:</font> q'iwiña\n<font color=#FF8C00>ENG:</font> to pinch (skin), to twist
quejrquejrz	<font color=#2E8B57>ESP:</font> torcer, arrugar\n<font color=blue>AYM:</font> millk'taña\n<font color=#FF8C00>ENG:</font> to twist, to bend, to wrinkle
quejrquejrzi	<font color=#2E8B57>ESP:</font> hilo ondulado, soga mal trenzada\n<font color=blue>AYM:</font> llawqha k'anata\n<font color=#FF8C00>ENG:</font> coiled thread, poorly braided rope
quejrz	<font color=#2E8B57>ESP:</font> torcelar\n<font color=blue>AYM:</font> mismiña, k'antiña, qapuña\n<font color=#FF8C00>ENG:</font> to twist
quejz	<font color=#2E8B57>ESP:</font> tallar piedras\n<font color=blue>AYM:</font> q'ala liq'iña\n<font color=#FF8C00>ENG:</font> to shape rocks
quelz	<font color=#2E8B57>ESP:</font> bolsa tejida\n<font color=blue>AYM:</font> wayaqa\n<font color=#FF8C00>ENG:</font> woven bag
quepin c̈hjaki	<font color=#2E8B57>ESP:</font> ida y vuelta\n<font color=blue>AYM:</font> saraña k'uttaña\n<font color=#FF8C00>ENG:</font> round trip
quepsic̈ha	<font color=#2E8B57>ESP:</font> cambiar de plan\n<font color=blue>AYM:</font> yaqha amtaña, may amtaña\n<font color=#FF8C00>ENG:</font> to change plans
quera	<font color=#2E8B57>ESP:</font> aire, brisa\n<font color=blue>AYM:</font> samana, ch'isi\n<font color=#FF8C00>ENG:</font> air, breeze
querca	<font color=#2E8B57>ESP:</font> quirquincho\n<font color=blue>AYM:</font> khirkhinchu\n<font color=#FF8C00>ENG:</font> quirquincho (type of armadillo)
quero	<font color=#2E8B57>ESP:</font> macho\n<font color=blue>AYM:</font> urqu\n<font color=#FF8C00>ENG:</font> male
querquero	<font color=#2E8B57>ESP:</font> constelación de Orión\n<font color=blue>AYM:</font> urqu urqu\n<font color=#FF8C00>ENG:</font> The Constellation Orion
querquero	<font color=#2E8B57>ESP:</font> muy macho (animales)\n<font color=blue>AYM:</font> urqu urqu\n<font color=#FF8C00>ENG:</font> very masculine (animals)
querwallpa	<font color=#2E8B57>ESP:</font> gallo\n<font color=blue>AYM:</font> k'ank'a\n<font color=#FF8C00>ENG:</font> rooster
querz	<font color=#2E8B57>ESP:</font> ventilar, ventear\n<font color=blue>AYM:</font> wayräña\n<font color=#FF8C00>ENG:</font> to air out
querz̈quiñi	<font color=#2E8B57>ESP:</font> viento que viene de todos los lados al mismo tiempo\n<font color=blue>AYM:</font> taqi chaqat wayra juthi\n<font color=#FF8C00>ENG:</font> wind that blows from all directions at once
quetala	<font color=#2E8B57>ESP:</font> pequeño recinto para guardar alimentos\n<font color=blue>AYM:</font> pirwa\n<font color=#FF8C00>ENG:</font> small place in the house to keep food
quetwana	<font color=#2E8B57>ESP:</font> conejo silvestre\n<font color=blue>AYM:</font> pampa quwi\n<font color=#FF8C00>ENG:</font> wild rabbit
quewajtja	<font color=#2E8B57>ESP:</font> otro pueblo\n<font color=blue>AYM:</font> yaqha marka\n<font color=#FF8C00>ENG:</font> another town
quewi	<font color=#2E8B57>ESP:</font> tipo de cántaro\n<font color=blue>AYM:</font> p'uñu\n<font color=#FF8C00>ENG:</font> large clay jug
quezi	<font color=#2E8B57>ESP:</font> chicha\n<font color=blue>AYM:</font> k'usa\n<font color=#FF8C00>ENG:</font> chicha, alcoholic drink from fermented corn
quezi cherchi	<font color=#2E8B57>ESP:</font> parecido a la chicha\n<font color=blue>AYM:</font> k'usa jama\n<font color=#FF8C00>ENG:</font> similar to chicha (corn beer)
quija	<font color=#2E8B57>ESP:</font> queja, demanda\n<font color=blue>AYM:</font> kija\n<font color=#FF8C00>ENG:</font> complaint, demand
quijñi	<font color=#2E8B57>ESP:</font> demandante\n<font color=blue>AYM:</font> kijiri\n<font color=#FF8C00>ENG:</font> plaintiff
quijta	<font color=#2E8B57>ESP:</font> demandado\n<font color=blue>AYM:</font> kijata\n<font color=#FF8C00>ENG:</font> defendant
quijtz	<font color=#2E8B57>ESP:</font> clavar\n<font color=blue>AYM:</font> ch'akuña\n<font color=#FF8C00>ENG:</font> to nail
quijz	<font color=#2E8B57>ESP:</font> quejar, reclamar, demandar\n<font color=blue>AYM:</font> k'ijasiña\n<font color=#FF8C00>ENG:</font> to make a complaint, to claim, to demand
quilljjatz	<font color=#2E8B57>ESP:</font> arrodillarse antes de una persona\n<font color=blue>AYM:</font> killjataña\n<font color=#FF8C00>ENG:</font> to kneel before a person
quillz	<font color=#2E8B57>ESP:</font> arrodillarse, hincarse\n<font color=blue>AYM:</font> killjaña\n<font color=#FF8C00>ENG:</font> to kneel down
quinsakalku	<font color=#2E8B57>ESP:</font> ocho\n<font color=blue>AYM:</font> kimsaqallqu\n<font color=#FF8C00>ENG:</font> eight
quint'iñi = yatiiñi	<font color=#2E8B57>ESP:</font> chismear\n<font color=blue>AYM:</font> arjasiña, kuñtu q'ipiña\n<font color=#FF8C00>ENG:</font> to gossip
quintra	<font color=#2E8B57>ESP:</font> contra\n<font color=blue>AYM:</font> awqa\n<font color=#FF8C00>ENG:</font> against
quintrariu	<font color=#2E8B57>ESP:</font> contrario\n<font color=blue>AYM:</font> parlata\n<font color=#FF8C00>ENG:</font> opposite, adverse
quintraz	<font color=#2E8B57>ESP:</font> envidiar, guardar rencor\n<font color=blue>AYM:</font> t'uruña\n<font color=#FF8C00>ENG:</font> to envy, to bear a grudge
quintu	<font color=#2E8B57>ESP:</font> cuento, leyenda\n<font color=blue>AYM:</font> kuñtu\n<font color=#FF8C00>ENG:</font> tale, legend
quira	<font color=#2E8B57>ESP:</font> guerra\n<font color=blue>AYM:</font> awqa\n<font color=#FF8C00>ENG:</font> war
quiriwillu	<font color=#2E8B57>ESP:</font> persona/animal que siempre vive en el mismo lugar\n<font color=blue>AYM:</font> ukanpinin qamiri\n<font color=#FF8C00>ENG:</font> person/animal who stays in one place
quiriyz	<font color=#2E8B57>ESP:</font> creer\n<font color=blue>AYM:</font> iyaqaña\n<font color=#FF8C00>ENG:</font> to believe
quirz	<font color=#2E8B57>ESP:</font> quedarse\n<font color=blue>AYM:</font> jalaqtaña, kirasiña\n<font color=#FF8C00>ENG:</font> to stay
quirz	<font color=#2E8B57>ESP:</font> hacer piso, empedrar\n<font color=blue>AYM:</font> qalantaña\n<font color=#FF8C00>ENG:</font> to lay a floor, to pave
quits	<font color=#2E8B57>ESP:</font> prendedor, topo\n<font color=blue>AYM:</font> tupu\n<font color=#FF8C00>ENG:</font> (hair)pin, bronze spoon used as adornment
quiwcs	<font color=#2E8B57>ESP:</font> equivocarse\n<font color=blue>AYM:</font> pantjasiña\n<font color=#FF8C00>ENG:</font> to be mistaken
quiwla	<font color=#2E8B57>ESP:</font> ave parecida al perdiz\n<font color=blue>AYM:</font> kiwla\n<font color=#FF8C00>ENG:</font> bird similar to partridge (green eggs)
quiwrantiz	<font color=#2E8B57>ESP:</font> tener desgracia, tener quebranto, tener mala suerte\n<font color=blue>AYM:</font> kiwrantaña\n<font color=#FF8C00>ENG:</font> to encounter adversity, to be in trouble, to have bad luck
quiwtizquiz	<font color=#2E8B57>ESP:</font> tener acidez del estómago\n<font color=blue>AYM:</font> khasaña\n<font color=#FF8C00>ENG:</font> to have heartburn
