a	Aka arsuxa laka manqhata arsuña sallawa.
jak'aña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jak'añaxa kunachiqarusa, khitina thiyaparusa juk'ata juk'ata makhatañawa. <font color=blue>// Taykch'ijaruxa janiwa jak'añjamakiti, sinti qhuruwa.</font>
jalanta	<font color=ForestGreen>st.</font> Inti mantxi, chhaqhi uksachiqawa. <font color=ForestGreen>/</font> Intixa jayp'unakaxa sara thakhiparjama jalantxi. Intixa janisa jalantkchi, ukampinsa taqininsa inti jalanta satarakiwa.
jalaña	<font color=ForestGreen>ar.</font> Jalaña aruxa luratarjama chiqancht'ata aruwa. <font color=ForestGreen>/</font> Jalañaxa niya t'ijtampi t'ijtampi mäki sarañawa. Jamach'isa, pakasa, lata jamach'isa laqampuna jalaña yatipxaraki. Maysata jalañaxa mä t'ant'asa, muxsa achusa, kuna yäsa payaru jani ukaxa qawqharusa amparampi pachjasa, irjasa, jich'jasasa, jakjasasa, q'alljasasa, kharjasa jalaña, apjañawa. <font color=blue>// Uka t'ant'a payaru pachjasa-jaljasa wawaru waxt'ama. Umaxa jawira phuqhawa jallu purintïpana aynacharu jalanti. Yatiqiri wawanakaxa yatiña utaru wali qarita jalasipkäna.</font>
jallpaña	<font color=ForestGreen>ar.</font> Ampara luk'anampi manq'aña. <font color=ForestGreen>/</font> Jallpañaxa allpi jani ukaxa ullpara, siwara pitu, laxrampi jallpasina manq'añawa. Chuwata jallpt'asisa manq'añawa. <font color=blue>// Awichaxa jank'akiwa juyra allpi jallpantawayi. </font>
jañayu	<font color=ForestGreen>st.</font> Ajayu. <font color=ForestGreen>/</font> Jañayuxa kunatsa wali mulljasiñawa. Mulljasitaxa ajayuwa janchisata thuqhuqi. Jañayu thuqhuqata wawasa, jilïri jaqisa janiwa suma amuyunïkxaspati. <font color=blue>// Jañayu thuqhuqata wawaxa ina jachaki jachaski, uñnaqapasa janiwa uñnaqapäkiti, nasaki k'ichisiski, ajayuwa yatirimpi khiwxatayxaña. </font>
japuña	<font color=ForestGreen>ar.</font> Nina uñtata. <font color=ForestGreen>/</font> Japuñaxa janchisa aqi ninaru uñtata. Janiwa t'ajkisa, ch'iskisa, ina ninaru uñtatawa japu. <font color=blue>// Kayujaxa walpini japutu, inawa kunampisa qullasista. <font color=purple>[Am.: Jasiña]</font></font>
jaqi	<font color=ForestGreen>st.</font> Amuyiri. <font color=ForestGreen>/</font> Jaqixa amuyiri, arsuri, isisiri, munasiñaniwa. Jaqixa chachatsa warmitsa amuyt'ataparjama kunsa amparampi luririwa. Jaqiki jaqixa janiwa khuskhaktanti. <font color=blue>// Uka jaqixa jani walinaka masipata arusitayna. Achachilajaxa wali suma iwxiritu, jaqiruxa janiwa k'umiñäkiti sasina.</font>
jaqichaña	<font color=ForestGreen>ar.</font> Panichaña. <font color=ForestGreen>/</font> Jaqichañaxa juqa, jani ukaxa phuchha panichayxañawa. Aka pachana kunasa panipuniwa chacha warmi. <font color=blue>// Kurmüruxa phuchhajawa jaqichasini. </font>
jaqichasiña	<font color=ForestGreen>ar.</font> Chacha warmi panichaña. <font color=ForestGreen>/</font> Jaqichañaxa yuqa jani ukaxa phuchha kasarayxañawa. Jaqichataxa jaqita mä tamana uñt'atäxi. <font color=blue>// Ukata markasanxa taqi kunasa payapuniwa sañasa, utjaraki.</font>
jaqt'a	<font color=ForestGreen>st.</font> Phayasiñataki aycha. <font color=ForestGreen>/</font> Jaqt'axa manq'a sumañapatakixa chhuyu aychampisa, wañayata ch'arkhi aychampisa jaqt'asiñapuniwa. <font color=blue>// Jaqt'a sasaxa aycharu jilpacha sapxi. Kisusa, q'awansa mirintaru jaqt'alantita irt'atawa. <font color=purple>[Am.: Aycha]</font></font>
jaqunta	<font color=ForestGreen>st.</font> Kaltu manq'a. <font color=ForestGreen>/</font> Jaquntaxa mä kasta phayata manq'awa. Ch'uñu, arusa, ch'uqi, aychampi phayata kaltuwa. Taqinisa jaqunta phayasiña yatitawa. <font color=blue>// Taykajaxa jaqunta phayasiñäni, situwa. Nayaxa jaqunta manq'a wali munthxa.</font>
jaquña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaquñaxa kuna qala jani ukaxa yaqha ch'ullqhi yämpi jaqt'añawa. Jaqirusa, uywarusa wakt'añataki ch'amampi sarayañawa. Kuna ch'axwawinsa yaqhipaxa qalampi jaquntaña yatipxi. Ukhama qalampi jaquntiriruxa qala ira jaqi saña yatipxaraki. <font color=blue>// Jupaxa uywanakaru qalampiwa jaquña yati. Achachilajaxa qutañaruxa khulanakampiwa jaqusa q'añuchi.</font>
jari	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jarixa, k'achaki kunsa luraña. Jarixa k'achataki, jilaña, luraña, saraña ukawa. <font color=blue>// Khä wawaxa jarita k'achaki jutaski. Achachilajaxa jarikiwa sarnaqasiña yati. <font color=purple>[Am.: K'achaki]</font></font>
jariña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jariñaxa kuna q'añunaksa, kuna yäsa, janchisa umampi chulltayasa amparampi q'añu apaqañawa. <font color=blue>// Wawaruxa taykapuniwa jariña yatiraki. Nayaxa sapuruwa kayu jarisiña yatthxa. </font>
jariyaña	<font color=ForestGreen>ar.</font> Amtayaña. <font color=ForestGreen>/</font> Jariyañaxa jani kuna jank'a lurïpansa, sarïpansa, phuqhañapataki amtayañawa. <font color=blue>// Wawanakaxa janiwa kunsa jank'a lurapxirïkiti jariyarapitätawa. Juwanchuruxa jach'a yatiqaña utaru sarañapatakixa jariyañawa.</font>
jark'aña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jark'añaxa kuna lurä saskïpansa, lurirjamakïpansa, irnaqirjamakïpansa jani lurañapataki tuwañawa. <font color=blue>// Jallu pachanxa iwijaxa ch'uqi yaputa jark'añawa. Imilla, uka yaputa iwija jark'aqatawa. <font color=purple>[Am.: Tuwaña]</font> <font color=purple>[Aa.: Ant'aña]</font></font>
jaraphi	<font color=ForestGreen>st.</font> Ch'akha. <font color=ForestGreen>/</font> Jaraphixa sayt'u t'alpha, k'umu ch'akhanakawa. Chuymaru, k'iwcharu, lluquru jark'iriwa. Uywansa, jaqinsa jaraphipaxa jakht'atawa. <font color=blue>// Uka wakaxa wali tuxurakisa jaraphisa uñartaskakiwa. Taykajaxa phayasiñataki iwija jaraphi alaniwayatayna.</font>
jararankhu	<font color=ForestGreen>st.</font> Sutuwalla. <font color=ForestGreen>/</font> Jararankhuxa, ch'uxña, q'illu qaqa samini, pusi kayuni, wich'inkhani winkt'ata t'ijuri, asiruru uñtata wasara laq'uwa. Sut'iwallu, sutukullu, charka uka kasta jararankhu uñt'atarakixa. <font color=blue>// Jararankhu aychaxa kuna usuchxasitataki qullawa, ukampiwa apxatasiña.</font>
jarphi	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jarphixa taykana jarphipa, wit'u ukjawa. Asu wawaxa jarphxart'asawa wawaru ñuñt'ayaña. Wawaxa jarphina, qunuyata, thunkhuyatasa. <font color=blue>// Nayaxa jichhakama taykaxana jarphiparu qunusiskakthwa. </font>
jaraña	<font color=ForestGreen>ar.</font> Isi jaraña. <font color=ForestGreen>/</font> Jarañaxa sawuta, p'itata isi jarañawa. Sawuta isinaka saraparu jararañawa. <font color=blue>// Mamaxa wawataki jisk'aki chumpa pit'atayna, jararaniwa. Yunta yapita wakanakaxa jararañarakiwa.</font>
jaru	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jaruxa manq'aru xaxu jarusiñataki uskusiña. Wayk'a, luqutu uka achunakawa wali jaruxa. <font color=blue>// Jaru manq'axa janiwa wawaru churañäkiti. Uka chayru mayja jaruwa. <font color=purple>[Am.: Xaxu]</font></font>
jarwiña	<font color=purple>[May.: JAWRIÑA]</font> <font color=ForestGreen>ar.</font> Phayaña. <font color=ForestGreen>/</font> Jarwiñaxa, kuna qañawsa, jupha, tunqu, yarana, jawasa mä jiwk'ita jarwiña. Yaqhipaxa jawriña sapxiwa. Jarwiñaxa janiwa jamp'iñäkiti. <font color=blue>// Qharüruxa tiriwu, yarana alxañataki jarwïxa.</font>
jasa	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jasaxa janiwa qhulükiti. Kuna irnaqaña. Lurañana, manq'añana jani ch'amampiki luraña. <font color=blue>// Waych'a ch'uqixa jasa phayt'akiwa. Nayatakixa ch'uqi llamayuñaxa jasakiwa.</font>
jasiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jasiñaxa jat'irasiñjama, mä janchi chiqawja jasisiri. Nayrawa jasitu kunata jachchïxa, sañasa utji. <font color=blue>// Amparawa wali jasitu, qullqiwa utjani.</font>
jathi	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jathixa jani aptkaña, jani ukaxa wali ch'amampi aptkañaxa, ukawa. <font color=blue>// Qalaxa wali jathiwa. Uka ch'uqixa wali jathiwa.</font>
jat'iña	<font color=ForestGreen>ar.</font> Sillunaqaña. <font color=ForestGreen>/</font> Jat'iñaxa janchisa jasipana luk'ana sillunakampi jurqhiña, janchi juyart'ayañataki jat'iñawa. <font color=blue>// Ajanuru sillunakampi jat'irataxa janiwa chhaqhirikiti. Qunquriwa jasitu, wali jat'isiña munta. </font>
jat'iña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jat'iñaxa uraqi aliqata wali manqhata phat'aqasa, qala saphinaksa q'ala pallsusa, kuka ayruñataki uraqi phat'añawa. <font color=blue>// Yunkasana kukataki uraqi jat'itaxa jach'awa.</font>
jat'intaña	<font color=ForestGreen>ar.</font> Kusist'ayaña. <font color=ForestGreen>/</font> Amparampi charanku jat'isa, jat'intasa arsuyañawa. <font color=blue>// Waynanakaxa charanku wali jiwaki jat'ipxi.</font>
jawanq'ara	<font color=ForestGreen>st.</font> Jayra. <font color=ForestGreen>/</font> Jawanq'araxa anatt'añaki muniri, ukatsa tumaykuñaki munaskiriwa. <font color=blue>// Ukhamaki sarnaqasipxki, kuna jawanq'ara waynanakaskchija.</font>
jawaq'ulla	<font color=ForestGreen>st.</font> Waraqu. <font color=ForestGreen>/</font> Jawaq'ullaxa waraqu panqarawa. <font color=blue>// Waraquna jawaq'ullapaxa jiwakiwa.</font>
jawari	<font color=ForestGreen>st.</font> Siwsawi. <font color=ForestGreen>/</font> Jawarixa nayra pacha utjawinakxata yatiyaña, kuna sarnaqatasa jiwaki, laruñjamaraki, muspañjamaraki, llakisiñjamaraki, uka arst'atanakawa.  <font color=blue>// Jawarinakaxa yatichawiniwa.</font>
jawari	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jawarixa jani jaru, jani jaxu manq'a manq'iriwa,  jani wayk'ani manq'a manq'iriwa. <font color=blue>//  Uka waynaxa jawariwa, janiwa wayk'ani manq'a munkiti.</font>
jawasa	<font color=ForestGreen>st.</font> Juyra. <font color=ForestGreen>/</font> Jawasaxa marata mara achuqiri, uqi ch'uxña alini, laphinakani, ch'iyarampi janq'umpi allqa panqaranakani, laqhu chaqallunakani aliwa. Jawasa achuxa janchisatakixa wali ch'amanchirinakaniwa, ukata jamp'susina, mut'susina manq'aña. Jawasaxa kimsa kastawa utji: Usnayu, jaymuku ukhamaraki aliqa jawasa. <font color=blue>// Jawasa mut'ixa sumawa.</font>
jawsaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jawsañaxa mayniru jayankipana arnaqaña, jani ukaxa amparampi, p'iqimpi khiwch'ukisa jutama saña. <font color=blue>// Awichaxa allchhinakaparuwa jawsi. </font><b>2.</b> <font color=ForestGreen>/</font> Mathapiwiru, tantachawiru jiwq'impi, wiphalampi sarthapiyaña. 
jawira	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jawiraxa jisk'a, jach'a q'awjata, walja jani ukaxa juk'a umaxa jalaski ukawa. <font color=blue>// Uka jawiraxa jallu pachakiwa walja umani. </font>
jawq'aña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jawq'añaxa mä lasumpi jani ukaxa lawampi kunarusa khitirusa ch'amampi jisktañawa. <font color=blue>// Janiwa wawaruxa sapa kuti jawq'añakiti, k'ulluruwa tukuspa. </font><b>2.</b> <font color=ForestGreen>/</font> Jawq'añaxa kuna ch'imi juyranaksa wañt'ata alipata apaqañataki mä k'umu lawampi k'uphantasa chhukhurayañawa. <font color=blue>// Qharüruxa jupha jawq'añani. <font color=purple>[Am.: Jawq'jaña]</font></font>
jawuna	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> T'axsañataki lik'ita lurata. <font color=blue>// Isixa jawunampiwa t'axsusiña.</font>
jaxu	<font color=purple>[May.: JARU]</font> <font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jaxuxa wayk'ampi laxrata jani ukaxa laka manqharu qhathirkirixa ukawa. <font color=blue>// Luqutu chiraxa wali jaxutaynawa.</font>
jaya	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jani jak'ankiri, jani nayrampi uñjkaña uka chiqawa. <font color=blue>// Jupaxa jaya markata jutiriwa. <font color=purple>[Aa.: Jak'a]</font></font>
jayacha	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jayachaxa t'arwa ch'ankharu tukuyata, jani ukaxa qaputa lluchsutawa. <font color=blue>// Qala qapt'ata jayachañaxa jasakiwa khiwthapisi.</font>
jayachaña	<font color=purple>[May.: JAYICHAÑA]</font> <font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jayachañaxa t'arwa juch'usa jani ukaxa thuru qapusa qapuru ch'ankhampi phuqhsusa lluchhsuñawa. <font color=blue>// Kullakanakaxa mä uruna qapusinxa walja jayachsupxi.</font>
jaychaña	<font color=ForestGreen>ar.</font> Tuqiña. <font color=ForestGreen>/</font> Jaychañaxa mayniru jani wali luratapata jach'ata arsusa arnaqasa tuqiñawa. <font color=blue>// Qhathuna alakipa warminakawa tuqisipxi. <font color=purple>[Am.: Chuchaña]</font></font>
jaychjaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaychjañaxa kunkata kuna ch'uqañampi uqhacht'asa jiwayañataki waykatañawa. <font color=blue>// Lunthataxa qullqi apaqañatakixa jaychkatataynawa. </font>
jayisiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jayisiñaxa llaki, jachañanaka utjipana, samana manqhiru samantasa, ukata niya ukhata samsuña. <font color=blue>// Uka llaki utjatata jayiki jayiskta.</font>
jayra	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jayraxa  jani kunsa luraña muniri, jani luriri, urukama ikiri, jasataki kunsa muniri, kuna lurañsa sarañsa ch'amtayaskaki ukawa. <font color=blue>// Jayraxa kawkhansa wali uñisitawa.</font>
jaylli	<font color=ForestGreen>st.</font> Warurt'a. <font color=ForestGreen>/</font> Jayllixa uywa uywaña, yapu yapuchaña kusisita warurt'atawa. <font color=blue>// Nayra jayllinakaxa waljawa utjatayna.</font>\n/K/  Salla saphi aru. <font color=ForestGreen>/</font> Malq'a qhiphaxata arsutawa. Laka manqhata qallu laxrampi jist'thapisa arsuyata.
¡ka!	Chuyma phaxt'a. Akawa. Ukäka. <font color=ForestGreen>/</font> Kuna churañatakiwa aka aruxa apnaqasi,  katma saña muni, maynina katuqañapatakiwa. <font color=blue>// Aka chuwa katuqita, uwijaru sarama, aka janp'i waxt'awayäma. Markaru qharüruxa sarañama, aka qullqi t'ant'ataki irayasïma.</font>
kä	<font color=ForestGreen>st.</font> Kaya. <font color=ForestGreen>/</font> Käxa apilla tunta ch'uñuwa. Wila, qhini. Kä lurañatakixa juyphirayasina ukata umaru uskuña. Apillanakaxa thayaruwa tilatataña ch'uñuñapataki, takirasa umaruwa atintaña, yäparu apsusa wañsuyañawa. Käxa apilla achu wañata lurasi. Nayra achachilakana yatiwipawa, apilla waña juyraru tukuyasa imañawa. Käxa nayra achachilanakana lurawipawa. Juyranaka imañataki. Käxa qalaphiri phayt'añatakiwa. Ch'uñu phuti phayañataki. <font color=blue>// Jichha maraxa awichaxa walja kä apthapi.</font>
kacha	<font color=ForestGreen>st.</font>  Aru apiri. Aru q'ipiri. Qillqatanaka q'ipiri. <font color=ForestGreen>/</font> Kachaxa jaqiwa. Iwxa q'ipiri jaqiwa, irpirinaka kacharuxa khitapxi, yatiyawinaka apayapxi, jaqhachaqanaka markanakaru saranti, ukhamaraki pachpa marka manqhansa qutuchawinakataki yatiyiri, kamachita phuqiriwa. Iwxanaka yaqhachaqanakaru q'ipiri, ukawa. <font color=blue>// Tata Julikuxa markapata kachawa. Uka pachaxa apamaya, aka iwjawi apt'ayarapitäta. Apt'ayarapipinitawa uka iraya, janiwa armasïtati, uka iwxawi kamachiwa. // Kuna iwxawinakasa utjtama apañataki, inacha nayaxa iwjawi aparapïma. <font color=purple>[Am.: Chaski]</font></font>
kacha	<font color=ForestGreen>sm.</font> Sarnaqaña <font color=ForestGreen>/</font> Kachaxa sartañana maya chillqipawa. K'achaki, jani jank'asa sarnaqañawa. <font color=blue>// Janiwa jach'äkiti, maya kachakiwa. Uka waynaxa chachakiwa sarnaqi.</font>
kachakipaña	<font color=purple>[May.: KAPAKIPAÑA]</font> <font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Kachakipañaxa yänaka patnama sarnaqañawa. Umapata kachakipaña. Nayräxasana, kuna utjïpansa kayu aytasa patanjäma chillqikipañawa. Juyranaka pata kachakipaña. <font color=blue>// Jaqi pata janiwa kachakipañäkiti. Manq'aña pata kachakipirixa t'aqhirikiwa qamasi. Julikuxa yapupata kachakipasa saraski. Jaqixa jani amayuni manq'apata kachakipxi. <font color=purple>[Am.: Sarnaqaña, chillqikipaña]</font></font>
kachanaqaña	<font color=ForestGreen>ar.</font> Saraña. <font color=ForestGreen>/</font> Kachanaqañaxa k'achata sarnaqañawa. Sumata maysata maysaru sarnaqaña. K'achhitata, maysata maysaru kawkikipuni sarnaqaña. <font color=blue>// Uka warmixa k'achaki kachanaqaski. Wawaxa sumata kachnaqkiwa. Kawkinraki kachnaqantasti, inakipunirakisa sarnaqanisktaxa, janirakisa kunsa uka sarnaqawitxa apanitamäxa utjkiti. <font color=purple>[Am.: Sarnaqaña]</font></font>
kachaniña	<font color=ForestGreen>ar.</font>  <font color=ForestGreen>/</font> k'achaki saranaqaña, jani kuna lurañanïksna, inäksnasa ukhama k'achata jutañawa. <font color=blue>// Lluqalla ratukiwa jutäta satawa, jupaxa k'achata kachaniñaki yatiri.</font>
kachaña	<font color=ForestGreen>ar.</font> Saraña. <font color=ForestGreen>/</font> Sarirjamaraki jani sarirjamaraki saraña. Jani munasa yach'a saraña. Sumata pä chuyma saraña. Mäkipaña, yacha saraña, ñaka saraña. <font color=blue>// Jayra jaqixa kachaskiwa, wawaxa jani kamachisa luraña munirixa sumata kachaski, usuta jaqixa kachaskiwa. Uka tawaquxa jach'a yatiqaña utaru kachaña yati. <font color=purple>[Aa.: Jalaña, t'ijuña]</font></font>
kacharpaya	<font color=ForestGreen>st.</font> Tukuchawiwa. <font color=ForestGreen>/</font> Kacharpayaxa Phunchhawi tukuyaña. Khitarpayaña. Phunchhawi tukt'ayxañataki qhipha qhipha phust'atakisa, ukawa. Phuñchhawi tukt'ayxaña, thuqhurinakaru achunakampi pilluntayasa tukt'ayxaña, phunchhawi qhipha marakama irparpayxaña. <font color=blue>// Juyraxa kacharpayasxiwa, awayuxa kacharpayasxkiwa. Kacharpayana wali umaratawa thuqhurapxatayna. <font color=purple>[Am.: Tukt'ayaña, khitarpaya]</font></font>
kachatataña	<font color=ForestGreen>ar.</font> Chara ayatataña. <font color=ForestGreen>/</font> Saykasina kayu jach'aru ayatatañawa. Chara ayatatasa sayt'añawa. Chara aski ayatataña. <b>2.</b> <font color=ForestGreen>/</font> Jach'aru kayu chara ayatatasina qunuñawa. Kayu wat'arasa qunt'aña. Jaqixa sayt'atasa kachatatasa qunt'i. <font color=blue>// Warminxa janiwa kachatatasa qunuñäkiti, sapxiriwa. <font color=purple>[Am.: Apatataña]</font></font>
kachatatayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaqirusa uywarusa yaqha yanapirimpi kayu chara ayatatayañawa. <font color=blue>// Uka wakaru milk'i ch'awaqañataki chara kachatatayañawa.</font>
kachi	<font color=ForestGreen>st.</font>  <font color=ForestGreen>/</font> Uywanaka anthapisa chimpuñataki, qullañataki uyu uyuchatawa. <font color=blue>// Jichuruxa wakanakaru, iwijananakaru kachichañawa. Qharüruxa qarwanakaruwa kachichañäni.</font>
kachkataña	<font color=ForestGreen>ar.</font>  <font color=ForestGreen>/</font> Maykataru k'achhitata mä kachampi uraqi q'awsuta, allita makatañawa. <font color=blue>// Uka wakaru uma kachkatayañawa, jani ukaxa janiwa makhatkaniti.</font>
kachsuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Manqhawjata patxaru mistuñawa. <font color=blue>// Kullakajaxa ñakapiniwa uka p'iyata kachsuni.</font>
kachnaqaña	<font color=ForestGreen>ar.</font> Kachanaqaña. <font color=ForestGreen>/</font> Kachnaqaña sumata p'iqi waytata maysata maysaru sarnaqañawa. <font color=blue>// Jiliri irpirixa tantachawina kachnaqaski. Tata simuku phunchhawina wali kachnaqi. <font color=purple>[Am.: Sarnaqaña, kachtaña]</font></font>
