acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
naaz̈a = naalta	<font color=green>ESP:</font> de ella, para ella\n<font color=blue>AYM:</font> jupata, jupataki\n<font color=orange>ENG:</font> hers, for her
nakju	<font color=green>ESP:</font> allá, allá lejos\n<font color=blue>AYM:</font> jaya khuri, kha, khäna\n<font color=orange>ENG:</font> way over there, far away
nala	<font color=green>ESP:</font> aquí está esa\n<font color=blue>AYM:</font> akankiwa jupax\n<font color=orange>ENG:</font> here it is (f.)
nanapz = yanapz = yanapt'iz	<font color=green>ESP:</font> ayudar\n<font color=blue>AYM:</font> yanapaña, yanapt'aña\n<font color=orange>ENG:</font> to help
narchiz	<font color=green>ESP:</font> nadar\n<font color=blue>AYM:</font> tuyuña\n<font color=orange>ENG:</font> to swim
nawitata	<font color=green>ESP:</font> navidad\n<font color=blue>AYM:</font> nawirara\n<font color=orange>ENG:</font> Christmas
nawjkta	<font color=green>ESP:</font> de lejos\n<font color=blue>AYM:</font> jayata, khurita\n<font color=orange>ENG:</font> from far away
nayz	<font color=green>ESP:</font> sentir\n<font color=blue>AYM:</font> amayuña\n<font color=orange>ENG:</font> to feel
nayz	<font color=green>ESP:</font> notar\n<font color=blue>AYM:</font> amayuña\n<font color=orange>ENG:</font> to notice
nayz	<font color=green>ESP:</font> oír algo sin verlo\n<font color=blue>AYM:</font> amayuña\n<font color=orange>ENG:</font> to hear something without seeing it
neeza	<font color=green>ESP:</font> por este motivo\n<font color=blue>AYM:</font> uka layku, uka rayku\n<font color=orange>ENG:</font> because, for this reason
nekz = tejkz	<font color=green>ESP:</font> aquí\n<font color=blue>AYM:</font> akana\n<font color=orange>ENG:</font> here
nekziqui	<font color=green>ESP:</font> ahí\n<font color=blue>AYM:</font> khäna\n<font color=orange>ENG:</font> there
nekztanaqui	<font color=green>ESP:</font> entonces, después\n<font color=blue>AYM:</font> ukata, ukxaru\n<font color=orange>ENG:</font> then, next
nicarpay = ñicz	<font color=green>ESP:</font> negar\n<font color=blue>AYM:</font> janiw saña\n<font color=orange>ENG:</font> to deny
nicju = ticju	<font color=green>ESP:</font> allá\n<font color=blue>AYM:</font> khä\n<font color=orange>ENG:</font> over there
nicjuc̈ha	<font color=green>ESP:</font> allá también\n<font color=blue>AYM:</font> khän ukhamaraki\n<font color=orange>ENG:</font> also over there
nii	<font color=green>ESP:</font> ese, él\n<font color=blue>AYM:</font> uka, jupa\n<font color=orange>ENG:</font> that, he
nii nii z̈ejlñi kuzziz	<font color=green>ESP:</font> esperar confiadamente\n<font color=blue>AYM:</font> suyaña\n<font color=orange>ENG:</font> to wait in confidence
niipa	<font color=green>ESP:</font> en tres días\n<font color=blue>AYM:</font> kimsuruña\n<font color=orange>ENG:</font> in three days
niiz̈ta	<font color=green>ESP:</font> de él, para él\n<font color=blue>AYM:</font> jupana, jupata, jupataki\n<font color=orange>ENG:</font> his, for him
nijaru	<font color=green>ESP:</font> en seguida\n<font color=blue>AYM:</font> anchhichha\n<font color=orange>ENG:</font> immediately, at once
nila	<font color=green>ESP:</font> aquí está ese\n<font color=blue>AYM:</font> akankjiwa\n<font color=orange>ENG:</font> here it is (m.)
ninaca	<font color=green>ESP:</font> ellos, ellas\n<font color=blue>AYM:</font> jupanaka\n<font color=orange>ENG:</font> they
ninacz̈tan	<font color=green>ESP:</font> de ellos/ellas, para ellos/ellas\n<font color=blue>AYM:</font> jupanakataki, jupanakana\n<font color=orange>ENG:</font> theirs, for them
nipachaqui	<font color=green>ESP:</font> entonces, en este caso\n<font color=blue>AYM:</font> ukata, maykasuna\n<font color=orange>ENG:</font> then, in that case
nipura	<font color=green>ESP:</font> arreglo para devolver el mismo que se ha prestado\n<font color=blue>AYM:</font> askistachaña ukat kutiyxaña\n<font color=orange>ENG:</font> arrangement to return something that has been lent
niran	<font color=green>ESP:</font> por allí\n<font color=blue>AYM:</font> khayjana\n<font color=orange>ENG:</font> around there
nit-iz = cunami	<font color=green>ESP:</font> tal vez\n<font color=blue>AYM:</font> inasa\n<font color=orange>ENG:</font> maybe
niz̈ta	<font color=green>ESP:</font> siempre\n<font color=blue>AYM:</font> ukhampini\n<font color=orange>ENG:</font> always
niz̈tallamekáz	<font color=green>ESP:</font> de nada\n<font color=blue>AYM:</font> ukhamallakiwa, ukhamallaksa\n<font color=orange>ENG:</font> you're welcome
niz̈tami	<font color=green>ESP:</font> por fin, al fin\n<font color=blue>AYM:</font> ñakan jiqhattata, jichhakucha\n<font color=orange>ENG:</font> at last, finally
niz̈tami	<font color=green>ESP:</font> sin embargo\n<font color=blue>AYM:</font> ukhamipana\n<font color=orange>ENG:</font> however
niz̈tapacha	<font color=green>ESP:</font> copiar, hacer algo de la misma manera\n<font color=blue>AYM:</font> kijpa luraña, waraqaña\n<font color=orange>ENG:</font> to copy, to do completely the same
niz̈taqui	<font color=green>ESP:</font> entonces, así entonces\n<font color=blue>AYM:</font> ukat\n<font color=orange>ENG:</font> so then
niz̈tiquiztan	<font color=green>ESP:</font> por eso\n<font color=blue>AYM:</font> ukxata, ukata, ukalayku\n<font color=orange>ENG:</font> therefore, on account of, because of
nons	<font color=green>ESP:</font> calmar el dolor\n<font color=blue>AYM:</font> kalmaña\n<font color=orange>ENG:</font> to relieve the pain
nonz	<font color=green>ESP:</font> poner\n<font color=blue>AYM:</font> uchaña\n<font color=orange>ENG:</font> to put, to place
nonz	<font color=green>ESP:</font> oír, escuchar\n<font color=blue>AYM:</font> ist'aña\n<font color=orange>ENG:</font> to hear, to listen
nooj	<font color=green>ESP:</font> día\n<font color=blue>AYM:</font> uru\n<font color=orange>ENG:</font> day
nuc	<font color=green>ESP:</font> "habría" (se utiliza con verbo para expresar una irrealidad)\n<font color=blue>AYM:</font> -spawa\n<font color=orange>ENG:</font> "would" (verbal particle that expresses an unreality)
nucta = pakji = tuñata	<font color=green>ESP:</font> grande, largo, alto\n<font color=blue>AYM:</font> jach'a\n<font color=orange>ENG:</font> large, big, tall
nuz̈	<font color=green>ESP:</font> así\n<font color=blue>AYM:</font> ukhuma, ansi\n<font color=orange>ENG:</font> so, like that
nuz̈quiz	<font color=green>ESP:</font> hasta aquí no más\n<font color=blue>AYM:</font> ukaki\n<font color=orange>ENG:</font> no further than this point
nuz̈ukaz	<font color=green>ESP:</font> eso no más\n<font color=blue>AYM:</font> ukhamakiwa\n<font color=orange>ENG:</font> only that, nothing more
nuz̈umi	<font color=green>ESP:</font> por fin\n<font color=blue>AYM:</font> jichha khucha\n<font color=orange>ENG:</font> finally, at last
ñac'a	<font color=green>ESP:</font> variedad de tola pequeña\n<font color=blue>AYM:</font> ñak'a t'ula\n<font color=orange>ENG:</font> small type of tola
ñacz	<font color=green>ESP:</font> sufrir\n<font color=blue>AYM:</font> ñakaña\n<font color=orange>ENG:</font> to suffer
ñecz = ñekz	<font color=green>ESP:</font> copular\n<font color=blue>AYM:</font> chaxchaña, katuyaña, qhumaña\n<font color=orange>ENG:</font> to have sexual intercourse
ñejo	<font color=green>ESP:</font> mal carácter, malcriado\n<font color=blue>AYM:</font> jamachaka, ñaxu\n<font color=orange>ENG:</font> bad character, ill-bred
ñekz = ñecz	<font color=green>ESP:</font> copular\n<font color=blue>AYM:</font> chaxchaña, katuyaña, qhumaña\n<font color=orange>ENG:</font> to have sexual intercourse
ñicz = nicarpay	<font color=green>ESP:</font> negar\n<font color=blue>AYM:</font> janiw saña\n<font color=orange>ENG:</font> to deny
ñijro	<font color=green>ESP:</font> negro\n<font color=blue>AYM:</font> ch'iyara, ch'ara\n<font color=orange>ENG:</font> black
ñiñi	<font color=green>ESP:</font> hombro\n<font color=blue>AYM:</font> kallachi\n<font color=orange>ENG:</font> shoulder
oca	<font color=green>ESP:</font> vicuña\n<font color=blue>AYM:</font> wari\n<font color=orange>ENG:</font> vicuña
oca	<font color=green>ESP:</font> color café\n<font color=blue>AYM:</font> wari\n<font color=orange>ENG:</font> medium brown
occhaca	<font color=green>ESP:</font> conejillo silvestre\n<font color=blue>AYM:</font> tuju, quwi\n<font color=orange>ENG:</font> wild bunny
ocjala	<font color=green>ESP:</font> niño/niña de 2-5 años\n<font color=blue>AYM:</font> wawa\n<font color=orange>ENG:</font> -5 year old child
ojch	<font color=green>ESP:</font> jarrita para sacar leche\n<font color=blue>AYM:</font> yuru\n<font color=orange>ENG:</font> little jar used for milking
ojkta	<font color=green>ESP:</font> camino que se acaba\n<font color=blue>AYM:</font> thakhi tukusi\n<font color=orange>ENG:</font> road that ends
ojkz	<font color=green>ESP:</font> ir\n<font color=blue>AYM:</font> saraña, sara\n<font color=orange>ENG:</font> to go
ojkz	<font color=green>ESP:</font> descendencia\n<font color=blue>AYM:</font> tunu, wawan wawpa\n<font color=orange>ENG:</font> descent, ancestry
ojkz	<font color=green>ESP:</font> continuar con costumbres antiguas\n<font color=blue>AYM:</font> tira kustumpi luraña\n<font color=orange>ENG:</font> to continue ancient customs
ojt	<font color=green>ESP:</font> hueco en el suelo, hoyo\n<font color=blue>AYM:</font> p'iya\n<font color=orange>ENG:</font> hole in the ground
ojza	<font color=green>ESP:</font> perezoso\n<font color=blue>AYM:</font> jayra\n<font color=orange>ENG:</font> lazy
okjaña	<font color=green>ESP:</font> nudo para sujetar algo\n<font color=blue>AYM:</font> qachuchinu urquchinu\n<font color=orange>ENG:</font> knot to hang something, end of twisted rope
oks	<font color=green>ESP:</font> piedad, misericordia\n<font color=blue>AYM:</font> khart'apaya\n<font color=orange>ENG:</font> pity, mercy
okz	<font color=green>ESP:</font> fabricar boleadoras\n<font color=blue>AYM:</font> liwi luraña\n<font color=orange>ENG:</font> to make bolas
okz	<font color=green>ESP:</font> tener misericordia\n<font color=blue>AYM:</font> khart'ayasiña\n<font color=orange>ENG:</font> to have mercy
omprawilla	<font color=green>ESP:</font> uno que hace quedar mal a familia/amigos\n<font color=blue>AYM:</font> q'umita\n<font color=orange>ENG:</font> person who ruins the reputation of family/friends
omprawillz	<font color=green>ESP:</font> hacer quedar mal\n<font color=blue>AYM:</font> q'umiyaña\n<font color=orange>ENG:</font> to ruin the reputation of
onanta	<font color=green>ESP:</font> regalo\n<font color=blue>AYM:</font> churaña, rikalu, chhiqha\n<font color=orange>ENG:</font> gift
onanz	<font color=green>ESP:</font> regalar\n<font color=blue>AYM:</font> churaña, rakalaña\n<font color=orange>ENG:</font> to give a gift
onsa	<font color=green>ESP:</font> onza\n<font color=blue>AYM:</font> unas\n<font color=orange>ENG:</font> ounce
onsnas = onsas	<font color=green>ESP:</font> prestar reciprocamente\n<font color=blue>AYM:</font> purapal mayt'asiña\n<font color=orange>ENG:</font> to lend reciprocally
onz	<font color=green>ESP:</font> prestar\n<font color=blue>AYM:</font> mayt'aña\n<font color=orange>ENG:</font> to lend
ooza = uuza	<font color=green>ESP:</font> oveja\n<font color=blue>AYM:</font> uwija, uja\n<font color=orange>ENG:</font> sheep
ora	<font color=green>ESP:</font> hora, tiempo\n<font color=blue>AYM:</font> urasa\n<font color=orange>ENG:</font> hour
ora	<font color=green>ESP:</font> momento\n<font color=blue>AYM:</font> urasa\n<font color=orange>ENG:</font> moment
oralla	<font color=green>ESP:</font> pronto (ahora)\n<font color=blue>AYM:</font> uralla\n<font color=orange>ENG:</font> right away, at once
oralla	<font color=green>ESP:</font> rápido\n<font color=blue>AYM:</font> anchhata\n<font color=orange>ENG:</font> quickly
orazuna	<font color=green>ESP:</font> crepúsculo\n<font color=blue>AYM:</font> intiqununta, urashuna\n<font color=orange>ENG:</font> twilight
orcana	<font color=green>ESP:</font> órgano, armonio\n<font color=blue>AYM:</font> armunya\n<font color=orange>ENG:</font> organ, harmonium
ota	<font color=green>ESP:</font> pan de sangre, pan de quinua\n<font color=blue>AYM:</font> wila phari k'ispiña\n<font color=orange>ENG:</font> bread made of blood, bread made of quinua
oti	<font color=green>ESP:</font> ¡que podemos hacer!\n<font color=blue>AYM:</font> kuns lursnaxa?\n<font color=orange>ENG:</font> what can we do!
ots	<font color=green>ESP:</font> empuñar\n<font color=blue>AYM:</font> q'aptapiña\n<font color=orange>ENG:</font> to seize, to grasp
ots	<font color=green>ESP:</font> hacer pan de quinua\n<font color=blue>AYM:</font> k'ispiñ luraña\n<font color=orange>ENG:</font> to make quinua bread
otz	<font color=green>ESP:</font> cansar, cansarse\n<font color=blue>AYM:</font> qariña, qarisiña\n<font color=orange>ENG:</font> to tire, to get tired
owa	<font color=green>ESP:</font> rodilla\n<font color=blue>AYM:</font> qunqura\n<font color=orange>ENG:</font> knee
oza	<font color=green>ESP:</font> nariz\n<font color=blue>AYM:</font> nasa\n<font color=orange>ENG:</font> nose
ozkjura	<font color=green>ESP:</font> niño enfermizo\n<font color=blue>AYM:</font> usupichaqu, usurk'uta\n<font color=orange>ENG:</font> sickly child
ozmacha	<font color=green>ESP:</font> polluelo\n<font color=blue>AYM:</font> chhiwchhi\n<font color=orange>ENG:</font> chick
ozpjeta	<font color=green>ESP:</font> fosa nasal\n<font color=blue>AYM:</font> nasa qaqa\n<font color=orange>ENG:</font> nostril
ozziz	<font color=green>ESP:</font> representante de un grupo\n<font color=blue>AYM:</font> jiliri, lanti\n<font color=orange>ENG:</font> representative of a group
paatunca	<font color=green>ESP:</font> veinte\n<font color=blue>AYM:</font> pätunka\n<font color=orange>ENG:</font> twenty
paatuncmani	<font color=green>ESP:</font> vientiuno\n<font color=blue>AYM:</font> pätunkmayani\n<font color=orange>ENG:</font> twenty-one
paaz	<font color=green>ESP:</font> hacer\n<font color=blue>AYM:</font> luraña\n<font color=orange>ENG:</font> to do, to make
paaz	<font color=green>ESP:</font> plata, dinero\n<font color=blue>AYM:</font> qulqi\n<font color=orange>ENG:</font> money
paca	<font color=green>ESP:</font> tipo de águila\n<font color=blue>AYM:</font> paka\n<font color=orange>ENG:</font> type of eagle
pacu	<font color=green>ESP:</font> perro\n<font color=blue>AYM:</font> anu\n<font color=orange>ENG:</font> dog
pacuñ	<font color=green>ESP:</font> por paga\n<font color=blue>AYM:</font> pajañ layku\n<font color=orange>ENG:</font> for pay
pacz	<font color=green>ESP:</font> pagar\n<font color=blue>AYM:</font> pajaña pallyaña\n<font color=orange>ENG:</font> to pay
pacha	<font color=green>ESP:</font> gemelos\n<font color=blue>AYM:</font> pachilu\n<font color=orange>ENG:</font> twins
-pacha	<font color=green>ESP:</font> mismo, todo\n<font color=blue>AYM:</font> -pacha\n<font color=orange>ENG:</font> same, all
pachamama	<font color=green>ESP:</font> madre tierra, pachamama\n<font color=blue>AYM:</font> pachamama, tira wirjina\n<font color=orange>ENG:</font> Mother Earth
pachapaya	<font color=green>ESP:</font> inseguridad de vivir (bebés)/de producir (plantas)\n<font color=blue>AYM:</font> pachapaya\n<font color=orange>ENG:</font> uncertainty to live (babies)/to produce (plants)
pach'ina	<font color=green>ESP:</font> uno que se traslada dentro de su comunidad\n<font color=blue>AYM:</font> pä ch'ina\n<font color=orange>ENG:</font> person who has moved within his community
pachnakz	<font color=green>ESP:</font> dudar\n<font color=blue>AYM:</font> paychnaqtaña\n<font color=orange>ENG:</font> to doubt
pajlz	<font color=green>ESP:</font> destruir (algo que tiene muro)\n<font color=blue>AYM:</font> allimukaña\n<font color=orange>ENG:</font> to destroy (something with walls)
pajz	<font color=green>ESP:</font> conocer\n<font color=blue>AYM:</font> int'aña\n<font color=orange>ENG:</font> to know
