anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
jiwtayasiri	<font color=red>CHP:</font> ratu llallajsñi\n<font color=green>ESP:</font> cobarde\n<font color=orange>ENG:</font> coward
ratulla	<font color=red>CHP:</font> ratulla\n<font color=green>ESP:</font> rápido, en un ratito\n<font color=orange>ENG:</font> quickly, soon
raya	<font color=red>CHP:</font> raya\n<font color=green>ESP:</font> línea\n<font color=orange>ENG:</font> line
arnaqiri	<font color=red>CHP:</font> rayu\n<font color=green>ESP:</font> relámpago\n<font color=orange>ENG:</font> lightning
raysuña	<font color=red>CHP:</font> rayz\n<font color=green>ESP:</font> rayar, hacer línea\n<font color=orange>ENG:</font> to draw lines, to line
rikayra	<font color=red>CHP:</font> recaytu\n<font color=green>ESP:</font> recaer, enfermarse otra vez\n<font color=orange>ENG:</font> to relapse (illness)
yatiyaña, awisnuqaña	<font color=red>CHP:</font> repariz\n<font color=green>ESP:</font> ver, saber y avisar\n<font color=orange>ENG:</font> to see, to know and to warn
rikachu, qhaphaqha	<font color=red>CHP:</font> ricachu\n<font color=green>ESP:</font> rico\n<font color=orange>ENG:</font> rich
kumun manq'a	<font color=red>CHP:</font> ricachuca\n<font color=green>ESP:</font> comida comunitaria\n<font color=orange>ENG:</font> communal meal
qulla	<font color=red>CHP:</font> ricarica\n<font color=green>ESP:</font> planta medicinal\n<font color=orange>ENG:</font> small medicinal plant
rikusuna	<font color=red>CHP:</font> ricasuna\n<font color=green>ESP:</font> suero hervido\n<font color=orange>ENG:</font> cooked whey
rikaru	<font color=red>CHP:</font> ricatu\n<font color=green>ESP:</font> encargado para comprar\n<font color=orange>ENG:</font> person in charge of buying
pallthapiña	<font color=red>CHP:</font> ricojiz\n<font color=green>ESP:</font> recoger\n<font color=orange>ENG:</font> to pick up, to gather
khariña	<font color=red>CHP:</font> ricz\n<font color=green>ESP:</font> cortar, serrar\n<font color=orange>ENG:</font> to cut, to saw
t'irt'aña	<font color=red>CHP:</font> rimintiz\n<font color=green>ESP:</font> remendar\n<font color=orange>ENG:</font> to mend
turpa tanqt'aña	<font color=red>CHP:</font> rimpujz\n<font color=green>ESP:</font> chocar un poco\n<font color=orange>ENG:</font> to bump
kirkiña q'uchiña	<font color=red>CHP:</font> rimz\n<font color=green>ESP:</font> cantar con rima\n<font color=orange>ENG:</font> to sing in rhyme
ripikaña	<font color=red>CHP:</font> ripicz\n<font color=green>ESP:</font> repicar campanas\n<font color=orange>ENG:</font> to ring bells
risawu	<font color=red>CHP:</font> risawu\n<font color=green>ESP:</font> producto que sobra del año pasado\n<font color=orange>ENG:</font> product of past year
llakisiña, uka chuymaña	<font color=red>CHP:</font> ristutiiz\n<font color=green>ESP:</font> preocuparse\n<font color=orange>ENG:</font> to worry
qhalinchaña, munaña	<font color=red>CHP:</font> ristutiiz\n<font color=green>ESP:</font> coquetear, desear, intentar sin lograr\n<font color=orange>ENG:</font> to flirt, to desire, to try in vain
riwiti	<font color=red>CHP:</font> riwuti\n<font color=green>ESP:</font> tela colocada como borde\n<font color=orange>ENG:</font> piece of cloth around edges (to prevent wear)
thiya sawuta	<font color=red>CHP:</font> riwutiiz = cumpiz\n<font color=green>ESP:</font> coser los bordes\n<font color=orange>ENG:</font> to sew the border
ruwt'asiña	<font color=red>CHP:</font> rocaziz\n<font color=green>ESP:</font> rogarse\n<font color=orange>ENG:</font> to plead, to beg
ruwt'aña	<font color=red>CHP:</font> roct'iz\n<font color=green>ESP:</font> suplicar, rogar\n<font color=orange>ENG:</font> to implore, to beg
ruyra	<font color=red>CHP:</font> royta = aro\n<font color=green>ESP:</font> aro, rueda, redondo\n<font color=orange>ENG:</font> hoop, wheel, round
rumana	<font color=red>CHP:</font> rumana\n<font color=green>ESP:</font> romana, balance\n<font color=orange>ENG:</font> balance, spring scale
uyupata jalsuña	<font color=red>CHP:</font> rumpiz\n<font color=green>ESP:</font> saltar sobre pared\n<font color=orange>ENG:</font> to jump over wall
t'aqaña	<font color=red>CHP:</font> rumpiz\n<font color=green>ESP:</font> romper soga y escapar (animales)\n<font color=orange>ENG:</font> to break rope and run away (animals)
ch'axa	<font color=red>CHP:</font> runcu\n<font color=green>ESP:</font> ronco\n<font color=orange>ENG:</font> hoarse
rusca, llink'u	<font color=red>CHP:</font> ruzca\n<font color=green>ESP:</font> resorte\n<font color=orange>ENG:</font> shock absorber
ruskata	<font color=red>CHP:</font> ruzca\n<font color=green>ESP:</font> enroscado\n<font color=orange>ENG:</font> coiled, twisted
may maya	<font color=red>CHP:</font> saajz\n<font color=green>ESP:</font> dispersarse\n<font color=orange>ENG:</font> to disperse, to scatter
kikjpa	<font color=red>CHP:</font> saca = zaca\n<font color=green>ESP:</font> igual\n<font color=orange>ENG:</font> equal, alike
saxra, supaya, ñanqha	<font color=red>CHP:</font> sajjra = yankja = yenkja\n<font color=green>ESP:</font> diablo, demonio, malo\n<font color=orange>ENG:</font> devil, demon, evil
uqi	<font color=red>CHP:</font> sajjwa\n<font color=green>ESP:</font> plomo (material + color)\n<font color=orange>ENG:</font> lead, gray
lamp'iñu	<font color=red>CHP:</font> sajplu\n<font color=green>ESP:</font> lampiño, con poco pelo\n<font color=orange>ENG:</font> hairless, balding
t'arwa	<font color=red>CHP:</font> sajsali\n<font color=green>ESP:</font> lana\n<font color=orange>ENG:</font> wool
tarwa thaptapiña	<font color=red>CHP:</font> sajsali\n<font color=green>ESP:</font> acumulación de varios colores de vellón para rituales\n<font color=orange>ENG:</font> gathering of various colors of fleece for rituals
lankhusaphi	<font color=red>CHP:</font> sakwa\n<font color=green>ESP:</font> pasto con raíz gruesa\n<font color=orange>ENG:</font> a grass with thick roots
jayuntaña	<font color=red>CHP:</font> sals\n<font color=green>ESP:</font> salar\n<font color=orange>ENG:</font> to salt
salta	<font color=red>CHP:</font> salta\n<font color=green>ESP:</font> diseño en el tejido\n<font color=orange>ENG:</font> weaving pattern
thuqhtaña	<font color=red>CHP:</font> saltiz\n<font color=green>ESP:</font> saltar, saltar de una cosa a otra (fig.)\n<font color=orange>ENG:</font> to jump, to jump from one thing to another (fig.)
salura	<font color=red>CHP:</font> saluri\n<font color=green>ESP:</font> salud\n<font color=orange>ENG:</font> health
salura	<font color=red>CHP:</font> saluri\n<font color=green>ESP:</font> yema de la uña\n<font color=orange>ENG:</font> white of fingernails
q'api, qhupi	<font color=red>CHP:</font> samana\n<font color=green>ESP:</font> olor\n<font color=orange>ENG:</font> smell, odor
lap'a	<font color=red>CHP:</font> sami\n<font color=green>ESP:</font> piojo\n<font color=orange>ENG:</font> louse
k'achi	<font color=red>CHP:</font> samitjupz\n<font color=green>ESP:</font> dientes incisivos\n<font color=orange>ENG:</font> incisor teeth
lap'a qulla	<font color=red>CHP:</font> samkulla\n<font color=green>ESP:</font> medicina contra piojos\n<font color=orange>ENG:</font> medicine against lice
jujuraña	<font color=red>CHP:</font> samziz\n<font color=green>ESP:</font> evaporar\n<font color=orange>ENG:</font> to evaporate
wathiyaña	<font color=red>CHP:</font> sanz\n<font color=green>ESP:</font> poner al horno\n<font color=orange>ENG:</font> to put in the oven
kankaña	<font color=red>CHP:</font> sanz\n<font color=green>ESP:</font> asar\n<font color=orange>ENG:</font> to roast
tuqiña, arusiña, k'utiña	<font color=red>CHP:</font> sanzayz\n<font color=green>ESP:</font> retar, regañar, reñir\n<font color=orange>ENG:</font> to scold, to quarrel
chuñuri	<font color=red>CHP:</font> saqui\n<font color=green>ESP:</font> frío, el frío\n<font color=orange>ENG:</font> cold, the cold
thakhisara	<font color=red>CHP:</font> sara\n<font color=green>ESP:</font> costumbre\n<font color=orange>ENG:</font> custom, habit
saraqaña	<font color=red>CHP:</font> sarakz\n<font color=green>ESP:</font> descender, bajar\n<font color=orange>ENG:</font> to go down, to descend
saraña	<font color=red>CHP:</font> sarakz\n<font color=green>ESP:</font> alejarse\n<font color=orange>ENG:</font> to withdraw
wichhu	<font color=red>CHP:</font> sarki\n<font color=green>ESP:</font> paja verde y dura\n<font color=orange>ENG:</font> green, hard straw
sarsillu	<font color=red>CHP:</font> sarsillu\n<font color=green>ESP:</font> borlas como adorno de orejas de animales\n<font color=orange>ENG:</font> earrings for animals
sawjanaña	<font color=red>CHP:</font> sawjanz\n<font color=green>ESP:</font> echar agua en cabeza de persona en modo ritual\n<font color=orange>ENG:</font> to throw water on head of person for ritual
uqi juyra	<font color=red>CHP:</font> sawjjtara\n<font color=green>ESP:</font> maíz plomo\n<font color=orange>ENG:</font> gray corn
janq'u k'ullu	<font color=red>CHP:</font> sawsi\n<font color=green>ESP:</font> madera blanda de sauce\n<font color=orange>ENG:</font> soft, willow wood
kusa, misk'i	<font color=red>CHP:</font> sawurchish\n<font color=green>ESP:</font> sabroso, rico\n<font color=orange>ENG:</font> tasty, delicious
saya saya	<font color=red>CHP:</font> sayasaya\n<font color=green>ESP:</font> ¡quieto! (animales)\n<font color=orange>ENG:</font> whoa!, easy! (animals)
jiskha jaquntaña	<font color=red>CHP:</font> saywantiz\n<font color=green>ESP:</font> poner soga sobre cuello de varias llamas\n<font color=orange>ENG:</font> to tie together llamas by the neck
sumat sarnaqaña	<font color=red>CHP:</font> scaaz\n<font color=green>ESP:</font> andar lentamente\n<font color=orange>ENG:</font> to walk slowly
sumiru, q'ulu	<font color=red>CHP:</font> scara\n<font color=green>ESP:</font> sombrero\n<font color=orange>ENG:</font> hat
sarsillu	<font color=red>CHP:</font> scara\n<font color=green>ESP:</font> arete de machos\n<font color=orange>ENG:</font> earring for male animals
chiqa palali	<font color=red>CHP:</font> sejjwa\n<font color=green>ESP:</font> camino recto y plano\n<font color=orange>ENG:</font> straight and level road
sullpu	<font color=red>CHP:</font> serk'o\n<font color=green>ESP:</font> rayado, a rayos\n<font color=orange>ENG:</font> striped
rujuqiña	<font color=red>CHP:</font> sewjj cjiñi\n<font color=green>ESP:</font> sonido de rallar\n<font color=orange>ENG:</font> sound of grating
sapamara wawachaña	<font color=red>CHP:</font> sic'anchiz\n<font color=green>ESP:</font> dar a luz cada año\n<font color=orange>ENG:</font> to have a child every year
sikaru	<font color=red>CHP:</font> sicaru\n<font color=green>ESP:</font> cigarro\n<font color=orange>ENG:</font> cigarrette
siku	<font color=red>CHP:</font> sicu\n<font color=green>ESP:</font> tono de baile, sicu\n<font color=orange>ENG:</font> dance tone, sicu (music instrument with tubes)
phusaña	<font color=red>CHP:</font> sicupekz\n<font color=green>ESP:</font> zampoña\n<font color=orange>ENG:</font> reed flute, pan pipes
jikhiña	<font color=red>CHP:</font> sicurz\n<font color=green>ESP:</font> conseguir\n<font color=orange>ENG:</font> to get, to obtain
tirtaña	<font color=red>CHP:</font> sicz\n<font color=green>ESP:</font> seguir, continuar\n<font color=orange>ENG:</font> to follow, to continue
lupi	<font color=red>CHP:</font> sii\n<font color=green>ESP:</font> calor del sol\n<font color=orange>ENG:</font> heat of the sun
lupintaña	<font color=red>CHP:</font> sii kjakz\n<font color=green>ESP:</font> hacer calor (del sol)\n<font color=orange>ENG:</font> to be hot (from the sun)
lupi qhananta	<font color=red>CHP:</font> siiñi\n<font color=green>ESP:</font> luz solar atravesando objetos\n<font color=orange>ENG:</font> sunlight penetrating objects
lupiraña	<font color=red>CHP:</font> siiz\n<font color=green>ESP:</font> hacer sol\n<font color=orange>ENG:</font> to shine (sun)
thanthasita	<font color=red>CHP:</font> sijsi\n<font color=green>ESP:</font> gastado\n<font color=orange>ENG:</font> worn
yapu iwxata	<font color=red>CHP:</font> silatura\n<font color=green>ESP:</font> encargado/cuidador de la chacra\n<font color=orange>ENG:</font> person in charge/caretaker of field
silu	<font color=red>CHP:</font> silu\n<font color=green>ESP:</font> calvario, cielo altar\n<font color=orange>ENG:</font> shrine, altar
silusu	<font color=red>CHP:</font> silusa\n<font color=green>ESP:</font> celoso\n<font color=orange>ENG:</font> jealous
silaña	<font color=red>CHP:</font> silusiiz\n<font color=green>ESP:</font> acusar de ser infiel, celar\n<font color=orange>ENG:</font> to accuse of being unfaithful
iñasiniña	<font color=red>CHP:</font> silz\n<font color=green>ESP:</font> cuidar, vigilar\n<font color=orange>ENG:</font> to take care of, to watch over
sapa	<font color=red>CHP:</font> sina\n<font color=green>ESP:</font> sólo\n<font color=orange>ENG:</font> alone
sapalla, sapakilla	<font color=red>CHP:</font> sinalla\n<font color=green>ESP:</font> solito\n<font color=orange>ENG:</font> all alone
qhilla	<font color=red>CHP:</font> siniza\n<font color=green>ESP:</font> ceniza\n<font color=orange>ENG:</font> ash
sinti	<font color=red>CHP:</font> sinti\n<font color=green>ESP:</font> duro\n<font color=orange>ENG:</font> hard
t'ajayasiña	<font color=red>CHP:</font> sint'is\n<font color=green>ESP:</font> sentir dolor\n<font color=orange>ENG:</font> to feel pain
sintisiña	<font color=red>CHP:</font> sintiz\n<font color=green>ESP:</font> resentirse, sentir dolor\n<font color=orange>ENG:</font> to weaken, to feel pain, to suffer
sinturuna	<font color=red>CHP:</font> sinturuna\n<font color=green>ESP:</font> cinturón\n<font color=orange>ENG:</font> belt
sira	<font color=red>CHP:</font> sira\n<font color=green>ESP:</font> vela\n<font color=orange>ENG:</font> candle
isi thanthiri, sirawilla	<font color=red>CHP:</font> sirawilla\n<font color=green>ESP:</font> uno que gasta mucho dinero, que desgasta rápido las cosas\n<font color=orange>ENG:</font> person who spends a lot of money, who wears-out things quickly
janiwsaña, jikirasiña	<font color=red>CHP:</font> siraziz\n<font color=green>ESP:</font> negar, negarse\n<font color=orange>ENG:</font> to deny, to refuse, to deny oneself
sirk'u	<font color=red>CHP:</font> sirc'u\n<font color=green>ESP:</font> leña medio verde\n<font color=orange>ENG:</font> green, half-dry firewood
ch'axmichasi	<font color=red>CHP:</font> sirjaz\n<font color=green>ESP:</font> molestarse\n<font color=orange>ENG:</font> to worry, to bother
sirpintina	<font color=red>CHP:</font> sirpinti\n<font color=green>ESP:</font> serpentina\n<font color=orange>ENG:</font> carnival streamers
ñuñu sirk'i	<font color=red>CHP:</font> sirq'ui\n<font color=green>ESP:</font> pezón pequeño\n<font color=orange>ENG:</font> small nipple
sirwiña, kuwartilar saraña	<font color=red>CHP:</font> sirwiz\n<font color=green>ESP:</font> prestar servicio militar\n<font color=orange>ENG:</font> to serve in armed forces
luruma	<font color=red>CHP:</font> skaa\n<font color=green>ESP:</font> planta acuática (con fruta cjiwi)\n<font color=orange>ENG:</font> a waterplant (with cjiwi fruits)
tila, sawu lawa	<font color=red>CHP:</font> skaaz = zkaaz = zkwaaz\n<font color=green>ESP:</font> palo para apretar el tejido\n<font color=orange>ENG:</font> stick to help tighten the weave
chara palqa	<font color=red>CHP:</font> skara\n<font color=green>ESP:</font> entrepierna\n<font color=orange>ENG:</font> crotch
jat'isiña, jat'iña	<font color=red>CHP:</font> skawz\n<font color=green>ESP:</font> arañar, rasguñar\n<font color=orange>ENG:</font> to scratch
q'aptapiña	<font color=red>CHP:</font> skenz\n<font color=green>ESP:</font> apretar con la mano\n<font color=orange>ENG:</font> to squeeze with hand
sirk'i	<font color=red>CHP:</font> sketpa = squetpa\n<font color=green>ESP:</font> verruga\n<font color=orange>ENG:</font> wart
qarachi	<font color=red>CHP:</font> skira\n<font color=green>ESP:</font> sarna (personas)\n<font color=orange>ENG:</font> scabies
ch'iñi	<font color=red>CHP:</font> skora\n<font color=green>ESP:</font> huevos de piojo\n<font color=orange>ENG:</font> louse eggs
sik'a nayralla	<font color=red>CHP:</font> skori\n<font color=green>ESP:</font> ojo pequeño, ojo medio cerrado\n<font color=orange>ENG:</font> small eye, half-closed eye
