anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=#FF8C00>ENG:</font> to herd
urqu	<font color=red>CHP:</font> quero\n<font color=#2E8B57>ESP:</font> macho\n<font color=#FF8C00>ENG:</font> male
urqu urqu	<font color=red>CHP:</font> querquero\n<font color=#2E8B57>ESP:</font> constelación de Orión\n<font color=#FF8C00>ENG:</font> The Constellation Orion
urqu urqu	<font color=red>CHP:</font> querquero\n<font color=#2E8B57>ESP:</font> muy macho (animales)\n<font color=#FF8C00>ENG:</font> very masculine (animals)
k'ank'a	<font color=red>CHP:</font> querwallpa\n<font color=#2E8B57>ESP:</font> gallo\n<font color=#FF8C00>ENG:</font> rooster
wayräña	<font color=red>CHP:</font> querz\n<font color=#2E8B57>ESP:</font> ventilar, ventear\n<font color=#FF8C00>ENG:</font> to air out
taqi chaqat wayra juthi	<font color=red>CHP:</font> querz̈quiñi\n<font color=#2E8B57>ESP:</font> viento que viene de todos los lados al mismo tiempo\n<font color=#FF8C00>ENG:</font> wind that blows from all directions at once
pirwa	<font color=red>CHP:</font> quetala\n<font color=#2E8B57>ESP:</font> pequeño recinto para guardar alimentos\n<font color=#FF8C00>ENG:</font> small place in the house to keep food
pampa quwi	<font color=red>CHP:</font> quetwana\n<font color=#2E8B57>ESP:</font> conejo silvestre\n<font color=#FF8C00>ENG:</font> wild rabbit
yaqha marka	<font color=red>CHP:</font> quewajtja\n<font color=#2E8B57>ESP:</font> otro pueblo\n<font color=#FF8C00>ENG:</font> another town
p'uñu	<font color=red>CHP:</font> quewi\n<font color=#2E8B57>ESP:</font> tipo de cántaro\n<font color=#FF8C00>ENG:</font> large clay jug
k'usa	<font color=red>CHP:</font> quezi\n<font color=#2E8B57>ESP:</font> chicha\n<font color=#FF8C00>ENG:</font> chicha, alcoholic drink from fermented corn
k'usa jama	<font color=red>CHP:</font> quezi cherchi\n<font color=#2E8B57>ESP:</font> parecido a la chicha\n<font color=#FF8C00>ENG:</font> similar to chicha (corn beer)
kija	<font color=red>CHP:</font> quija\n<font color=#2E8B57>ESP:</font> queja, demanda\n<font color=#FF8C00>ENG:</font> complaint, demand
kijiri	<font color=red>CHP:</font> quijñi\n<font color=#2E8B57>ESP:</font> demandante\n<font color=#FF8C00>ENG:</font> plaintiff
kijata	<font color=red>CHP:</font> quijta\n<font color=#2E8B57>ESP:</font> demandado\n<font color=#FF8C00>ENG:</font> defendant
ch'akuña	<font color=red>CHP:</font> quijtz\n<font color=#2E8B57>ESP:</font> clavar\n<font color=#FF8C00>ENG:</font> to nail
k'ijasiña	<font color=red>CHP:</font> quijz\n<font color=#2E8B57>ESP:</font> quejar, reclamar, demandar\n<font color=#FF8C00>ENG:</font> to make a complaint, to claim, to demand
killjataña	<font color=red>CHP:</font> quilljjatz\n<font color=#2E8B57>ESP:</font> arrodillarse antes de una persona\n<font color=#FF8C00>ENG:</font> to kneel before a person
killjaña	<font color=red>CHP:</font> quillz\n<font color=#2E8B57>ESP:</font> arrodillarse, hincarse\n<font color=#FF8C00>ENG:</font> to kneel down
kimsaqallqu	<font color=red>CHP:</font> quinsakalku\n<font color=#2E8B57>ESP:</font> ocho\n<font color=#FF8C00>ENG:</font> eight
arjasiña, kuñtu q'ipiña	<font color=red>CHP:</font> quint'iñi = yatiiñi\n<font color=#2E8B57>ESP:</font> chismear\n<font color=#FF8C00>ENG:</font> to gossip
awqa	<font color=red>CHP:</font> quintra\n<font color=#2E8B57>ESP:</font> contra\n<font color=#FF8C00>ENG:</font> against
parlata	<font color=red>CHP:</font> quintrariu\n<font color=#2E8B57>ESP:</font> contrario\n<font color=#FF8C00>ENG:</font> opposite, adverse
t'uruña	<font color=red>CHP:</font> quintraz\n<font color=#2E8B57>ESP:</font> envidiar, guardar rencor\n<font color=#FF8C00>ENG:</font> to envy, to bear a grudge
kuñtu	<font color=red>CHP:</font> quintu\n<font color=#2E8B57>ESP:</font> cuento, leyenda\n<font color=#FF8C00>ENG:</font> tale, legend
awqa	<font color=red>CHP:</font> quira\n<font color=#2E8B57>ESP:</font> guerra\n<font color=#FF8C00>ENG:</font> war
ukanpinin qamiri	<font color=red>CHP:</font> quiriwillu\n<font color=#2E8B57>ESP:</font> persona/animal que siempre vive en el mismo lugar\n<font color=#FF8C00>ENG:</font> person/animal who stays in one place
iyaqaña	<font color=red>CHP:</font> quiriyz\n<font color=#2E8B57>ESP:</font> creer\n<font color=#FF8C00>ENG:</font> to believe
jalaqtaña, kirasiña	<font color=red>CHP:</font> quirz\n<font color=#2E8B57>ESP:</font> quedarse\n<font color=#FF8C00>ENG:</font> to stay
qalantaña	<font color=red>CHP:</font> quirz\n<font color=#2E8B57>ESP:</font> hacer piso, empedrar\n<font color=#FF8C00>ENG:</font> to lay a floor, to pave
tupu	<font color=red>CHP:</font> quits\n<font color=#2E8B57>ESP:</font> prendedor, topo\n<font color=#FF8C00>ENG:</font> (hair)pin, bronze spoon used as adornment
pantjasiña	<font color=red>CHP:</font> quiwcs\n<font color=#2E8B57>ESP:</font> equivocarse\n<font color=#FF8C00>ENG:</font> to be mistaken
kiwla	<font color=red>CHP:</font> quiwla\n<font color=#2E8B57>ESP:</font> ave parecida al perdiz\n<font color=#FF8C00>ENG:</font> bird similar to partridge (green eggs)
kiwrantaña	<font color=red>CHP:</font> quiwrantiz\n<font color=#2E8B57>ESP:</font> tener desgracia, tener quebranto, tener mala suerte\n<font color=#FF8C00>ENG:</font> to encounter adversity, to be in trouble, to have bad luck
khasaña	<font color=red>CHP:</font> quiwtizquiz\n<font color=#2E8B57>ESP:</font> tener acidez del estómago\n<font color=#FF8C00>ENG:</font> to have heartburn
kiwu	<font color=red>CHP:</font> quiwu\n<font color=#2E8B57>ESP:</font> dientes caninos\n<font color=#FF8C00>ENG:</font> canine teeth
k'illpha	<font color=red>CHP:</font> q'uijllpa\n<font color=#2E8B57>ESP:</font> corte en oreja de animales para señalarlos\n<font color=#FF8C00>ENG:</font> cut in animal's ear to mark ownership
k'illphaña	<font color=red>CHP:</font> q'uillpjiz\n<font color=#2E8B57>ESP:</font> cortar oreja de animales para señalarlos\n<font color=#FF8C00>ENG:</font> to make a cut in animal's ear to mark ownership
ayru, ali	<font color=red>CHP:</font> q'uipja\n<font color=#2E8B57>ESP:</font> planta que de por sí se vuelve a producir el segundo año\n<font color=#FF8C00>ENG:</font> plant that grows a second year in an old patch
juyra laphilla	<font color=red>CHP:</font> q'uiri\n<font color=#2E8B57>ESP:</font> hoja pequeña y seca de quinua\n<font color=#FF8C00>ENG:</font> small, dry quinua leaf
juyra sillp'a, juyra sillp'i	<font color=red>CHP:</font> q'uiri\n<font color=#2E8B57>ESP:</font> cáscara de quinua\n<font color=#FF8C00>ENG:</font> crude quinua husk
chuxru kisu phayata	<font color=red>CHP:</font> q'uiriñi\n<font color=#2E8B57>ESP:</font> queso cocido y duro\n<font color=#FF8C00>ENG:</font> cooked, hard cheese
k'ita	<font color=red>CHP:</font> q'uita\n<font color=#2E8B57>ESP:</font> silvestre\n<font color=#FF8C00>ENG:</font> wild
wichhu	<font color=red>CHP:</font> q'uizi\n<font color=#2E8B57>ESP:</font> paja suave\n<font color=#FF8C00>ENG:</font> soft, pliable straw
k'isimira, k'isimiri	<font color=red>CHP:</font> q'uizimiri\n<font color=#2E8B57>ESP:</font> hormiga\n<font color=#FF8C00>ENG:</font> ant
ralu, may maya	<font color=red>CHP:</font> ralu\n<font color=#2E8B57>ESP:</font> ralo\n<font color=#FF8C00>ENG:</font> thin, sparse
ramusa	<font color=red>CHP:</font> ramuz̈a\n<font color=#2E8B57>ESP:</font> palma\n<font color=#FF8C00>ENG:</font> palm
ramaña	<font color=red>CHP:</font> ramz\n<font color=#2E8B57>ESP:</font> aportar cuota\n<font color=#FF8C00>ENG:</font> to pay a quota, to contribute
jiwtayasiri	<font color=red>CHP:</font> ratu llallajsñi\n<font color=#2E8B57>ESP:</font> cobarde\n<font color=#FF8C00>ENG:</font> coward
ratulla	<font color=red>CHP:</font> ratulla\n<font color=#2E8B57>ESP:</font> rápido, en un ratito\n<font color=#FF8C00>ENG:</font> quickly, soon
raya	<font color=red>CHP:</font> raya\n<font color=#2E8B57>ESP:</font> línea\n<font color=#FF8C00>ENG:</font> line
arnaqiri	<font color=red>CHP:</font> rayu\n<font color=#2E8B57>ESP:</font> relámpago\n<font color=#FF8C00>ENG:</font> lightning
raysuña	<font color=red>CHP:</font> rayz\n<font color=#2E8B57>ESP:</font> rayar, hacer línea\n<font color=#FF8C00>ENG:</font> to draw lines, to line
rikayra	<font color=red>CHP:</font> recaytu\n<font color=#2E8B57>ESP:</font> recaer, enfermarse otra vez\n<font color=#FF8C00>ENG:</font> to relapse (illness)
yatiyaña, awisnuqaña	<font color=red>CHP:</font> repariz\n<font color=#2E8B57>ESP:</font> ver, saber y avisar\n<font color=#FF8C00>ENG:</font> to see, to know and to warn
rikachu, qhaphaqha	<font color=red>CHP:</font> ricachu\n<font color=#2E8B57>ESP:</font> rico\n<font color=#FF8C00>ENG:</font> rich
kumun manq'a	<font color=red>CHP:</font> ricachuca\n<font color=#2E8B57>ESP:</font> comida comunitaria\n<font color=#FF8C00>ENG:</font> communal meal
qulla	<font color=red>CHP:</font> ricarica\n<font color=#2E8B57>ESP:</font> planta medicinal\n<font color=#FF8C00>ENG:</font> small medicinal plant
rikusuna	<font color=red>CHP:</font> ricasuna\n<font color=#2E8B57>ESP:</font> suero hervido\n<font color=#FF8C00>ENG:</font> cooked whey
rikaru	<font color=red>CHP:</font> ricatu\n<font color=#2E8B57>ESP:</font> encargado para comprar\n<font color=#FF8C00>ENG:</font> person in charge of buying
pallthapiña	<font color=red>CHP:</font> ricojiz\n<font color=#2E8B57>ESP:</font> recoger\n<font color=#FF8C00>ENG:</font> to pick up, to gather
khariña	<font color=red>CHP:</font> ricz\n<font color=#2E8B57>ESP:</font> cortar, serrar\n<font color=#FF8C00>ENG:</font> to cut, to saw
t'irt'aña	<font color=red>CHP:</font> rimintiz\n<font color=#2E8B57>ESP:</font> remendar\n<font color=#FF8C00>ENG:</font> to mend
turpa tanqt'aña	<font color=red>CHP:</font> rimpujz\n<font color=#2E8B57>ESP:</font> chocar un poco\n<font color=#FF8C00>ENG:</font> to bump
kirkiña q'uchiña	<font color=red>CHP:</font> rimz\n<font color=#2E8B57>ESP:</font> cantar con rima\n<font color=#FF8C00>ENG:</font> to sing in rhyme
ripikaña	<font color=red>CHP:</font> ripicz\n<font color=#2E8B57>ESP:</font> repicar campanas\n<font color=#FF8C00>ENG:</font> to ring bells
risawu	<font color=red>CHP:</font> risawu\n<font color=#2E8B57>ESP:</font> producto que sobra del año pasado\n<font color=#FF8C00>ENG:</font> product of past year
llakisiña, uka chuymaña	<font color=red>CHP:</font> ristutiiz\n<font color=#2E8B57>ESP:</font> preocuparse\n<font color=#FF8C00>ENG:</font> to worry
qhalinchaña, munaña	<font color=red>CHP:</font> ristutiiz\n<font color=#2E8B57>ESP:</font> coquetear, desear, intentar sin lograr\n<font color=#FF8C00>ENG:</font> to flirt, to desire, to try in vain
riwiti	<font color=red>CHP:</font> riwuti\n<font color=#2E8B57>ESP:</font> tela colocada como borde\n<font color=#FF8C00>ENG:</font> piece of cloth around edges (to prevent wear)
thiya sawuta	<font color=red>CHP:</font> riwutiiz = cumpiz\n<font color=#2E8B57>ESP:</font> coser los bordes\n<font color=#FF8C00>ENG:</font> to sew the border
ruwt'asiña	<font color=red>CHP:</font> rocaziz\n<font color=#2E8B57>ESP:</font> rogarse\n<font color=#FF8C00>ENG:</font> to plead, to beg
ruwt'aña	<font color=red>CHP:</font> roct'iz\n<font color=#2E8B57>ESP:</font> suplicar, rogar\n<font color=#FF8C00>ENG:</font> to implore, to beg
ruyra	<font color=red>CHP:</font> royta = aro\n<font color=#2E8B57>ESP:</font> aro, rueda, redondo\n<font color=#FF8C00>ENG:</font> hoop, wheel, round
rumana	<font color=red>CHP:</font> rumana\n<font color=#2E8B57>ESP:</font> romana, balance\n<font color=#FF8C00>ENG:</font> balance, spring scale
uyupata jalsuña	<font color=red>CHP:</font> rumpiz\n<font color=#2E8B57>ESP:</font> saltar sobre pared\n<font color=#FF8C00>ENG:</font> to jump over wall
t'aqaña	<font color=red>CHP:</font> rumpiz\n<font color=#2E8B57>ESP:</font> romper soga y escapar (animales)\n<font color=#FF8C00>ENG:</font> to break rope and run away (animals)
ch'axa	<font color=red>CHP:</font> runcu\n<font color=#2E8B57>ESP:</font> ronco\n<font color=#FF8C00>ENG:</font> hoarse
rusca, llink'u	<font color=red>CHP:</font> ruzca\n<font color=#2E8B57>ESP:</font> resorte\n<font color=#FF8C00>ENG:</font> shock absorber
ruskata	<font color=red>CHP:</font> ruzca\n<font color=#2E8B57>ESP:</font> enroscado\n<font color=#FF8C00>ENG:</font> coiled, twisted
may maya	<font color=red>CHP:</font> saajz\n<font color=#2E8B57>ESP:</font> dispersarse\n<font color=#FF8C00>ENG:</font> to disperse, to scatter
kikjpa	<font color=red>CHP:</font> saca = zaca\n<font color=#2E8B57>ESP:</font> igual\n<font color=#FF8C00>ENG:</font> equal, alike
saxra, supaya, ñanqha	<font color=red>CHP:</font> sajjra = yankja = yenkja\n<font color=#2E8B57>ESP:</font> diablo, demonio, malo\n<font color=#FF8C00>ENG:</font> devil, demon, evil
uqi	<font color=red>CHP:</font> sajjwa\n<font color=#2E8B57>ESP:</font> plomo (material + color)\n<font color=#FF8C00>ENG:</font> lead, gray
lamp'iñu	<font color=red>CHP:</font> sajplu\n<font color=#2E8B57>ESP:</font> lampiño, con poco pelo\n<font color=#FF8C00>ENG:</font> hairless, balding
t'arwa	<font color=red>CHP:</font> sajsali\n<font color=#2E8B57>ESP:</font> lana\n<font color=#FF8C00>ENG:</font> wool
tarwa thaptapiña	<font color=red>CHP:</font> sajsali\n<font color=#2E8B57>ESP:</font> acumulación de varios colores de vellón para rituales\n<font color=#FF8C00>ENG:</font> gathering of various colors of fleece for rituals
lankhusaphi	<font color=red>CHP:</font> sakwa\n<font color=#2E8B57>ESP:</font> pasto con raíz gruesa\n<font color=#FF8C00>ENG:</font> a grass with thick roots
jayuntaña	<font color=red>CHP:</font> sals\n<font color=#2E8B57>ESP:</font> salar\n<font color=#FF8C00>ENG:</font> to salt
salta	<font color=red>CHP:</font> salta\n<font color=#2E8B57>ESP:</font> diseño en el tejido\n<font color=#FF8C00>ENG:</font> weaving pattern
thuqhtaña	<font color=red>CHP:</font> saltiz\n<font color=#2E8B57>ESP:</font> saltar, saltar de una cosa a otra (fig.)\n<font color=#FF8C00>ENG:</font> to jump, to jump from one thing to another (fig.)
salura	<font color=red>CHP:</font> saluri\n<font color=#2E8B57>ESP:</font> salud\n<font color=#FF8C00>ENG:</font> health
salura	<font color=red>CHP:</font> saluri\n<font color=#2E8B57>ESP:</font> yema de la uña\n<font color=#FF8C00>ENG:</font> white of fingernails
q'api, qhupi	<font color=red>CHP:</font> samana\n<font color=#2E8B57>ESP:</font> olor\n<font color=#FF8C00>ENG:</font> smell, odor
lap'a	<font color=red>CHP:</font> sami\n<font color=#2E8B57>ESP:</font> piojo\n<font color=#FF8C00>ENG:</font> louse
k'achi	<font color=red>CHP:</font> samitjupz\n<font color=#2E8B57>ESP:</font> dientes incisivos\n<font color=#FF8C00>ENG:</font> incisor teeth
lap'a qulla	<font color=red>CHP:</font> samkulla\n<font color=#2E8B57>ESP:</font> medicina contra piojos\n<font color=#FF8C00>ENG:</font> medicine against lice
jujuraña	<font color=red>CHP:</font> samziz\n<font color=#2E8B57>ESP:</font> evaporar\n<font color=#FF8C00>ENG:</font> to evaporate
wathiyaña	<font color=red>CHP:</font> sanz\n<font color=#2E8B57>ESP:</font> poner al horno\n<font color=#FF8C00>ENG:</font> to put in the oven
kankaña	<font color=red>CHP:</font> sanz\n<font color=#2E8B57>ESP:</font> asar\n<font color=#FF8C00>ENG:</font> to roast
tuqiña, arusiña, k'utiña	<font color=red>CHP:</font> sanzayz\n<font color=#2E8B57>ESP:</font> retar, regañar, reñir\n<font color=#FF8C00>ENG:</font> to scold, to quarrel
chuñuri	<font color=red>CHP:</font> saqui\n<font color=#2E8B57>ESP:</font> frío, el frío\n<font color=#FF8C00>ENG:</font> cold, the cold
thakhisara	<font color=red>CHP:</font> sara\n<font color=#2E8B57>ESP:</font> costumbre\n<font color=#FF8C00>ENG:</font> custom, habit
saraqaña	<font color=red>CHP:</font> sarakz\n<font color=#2E8B57>ESP:</font> descender, bajar\n<font color=#FF8C00>ENG:</font> to go down, to descend
saraña	<font color=red>CHP:</font> sarakz\n<font color=#2E8B57>ESP:</font> alejarse\n<font color=#FF8C00>ENG:</font> to withdraw
wichhu	<font color=red>CHP:</font> sarki\n<font color=#2E8B57>ESP:</font> paja verde y dura\n<font color=#FF8C00>ENG:</font> green, hard straw
sarsillu	<font color=red>CHP:</font> sarsillu\n<font color=#2E8B57>ESP:</font> borlas como adorno de orejas de animales\n<font color=#FF8C00>ENG:</font> earrings for animals
sawjanaña	<font color=red>CHP:</font> sawjanz\n<font color=#2E8B57>ESP:</font> echar agua en cabeza de persona en modo ritual\n<font color=#FF8C00>ENG:</font> to throw water on head of person for ritual
uqi juyra	<font color=red>CHP:</font> sawjjtara\n<font color=#2E8B57>ESP:</font> maíz plomo\n<font color=#FF8C00>ENG:</font> gray corn
janq'u k'ullu	<font color=red>CHP:</font> sawsi\n<font color=#2E8B57>ESP:</font> madera blanda de sauce\n<font color=#FF8C00>ENG:</font> soft, willow wood
kusa, misk'i	<font color=red>CHP:</font> sawurchish\n<font color=#2E8B57>ESP:</font> sabroso, rico\n<font color=#FF8C00>ENG:</font> tasty, delicious
saya saya	<font color=red>CHP:</font> sayasaya\n<font color=#2E8B57>ESP:</font> ¡quieto! (animales)\n<font color=#FF8C00>ENG:</font> whoa!, easy! (animals)
jiskha jaquntaña	<font color=red>CHP:</font> saywantiz\n<font color=#2E8B57>ESP:</font> poner soga sobre cuello de varias llamas\n<font color=#FF8C00>ENG:</font> to tie together llamas by the neck
sumat sarnaqaña	<font color=red>CHP:</font> scaaz\n<font color=#2E8B57>ESP:</font> andar lentamente\n<font color=#FF8C00>ENG:</font> to walk slowly
sumiru, q'ulu	<font color=red>CHP:</font> scara\n<font color=#2E8B57>ESP:</font> sombrero\n<font color=#FF8C00>ENG:</font> hat
sarsillu	<font color=red>CHP:</font> scara\n<font color=#2E8B57>ESP:</font> arete de machos\n<font color=#FF8C00>ENG:</font> earring for male animals
chiqa palali	<font color=red>CHP:</font> sejjwa\n<font color=#2E8B57>ESP:</font> camino recto y plano\n<font color=#FF8C00>ENG:</font> straight and level road
sullpu	<font color=red>CHP:</font> serk'o\n<font color=#2E8B57>ESP:</font> rayado, a rayos\n<font color=#FF8C00>ENG:</font> striped
rujuqiña	<font color=red>CHP:</font> sewjj cjiñi\n<font color=#2E8B57>ESP:</font> sonido de rallar\n<font color=#FF8C00>ENG:</font> sound of grating
sapamara wawachaña	<font color=red>CHP:</font> sic'anchiz\n<font color=#2E8B57>ESP:</font> dar a luz cada año\n<font color=#FF8C00>ENG:</font> to have a child every year
sikaru	<font color=red>CHP:</font> sicaru\n<font color=#2E8B57>ESP:</font> cigarro\n<font color=#FF8C00>ENG:</font> cigarrette
siku	<font color=red>CHP:</font> sicu\n<font color=#2E8B57>ESP:</font> tono de baile, sicu\n<font color=#FF8C00>ENG:</font> dance tone, sicu (music instrument with tubes)
phusaña	<font color=red>CHP:</font> sicupekz\n<font color=#2E8B57>ESP:</font> zampoña\n<font color=#FF8C00>ENG:</font> reed flute, pan pipes
jikhiña	<font color=red>CHP:</font> sicurz\n<font color=#2E8B57>ESP:</font> conseguir\n<font color=#FF8C00>ENG:</font> to get, to obtain
tirtaña	<font color=red>CHP:</font> sicz\n<font color=#2E8B57>ESP:</font> seguir, continuar\n<font color=#FF8C00>ENG:</font> to follow, to continue
lupi	<font color=red>CHP:</font> sii\n<font color=#2E8B57>ESP:</font> calor del sol\n<font color=#FF8C00>ENG:</font> heat of the sun
